"hlf0071_h","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"Much too small","1984","Not Employed","Male","52","0.0287292849004495","0.0197178555806254","0.0377407142202737"
"Much too small","1984","Not Employed","Female","128","0.0225152000895339","0.0174825372431884","0.0275478629358794"
"Much too small","1984","Employed","Male","198","0.0275219483308944","0.0228318361696349","0.0322120604921539"
"Much too small","1984","Employed","Female","105","0.02497157244488","0.0192806707869718","0.0306624741027881"
"A little too small","1984","Not Employed","Male","146","0.0836945991134759","0.0687553088544196","0.0986338893725322"
"A little too small","1984","Not Employed","Female","473","0.105982953516252","0.095540661504658","0.116425245527845"
"A little too small","1984","Employed","Male","849","0.155894733673079","0.145495106643814","0.166294360702345"
"A little too small","1984","Employed","Female","525","0.161326409772127","0.147911161491993","0.174741658052261"
"Just right","1984","Not Employed","Male","1020","0.797697846790302","0.776026765165876","0.819368928414728"
"Just right","1984","Not Employed","Female","2513","0.786026095119488","0.772113638819943","0.799938551419033"
"Just right","1984","Employed","Male","3367","0.74777731947581","0.735326958312452","0.760227680639168"
"Just right","1984","Employed","Female","2081","0.736579468145306","0.720514343031087","0.752644593259525"
"A little too big","1984","Not Employed","Male","91","0.0793106278993942","0.064733116675405","0.0938881391233835"
"A little too big","1984","Not Employed","Female","202","0.0765385480459574","0.067519630422645","0.0855574656692698"
"A little too big","1984","Employed","Male","224","0.0587875436593139","0.052043968111931","0.0655311192066967"
"A little too big","1984","Employed","Female","153","0.0660499525361545","0.0569916342678316","0.0751082708044774"
"Much too big","1984","Not Employed","Male","11","","",""
"Much too big","1984","Not Employed","Female","22","","",""
"Much too big","1984","Employed","Male","36","0.0100184548609025","0.00716337895356389","0.0128735307682412"
"Much too big","1984","Employed","Female","24","","",""
"Much too small","1985","Not Employed","Male","42","0.0205926959039112","0.0126689820515963","0.0285164097562262"
"Much too small","1985","Not Employed","Female","92","0.0187148021202644","0.0138484550133711","0.0235811492271577"
"Much too small","1985","Employed","Male","173","0.029745862953401","0.0246031356996169","0.0348885902071852"
"Much too small","1985","Employed","Female","101","0.0275732510546665","0.021297225832109","0.0338492762772241"
"A little too small","1985","Not Employed","Male","125","0.0816709504305674","0.0663909461011246","0.0969509547600102"
"A little too small","1985","Not Employed","Female","406","0.0951400343281529","0.0846038058864052","0.105676262769901"
"A little too small","1985","Employed","Male","681","0.13791272726695","0.127474776496434","0.148350678037466"
"A little too small","1985","Employed","Female","435","0.149689347815153","0.136015318634232","0.163363376996075"
"Just right","1985","Not Employed","Male","976","0.809296013742327","0.787376844125692","0.831215183358962"
"Just right","1985","Not Employed","Female","2281","0.802378482286306","0.78807902379756","0.816677940775053"
"Just right","1985","Employed","Male","3082","0.756183219547031","0.743185032927613","0.769181406166449"
"Just right","1985","Employed","Female","1909","0.74290196518865","0.72615148056517","0.759652449812129"
"A little too big","1985","Not Employed","Male","79","0.076655859891142","0.061812063462384","0.0914996563199001"
"A little too big","1985","Not Employed","Female","178","0.072488665664717","0.0631774260065199","0.0817999053229141"
"A little too big","1985","Employed","Male","231","0.0694754787004456","0.0617785557509253","0.0771724016499659"
"A little too big","1985","Employed","Female","148","0.0698363331084307","0.06006772596876","0.0796049402481014"
"Much too big","1985","Not Employed","Male","12","","",""
"Much too big","1985","Not Employed","Female","22","","",""
"Much too big","1985","Employed","Male","25","","",""
"Much too big","1985","Employed","Female","22","","",""
"Much too small","1986","Not Employed","Male","5","","",""
"Much too small","1986","Not Employed","Female","12","","",""
"Much too small","1986","Employed","Male","19","","",""
"Much too small","1986","Employed","Female","14","","",""
"A little too small","1986","Not Employed","Male","16","","",""
"A little too small","1986","Not Employed","Female","34","0.111900609297762","0.072823259867783","0.150977958727741"
"A little too small","1986","Employed","Male","78","0.137472845660913","0.108321369872495","0.166624321449331"
"A little too small","1986","Employed","Female","57","0.158890037131643","0.122514706452108","0.195265367811178"
"Just right","1986","Not Employed","Male","59","0.696032256779312","0.599929645591295","0.792134867967329"
"Just right","1986","Not Employed","Female","186","0.754691267352744","0.701355413336181","0.808027121369307"
"Just right","1986","Employed","Male","409","0.768982698053932","0.733300940822885","0.804664455284978"
"Just right","1986","Employed","Female","294","0.740786613323077","0.697184503528643","0.784388723117512"
"A little too big","1986","Not Employed","Male","7","","",""
"A little too big","1986","Not Employed","Female","17","","",""
"A little too big","1986","Employed","Male","29","","",""
"A little too big","1986","Employed","Female","23","","",""
"Much too big","1986","Not Employed","Male","1","","",""
"Much too big","1986","Not Employed","Female","1","","",""
"Much too big","1986","Employed","Male","1","","",""
"Much too big","1986","Employed","Female","","","",""
"Much too small","1987","Not Employed","Male","2","","",""
"Much too small","1987","Not Employed","Female","12","","",""
"Much too small","1987","Employed","Male","19","","",""
"Much too small","1987","Employed","Female","11","","",""
"A little too small","1987","Not Employed","Male","9","","",""
"A little too small","1987","Not Employed","Female","28","","",""
"A little too small","1987","Employed","Male","78","0.148649743559694","0.116246102463564","0.181053384655825"
"A little too small","1987","Employed","Female","49","0.104705991610182","0.072351284271031","0.137060698949333"
"Just right","1987","Not Employed","Male","55","0.778358558859446","0.681745851601452","0.87497126611744"
"Just right","1987","Not Employed","Female","133","0.709425001992099","0.644175983122595","0.774674020861603"
"Just right","1987","Employed","Male","341","0.763141692975133","0.724415527532621","0.801867858417645"
"Just right","1987","Employed","Female","263","0.796704062594322","0.754175399023057","0.839232726165587"
"A little too big","1987","Not Employed","Male","5","","",""
