"hlf0071_h","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"1","1984","(0) in school","West Germany","6","","",""
"1","1984","(0) in school","East Germany","","","",""
"1","1984","(1a) inadequately completed","West Germany","100","0.0858206227365119","0.0693724735532784","0.102268771919745"
"1","1984","(1a) inadequately completed","East Germany","","","",""
"1","1984","(1b) general elementary school","West Germany","137","0.0257107041618957","0.0200603272559851","0.0313610810678063"
"1","1984","(1b) general elementary school","East Germany","","","",""
"1","1984","(1c) basic vocational qualification","West Germany","122","0.0214758231914239","0.0171242016813537","0.0258274447014942"
"1","1984","(1c) basic vocational qualification","East Germany","","","",""
"1","1984","(2b) intermediate general qualification","West Germany","14","","",""
"1","1984","(2b) intermediate general qualification","East Germany","","","",""
"1","1984","(2a) intermediate vocational","West Germany","21","","",""
"1","1984","(2a) intermediate vocational","East Germany","","","",""
"1","1984","(2c_gen) general maturity certificate","West Germany","30","0.0525527657230665","0.0310584697351471","0.0740470617109859"
"1","1984","(2c_gen) general maturity certificate","East Germany","","","",""
"1","1984","(2c_voc) vocational maturity certificate","West Germany","26","","",""
"1","1984","(2c_voc) vocational maturity certificate","East Germany","","","",""
"1","1984","(3a) lower tertiary education","West Germany","2","","",""
"1","1984","(3a) lower tertiary education","East Germany","","","",""
"1","1984","(3b) higher tertiary education","West Germany","21","","",""
"1","1984","(3b) higher tertiary education","East Germany","","","",""
"2","1984","(0) in school","West Germany","33","0.171971366293172","0.118030251857018","0.225912480729326"
"2","1984","(0) in school","East Germany","","","",""
"2","1984","(1a) inadequately completed","West Germany","240","0.19183581283797","0.168714092737187","0.214957532938753"
"2","1984","(1a) inadequately completed","East Germany","","","",""
"2","1984","(1b) general elementary school","West Germany","455","0.104847288621494","0.0939101520603717","0.115784425182616"
"2","1984","(1b) general elementary school","East Germany","","","",""
"2","1984","(1c) basic vocational qualification","West Germany","630","0.125663149158667","0.11571290389588","0.135613394421453"
"2","1984","(1c) basic vocational qualification","East Germany","","","",""
"2","1984","(2b) intermediate general qualification","West Germany","70","0.127630568160944","0.0976861090747095","0.157575027247178"
"2","1984","(2b) intermediate general qualification","East Germany","","","",""
"2","1984","(2a) intermediate vocational","West Germany","231","0.150439776757043","0.131779548149095","0.169100005364992"
"2","1984","(2a) intermediate vocational","East Germany","","","",""
"2","1984","(2c_gen) general maturity certificate","West Germany","88","0.211727185237303","0.172374487750362","0.251079882724245"
"2","1984","(2c_gen) general maturity certificate","East Germany","","","",""
"2","1984","(2c_voc) vocational maturity certificate","West Germany","83","0.148490785811482","0.115853795814241","0.181127775808723"
"2","1984","(2c_voc) vocational maturity certificate","East Germany","","","",""
"2","1984","(3a) lower tertiary education","West Germany","39","0.135303062786957","0.0941207314726435","0.17648539410127"
"2","1984","(3a) lower tertiary education","East Germany","","","",""
"2","1984","(3b) higher tertiary education","West Germany","103","0.17027733825762","0.138186010528188","0.202368665987052"
"2","1984","(3b) higher tertiary education","East Germany","","","",""
"3","1984","(0) in school","West Germany","141","0.744945706957161","0.682637135233013","0.80725427868131"
"3","1984","(0) in school","East Germany","","","",""
"3","1984","(1a) inadequately completed","West Germany","738","0.639201582833329","0.611001088043175","0.667402077623483"
"3","1984","(1a) inadequately completed","East Germany","","","",""
"3","1984","(1b) general elementary school","West Germany","2242","0.789538960764392","0.774986075507149","0.804091846021634"
"3","1984","(1b) general elementary school","East Germany","","","",""
"3","1984","(1c) basic vocational qualification","West Germany","3238","0.781119573751942","0.768707262771009","0.793531884732876"
"3","1984","(1c) basic vocational qualification","East Germany","","","",""
"3","1984","(2b) intermediate general qualification","West Germany","354","0.752931917426431","0.714226203918715","0.791637630934147"
"3","1984","(2b) intermediate general qualification","East Germany","","","",""
"3","1984","(2a) intermediate vocational","West Germany","1052","0.750190932630245","0.727595090124927","0.772786775135562"
"3","1984","(2a) intermediate vocational","East Germany","","","",""
"3","1984","(2c_gen) general maturity certificate","West Germany","273","0.673460598572079","0.628288339252446","0.718632857891712"
"3","1984","(2c_gen) general maturity certificate","East Germany","","","",""
"3","1984","(2c_voc) vocational maturity certificate","West Germany","311","0.703838657241573","0.661933602437976","0.745743712045169"
"3","1984","(2c_voc) vocational maturity certificate","East Germany","","","",""
"3","1984","(3a) lower tertiary education","West Germany","202","0.778617387081401","0.72863017020383","0.828604603958972"
"3","1984","(3a) lower tertiary education","East Germany","","","",""
"3","1984","(3b) higher tertiary education","West Germany","367","0.706764572001676","0.667896912546586","0.745632231456766"
