"hlf0071_h","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1","1984","(0) in school","6","","",""
"1","1984","(1a) inadequately completed","100","0.0858206227365119","0.0693724735532784","0.102268771919745"
"1","1984","(1b) general elementary school","137","0.0257107041618957","0.0200603272559851","0.0313610810678063"
"1","1984","(1c) basic vocational qualification","122","0.0214758231914239","0.0171242016813537","0.0258274447014942"
"1","1984","(2b) intermediate general qualification","14","","",""
"1","1984","(2a) intermediate vocational","21","","",""
"1","1984","(2c_gen) general maturity certificate","30","0.0525527657230665","0.0310584697351471","0.0740470617109859"
"1","1984","(2c_voc) vocational maturity certificate","26","","",""
"1","1984","(3a) lower tertiary education","2","","",""
"1","1984","(3b) higher tertiary education","21","","",""
"2","1984","(0) in school","33","0.171971366293172","0.118030251857018","0.225912480729326"
"2","1984","(1a) inadequately completed","240","0.19183581283797","0.168714092737187","0.214957532938753"
"2","1984","(1b) general elementary school","455","0.104847288621494","0.0939101520603717","0.115784425182616"
"2","1984","(1c) basic vocational qualification","630","0.125663149158667","0.11571290389588","0.135613394421453"
"2","1984","(2b) intermediate general qualification","70","0.127630568160944","0.0976861090747095","0.157575027247178"
"2","1984","(2a) intermediate vocational","231","0.150439776757043","0.131779548149095","0.169100005364992"
"2","1984","(2c_gen) general maturity certificate","88","0.211727185237303","0.172374487750362","0.251079882724245"
"2","1984","(2c_voc) vocational maturity certificate","83","0.148490785811482","0.115853795814241","0.181127775808723"
"2","1984","(3a) lower tertiary education","39","0.135303062786957","0.0941207314726435","0.17648539410127"
"2","1984","(3b) higher tertiary education","103","0.17027733825762","0.138186010528188","0.202368665987052"
"3","1984","(0) in school","141","0.744945706957161","0.682637135233013","0.80725427868131"
"3","1984","(1a) inadequately completed","738","0.639201582833329","0.611001088043175","0.667402077623483"
"3","1984","(1b) general elementary school","2242","0.789538960764392","0.774986075507149","0.804091846021634"
"3","1984","(1c) basic vocational qualification","3238","0.781119573751942","0.768707262771009","0.793531884732876"
"3","1984","(2b) intermediate general qualification","354","0.752931917426431","0.714226203918715","0.791637630934147"
"3","1984","(2a) intermediate vocational","1052","0.750190932630245","0.727595090124927","0.772786775135562"
"3","1984","(2c_gen) general maturity certificate","273","0.673460598572079","0.628288339252446","0.718632857891712"
"3","1984","(2c_voc) vocational maturity certificate","311","0.703838657241573","0.661933602437976","0.745743712045169"
"3","1984","(3a) lower tertiary education","202","0.778617387081401","0.72863017020383","0.828604603958972"
"3","1984","(3b) higher tertiary education","367","0.706764572001676","0.667896912546586","0.745632231456766"
"4","1984","(0) in school","7","","",""
"4","1984","(1a) inadequately completed","34","0.0813541410603667","0.0653006537713852","0.0974076283493483"
"4","1984","(1b) general elementary school","161","0.070761625181888","0.0616070344213667","0.0799162159424094"
"4","1984","(1c) basic vocational qualification","247","0.0647779372775271","0.0573893509173197","0.0721665236377346"
"4","1984","(2b) intermediate general qualification","36","0.0805256105140469","0.0561067309354801","0.104944490092614"
"4","1984","(2a) intermediate vocational","87","0.0692553326030275","0.0560033632548279","0.0825073019512269"
"4","1984","(2c_gen) general maturity certificate","16","","",""
"4","1984","(2c_voc) vocational maturity certificate","32","0.0910962574332774","0.0646858632635955","0.117506651602959"
"4","1984","(3a) lower tertiary education","21","","",""
"4","1984","(3b) higher tertiary education","26","","",""
"5","1984","(0) in school","1","","",""
"5","1984","(1a) inadequately completed","2","","",""
"5","1984","(1b) general elementary school","19","","",""
"5","1984","(1c) basic vocational qualification","26","","",""
"5","1984","(2b) intermediate general qualification","3","","",""
"5","1984","(2a) intermediate vocational","19","","",""
"5","1984","(2c_gen) general maturity certificate","7","","",""
"5","1984","(2c_voc) vocational maturity certificate","4","","",""
"5","1984","(3a) lower tertiary education","1","","",""
"5","1984","(3b) higher tertiary education","10","","",""
"1","1985","(0) in school","5","","",""
"1","1985","(1a) inadequately completed","61","0.0686756789965012","0.0522169459694523","0.08513441202355"
"1","1985","(1b) general elementary school","119","0.0257158416199903","0.0196456179139169","0.0317860653260637"
"1","1985","(1c) basic vocational qualification","111","0.0220357872367975","0.017381764333186","0.0266898101404091"
"1","1985","(2b) intermediate general qualification","12","","",""
"1","1985","(2a) intermediate vocational","26","","",""
"1","1985","(2c_gen) general maturity certificate","13","","",""
"1","1985","(2c_voc) vocational maturity certificate","24","","",""
"1","1985","(3a) lower tertiary education","6","","",""
"1","1985","(3b) higher tertiary education","21","","",""
"2","1985","(0) in school","24","","",""
"2","1985","(1a) inadequately completed","194","0.183891603299174","0.158680066451884","0.209103140146464"
"2","1985","(1b) general elementary school","349","0.0924439451264616","0.0813359042418723","0.103551986011051"
"2","1985","(1c) basic vocational qualification","515","0.114429461903603","0.104337322116623","0.124521601690583"
"2","1985","(2b) intermediate general qualification","72","0.138680134158947","0.10750082772652","0.169859440591375"
"2","1985","(2a) intermediate vocational","191","0.129993415820272","0.11198739950107","0.147999432139474"
"2","1985","(2c_gen) general maturity certificate","80","0.198891417837877","0.158598276248439","0.239184559427314"
"2","1985","(2c_voc) vocational maturity certificate","77","0.14918472172283","0.114699265412134","0.183670178033527"
"2","1985","(3a) lower tertiary education","35","0.132078971529999","0.0899404595699859","0.174217483490012"
"2","1985","(3b) higher tertiary education","83","0.137487525612468","0.107453279003515","0.167521772221422"
"3","1985","(0) in school","149","0.823282872765011","0.768467107608024","0.878098637921998"
"3","1985","(1a) inadequately completed","631","0.707976848107727","0.678385645369442","0.737568050846012"
"3","1985","(1b) general elementary school","1987","0.8002248550718","0.784891462663833","0.815558247479767"
"3","1985","(1c) basic vocational qualification","2952","0.791104722347089","0.778216766211262","0.803992678482916"
"3","1985","(2b) intermediate general qualification","357","0.763895800523146","0.725582813824786","0.802208787221506"
"3","1985","(2a) intermediate vocational","990","0.750230724675374","0.727053436436979","0.773408012913768"
"3","1985","(2c_gen) general maturity certificate","257","0.703106602235015","0.656986711053734","0.749226493416296"
"3","1985","(2c_voc) vocational maturity certificate","283","0.714632056120757","0.670920124087247","0.758343988154266"
"3","1985","(3a) lower tertiary education","187","0.756858796175522","0.703468913900651","0.810248678450394"
"3","1985","(3b) higher tertiary education","357","0.720866340688004","0.6817430046181","0.759989676757907"
"4","1985","(0) in school","6","","",""
