"hlf0071_h","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Much too small","1984","1-pers.-HH","Male","35","0.0477252222122804","0.0297611588230102","0.0656892856015505"
"Much too small","1984","1-pers.-HH","Female","13","","",""
"Much too small","1984","(Married) couple without C. ","Male","17","","",""
"Much too small","1984","(Married) couple without C. ","Female","16","","",""
"Much too small","1984","Single parent ","Male","7","","",""
"Much too small","1984","Single parent ","Female","15","","",""
"Much too small","1984","Couple + C. LE 16 ","Male","103","0.0498625581339046","0.0389951177664855","0.0607299985013236"
"Much too small","1984","Couple + C. LE 16 ","Female","100","0.0495383922313041","0.0386974501461488","0.0603793343164593"
"Much too small","1984","Couple + C. GT 16 ","Male","13","","",""
"Much too small","1984","Couple + C. GT 16 ","Female","17","","",""
"Much too small","1984","Couple + C. LE and GT 16","Male","60","0.0550192845953175","0.0403330135181765","0.0697055556724585"
"Much too small","1984","Couple + C. LE and GT 16","Female","53","0.0561777794749155","0.0401613677968705","0.0721941911529606"
"A little too small","1984","1-pers.-HH","Male","73","0.123332605836881","0.0956245637041925","0.15104064796957"
"A little too small","1984","1-pers.-HH","Female","73","0.0762855866733669","0.0578098568517583","0.0947613164949756"
"A little too small","1984","(Married) couple without C. ","Male","159","0.105089399721357","0.088730635664138","0.121448163778575"
"A little too small","1984","(Married) couple without C. ","Female","157","0.103154615895076","0.08692361738279","0.119385614407361"
"A little too small","1984","Single parent ","Male","22","","",""
"A little too small","1984","Single parent ","Female","60","0.143840308794512","0.108602954341428","0.179077663247595"
"A little too small","1984","Couple + C. LE 16 ","Male","360","0.210258444527583","0.189913055866374","0.230603833188792"
"A little too small","1984","Couple + C. LE 16 ","Female","361","0.212336875203317","0.191904834312943","0.23276891609369"
"A little too small","1984","Couple + C. GT 16 ","Male","131","0.0810814065903984","0.0648396731493242","0.0973231400314725"
"A little too small","1984","Couple + C. GT 16 ","Female","118","0.0967654214171276","0.0775360299581277","0.115994812876128"
