"hlf0071_h","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Much too small","1985","Full Time","Urban Area","171","0.0314255984683895","0.0260081261841021","0.0368430707526769"
"Much too small","1985","Full Time","Rural Area","19","","",""
"Much too small","1985","Part Time","Urban Area","75","0.0361553929489351","0.026606014236677","0.0457047716611933"
"Much too small","1985","Part Time","Rural Area","9","","",""
"Much too small","1985","Not Working","Urban Area","115","0.0202682818039973","0.0154611350569079","0.0250754285510868"
"Much too small","1985","Not Working","Rural Area","19","","",""
"A little too small","1985","Full Time","Urban Area","695","0.1498578086939","0.138774385906824","0.160941231480977"
"A little too small","1985","Full Time","Rural Area","115","0.106127762527094","0.0867450545615672","0.125510470492622"
"A little too small","1985","Part Time","Urban Area","251","0.156432313309219","0.137849636879788","0.17501498973865"
"A little too small","1985","Part Time","Rural Area","55","0.123410606014975","0.0905563168974679","0.156264895132482"
"A little too small","1985","Not Working","Urban Area","442","0.0956065849221985","0.0855754995327492","0.105637670311648"
"A little too small","1985","Not Working","Rural Area","89","0.0772583476231264","0.0599297490146078","0.094586946231645"
"Just right","1985","Full Time","Urban Area","2902","0.749944969688606","0.736498108486046","0.763391830891166"
"Just right","1985","Full Time","Rural Area","759","0.781216720027816","0.755199849649144","0.807233590406488"
"Just right","1985","Part Time","Urban Area","1053","0.737167663006358","0.714650814829765","0.75968451118295"
"Just right","1985","Part Time","Rural Area","277","0.732341533330602","0.688116817436912","0.776566249224292"
"Just right","1985","Not Working","Urban Area","2542","0.806041659465667","0.792553325730326","0.819529993201008"
"Just right","1985","Not Working","Rural Area","715","0.799622618619938","0.773643910206404","0.825601327033471"
"A little too big","1985","Full Time","Urban Area","192","0.0622904957331462","0.0547857932682106","0.0697951981980818"
"A little too big","1985","Full Time","Rural Area","70","0.0880173930775401","0.0701878689314015","0.105846917223679"
"A little too big","1985","Part Time","Urban Area","77","0.0616115073023756","0.0493114448411133","0.0739115697636381"
"A little too big","1985","Part Time","Rural Area","40","0.112871443900344","0.0812630050667187","0.144479882733969"
"A little too big","1985","Not Working","Urban Area","175","0.0656383933143667","0.0571902398927331","0.0740865467360003"
"A little too big","1985","Not Working","Rural Area","82","0.0985362343357904","0.0791932807393421","0.117879187932239"
"Much too big","1985","Full Time","Urban Area","24","","",""
"Much too big","1985","Full Time","Rural Area","7","","",""
"Much too big","1985","Part Time","Urban Area","12","","",""
"Much too big","1985","Part Time","Rural Area","4","","",""
"Much too big","1985","Not Working","Urban Area","27","","",""
"Much too big","1985","Not Working","Rural Area","7","","",""
"Much too small","1986","Full Time","Urban Area","9","","",""
"Much too small","1986","Full Time","Rural Area","7","","",""
"Much too small","1986","Part Time","Urban Area","12","","",""
"Much too small","1986","Part Time","Rural Area","5","","",""
"Much too small","1986","Not Working","Urban Area","11","","",""
"Much too small","1986","Not Working","Rural Area","6","","",""
"A little too small","1986","Full Time","Urban Area","86","0.164667175619046","0.133811511994735","0.195522839243358"
"A little too small","1986","Full Time","Rural Area","9","","",""
"A little too small","1986","Part Time","Urban Area","35","0.1774009014102","0.125610774681896","0.229191028138504"
"A little too small","1986","Part Time","Rural Area","5","","",""
"A little too small","1986","Not Working","Urban Area","46","0.143456918304941","0.102026711749214","0.184887124860668"
"A little too small","1986","Not Working","Rural Area","4","","",""
"Just right","1986","Full Time","Urban Area","429","0.749400880328424","0.713347294164412","0.785454466492435"
"Just right","1986","Full Time","Rural Area","74","0.8066445267758","0.72805194519449","0.88523710835711"
"Just right","1986","Part Time","Urban Area","150","0.737218067215244","0.677546054829673","0.796890079600815"
