"hlf0071_h","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"A little too big","1984","Single parent ","middle vocational","17","","","","4"
"A little too big","1984","Couple + C. GT 16 ","inadequately","2","","","","4"
"A little too big","1984","(Married) couple without C. ","middle vocational","98","0.0741295561647028","0.0604648104976937","0.087794301831712","4"
"A little too big","1984","(Married) couple without C. ","vocational + Abi","10","","","","4"
"A little too big","1984","Single parent ","vocational + Abi","","","","","4"
"A little too big","1984","Single parent ","higher vocational","1","","","","4"
"A little too big","1984","(Married) couple without C. ","general elemantary","50","0.0833417829032086","0.0628516575852436","0.103831908221174","4"
"A little too big","1984","Couple + C. GT 16 ","in school","5","","","","4"
"A little too big","1984","Single parent ","in school","","","","","4"
"A little too big","1984","Couple + C. GT 16 ","general elemantary","46","0.0863525967908816","0.0636879425346988","0.109017251047064","4"
"A little too big","1984","Single parent ","inadequately","4","","","","4"
"A little too big","1984","Single parent ","general elemantary","8","","","","4"
"A little too big","1984","Couple + C. LE 16 ","in school","","","","","4"
"A little too big","1984","Couple + C. LE 16 ","inadequately","10","","","","4"
"A little too big","1984","Couple + C. LE 16 ","general elemantary","18","","","","4"
"A little too big","1984","Couple + C. LE 16 ","middle vocational","57","0.0428945155057897","0.032671376712573","0.0531176542990063","4"
"A little too big","1984","Couple + C. LE 16 ","vocational + Abi","5","","","","4"
"A little too big","1984","Couple + C. GT 16 ","middle vocational","45","0.0522346528012613","0.0379805483902427","0.06648875721228","4"
"A little too big","1984","Couple + C. GT 16 ","vocational + Abi","2","","","","4"
"A little too big","1984","Couple + C. GT 16 ","higher vocational","6","","","","4"
"A little too big","1984","Couple + C. GT 16 ","higher education","5","","","","4"
"A little too big","1984","Couple + C. LE and GT 16","in school","2","","","","4"
"A little too big","1984","Couple + C. LE and GT 16","middle vocational","16","","","","4"
"A little too big","1984","Couple + C. LE and GT 16","higher vocational","5","","","","4"
"A little too big","1984","Single parent ","higher education","2","","","","4"
"A little too big","1984","Couple + C. LE and GT 16","vocational + Abi","","","","","4"
"A little too big","1984","1-pers.-HH","in school","","","","","4"
"A little too big","1984","1-pers.-HH","inadequately","5","","","","4"
"A little too big","1984","1-pers.-HH","general elemantary","40","0.109579412151271","0.0786968093710365","0.140462014931506","4"
"A little too big","1984","1-pers.-HH","middle vocational","54","0.0974423895178891","0.0741552847713899","0.120729494264388","4"
"A little too big","1984","1-pers.-HH","vocational + Abi","4","","","","4"
"A little too big","1984","1-pers.-HH","higher vocational","9","","","","4"
"A little too big","1984","1-pers.-HH","higher education","10","","","","4"
"A little too big","1984","(Married) couple without C. ","in school","","","","","4"
"A little too big","1984","(Married) couple without C. ","inadequately","4","","","","4"
"A little too big","1984","(Married) couple without C. ","higher vocational","13","","","","4"
"A little too big","1984","(Married) couple without C. ","higher education","16","","","","4"
"A little too big","1984","Couple + C. LE 16 ","higher vocational","18","","","","4"
"A little too big","1984","Couple + C. LE 16 ","higher education","8","","","","4"
"A little too big","1984","Couple + C. LE and GT 16","inadequately","4","","","","4"
"A little too big","1984","Couple + C. LE and GT 16","general elemantary","11","","","","4"
"A little too big","1984","Couple + C. LE and GT 16","higher education","3","","","","4"
"A little too small","1984","1-pers.-HH","in school","","","","","2"
"A little too small","1984","1-pers.-HH","higher vocational","15","","","","2"
"A little too small","1984","(Married) couple without C. ","inadequately","11","","","","2"
"A little too small","1984","(Married) couple without C. ","vocational + Abi","15","","","","2"
"A little too small","1984","Single parent ","higher vocational","4","","","","2"
"A little too small","1984","Single parent ","higher education","2","","","","2"
"A little too small","1984","1-pers.-HH","inadequately","6","","","","2"
"A little too small","1984","1-pers.-HH","general elemantary","20","","","","2"
"A little too small","1984","1-pers.-HH","vocational + Abi","6","","","","2"
"A little too small","1984","1-pers.-HH","higher education","18","","","","2"
"A little too small","1984","(Married) couple without C. ","in school","1","","","","2"
"A little too small","1984","(Married) couple without C. ","higher education","35","0.155099636537028","0.105302059679158","0.204897213394899","2"
"A little too small","1984","(Married) couple without C. ","general elemantary","74","0.0861070958517343","0.065311248219339","0.10690294348413","2"
"A little too small","1984","(Married) couple without C. ","middle vocational","154","0.0972031633148964","0.0817518301749145","0.112654496454878","2"
"A little too small","1984","(Married) couple without C. ","higher vocational","26","","","","2"
"A little too small","1984","Single parent ","in school","3","","","","2"
"A little too small","1984","Single parent ","inadequately","7","","","","2"
"A little too small","1984","1-pers.-HH","middle vocational","81","0.109779524214033","0.0852316703404342","0.134327378087633","2"
"A little too small","1984","Single parent ","middle vocational","34","0.104260196797464","0.0671142336346814","0.141406159960247","2"
"A little too small","1984","Single parent ","vocational + Abi","1","","","","2"
"A little too small","1984","Couple + C. LE 16 ","in school","","","","","2"
"A little too small","1984","Couple + C. LE 16 ","higher vocational","45","0.22029637769638","0.163837612917267","0.276755142475494","2"
"A little too small","1984","Couple + C. LE and GT 16","middle vocational","121","0.16612949272062","0.13821624206089","0.19404274338035","2"
"A little too small","1984","Single parent ","general elemantary","31","0.147059310185878","0.0979754430376958","0.196143177334059","2"
"A little too small","1984","Couple + C. LE 16 ","inadequately","76","0.265746943073538","0.217272841351135","0.314221044795941","2"
"A little too small","1984","Couple + C. LE 16 ","general elemantary","150","0.172269290503362","0.143569036854005","0.20096954415272","2"
"A little too small","1984","Couple + C. LE 16 ","middle vocational","357","0.214762333086516","0.194042650890816","0.235482015282215","2"
"A little too small","1984","Couple + C. LE 16 ","vocational + Abi","24","","","","2"
"A little too small","1984","Couple + C. LE 16 ","higher education","61","0.214489155895772","0.165162004591833","0.263816307199712","2"
"A little too small","1984","Couple + C. GT 16 ","in school","10","","","","2"
"A little too small","1984","Couple + C. GT 16 ","inadequately","36","0.202201447620165","0.137274023123967","0.267128872116364","2"
"A little too small","1984","Couple + C. GT 16 ","general elemantary","80","0.0862698662985208","0.0636150460069083","0.108924686590133","2"
"A little too small","1984","Couple + C. GT 16 ","middle vocational","101","0.0862972325736626","0.0683080648424133","0.104286400304912","2"
"A little too small","1984","Couple + C. GT 16 ","vocational + Abi","3","","","","2"
"A little too small","1984","Couple + C. GT 16 ","higher vocational","9","","","","2"
"A little too small","1984","Couple + C. GT 16 ","higher education","8","","","","2"
"A little too small","1984","Couple + C. LE and GT 16","in school","17","","","","2"
"A little too small","1984","Couple + C. LE and GT 16","inadequately","46","0.172369983385198","0.122573245836679","0.222166720933716","2"
"A little too small","1984","Couple + C. LE and GT 16","general elemantary","110","0.162307153317789","0.132728924843185","0.191885381792392","2"
"A little too small","1984","Couple + C. LE and GT 16","vocational + Abi","4","","","","2"
"A little too small","1984","Couple + C. LE and GT 16","higher vocational","5","","","","2"
"A little too small","1984","Couple + C. LE and GT 16","higher education","12","","","","2"
"Just right","1984","(Married) couple without C. ","general elemantary","560","0.813388716763894","0.784506699408603","0.842270734119185","3"
"Just right","1984","(Married) couple without C. ","middle vocational","1137","0.816970391236322","0.79680091702773","0.837139865444913","3"
"Just right","1984","Single parent ","general elemantary","153","0.779778219894866","0.722346902575717","0.837209537214014","3"
"Just right","1984","Single parent ","middle vocational","196","0.7933516989595","0.744135256897839","0.842568141021161","3"
"Just right","1984","Couple + C. GT 16 ","in school","61","0.754095558729528","0.659137697743664","0.849053419715392","3"
"Just right","1984","Single parent ","in school","14","","","","3"
"Just right","1984","Single parent ","inadequately","34","0.701456663549689","0.574613459864364","0.828299867235015","3"
"Just right","1984","Single parent ","vocational + Abi","7","","","","3"
"Just right","1984","Single parent ","higher vocational","20","","","","3"
"Just right","1984","Single parent ","higher education","12","","","","3"
"Just right","1984","Couple + C. LE 16 ","in school","","","","","3"
"Just right","1984","Couple + C. LE 16 ","inadequately","188","0.583850002487476","0.529758587687599","0.637941417287353","3"
"Just right","1984","Couple + C. LE 16 ","general elemantary","446","0.719774218762591","0.685640040196835","0.753908397328347","3"
"Just right","1984","Couple + C. LE 16 ","higher education","185","0.711462190045691","0.657013861704062","0.765910518387319","3"
"Just right","1984","Couple + C. LE and GT 16","middle vocational","502","0.744657511993829","0.711955266869255","0.777359757118403","3"
"Just right","1984","Couple + C. LE and GT 16","vocational + Abi","14","","","","3"
"Just right","1984","1-pers.-HH","in school","1","","","","3"
