"hlf0071_h","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Much too small","1985","Urban Area","361","0.0273679202438835","0.023949977216429","0.0307858632713381"
"Much too small","1985","Rural Area","47","0.0158795031755236","0.0107335607273396","0.0210254456237077"
"A little too small","1985","Urban Area","1388","0.127455833706626","0.120469598621495","0.134442068791757"
"A little too small","1985","Rural Area","259","0.0955934277289215","0.0834897262724559","0.107697129185387"
"Just right","1985","Urban Area","6497","0.772136242363706","0.763348967259348","0.780923517468064"
"Just right","1985","Rural Area","1751","0.781905739854759","0.764906807349906","0.798904672359612"
"A little too big","1985","Urban Area","444","0.0636284858860537","0.0585149710791367","0.0687420006929706"
"A little too big","1985","Rural Area","192","0.0968153471042872","0.0846427650980545","0.10898792911052"
"Much too big","1985","Urban Area","63","0.00941151779973029","0.00738874969140386","0.0114342859080567"
"Much too big","1985","Rural Area","18","","",""
"Much too small","1986","Urban Area","32","0.0253908237306354","0.0158256258149474","0.0349560216463234"
"Much too small","1986","Rural Area","18","","",""
"A little too small","1986","Urban Area","167","0.161171104438706","0.138813740345399","0.183528468532013"
"A little too small","1986","Rural Area","18","","",""
"Just right","1986","Urban Area","778","0.742501414844863","0.71591398337058","0.769088846319146"
"Just right","1986","Rural Area","170","0.783176986547564","0.729091803212526","0.837262169882602"
"A little too big","1986","Urban Area","59","0.0653593135977813","0.0503307871532627","0.0803878400422998"
"A little too big","1986","Rural Area","17","","",""
"Much too big","1986","Urban Area","3","","",""
"Much too big","1986","Rural Area","","","",""
"Much too small","1987","Urban Area","33","0.0311005883693909","0.0195391253680765","0.0426620513707053"
"Much too small","1987","Rural Area","11","","",""
"A little too small","1987","Urban Area","131","0.118069868228808","0.0965779205462056","0.13956181591141"
"A little too small","1987","Rural Area","33","0.158697197834596","0.107802060243289","0.209592335425903"
"Just right","1987","Urban Area","649","0.775673000845389","0.747890633080303","0.803455368610474"
"Just right","1987","Rural Area","143","0.722207256460311","0.659818422579087","0.784596090341535"
"A little too big","1987","Urban Area","46","0.0679788492786727","0.0512144138105274","0.084743284746818"
"A little too big","1987","Rural Area","11","","",""
"Much too big","1987","Urban Area","7","","",""
"Much too big","1987","Rural Area","","","",""
"Much too small","1988","Urban Area","37","0.0378174137908484","0.0249405837716329","0.0506942438100639"
"Much too small","1988","Rural Area","1","","",""
"A little too small","1988","Urban Area","154","0.190940800648478","0.164408566363971","0.217473034932985"
"A little too small","1988","Rural Area","16","","",""
"Just right","1988","Urban Area","610","0.724835482073329","0.694688055794353","0.754982908352306"
"Just right","1988","Rural Area","141","0.800250584225869","0.741183230302882","0.859317938148856"
"A little too big","1988","Urban Area","42","0.046406303487344","0.0322057759789579","0.06060683099573"
"A little too big","1988","Rural Area","15","","",""
"Much too big","1988","Urban Area","","","",""
"Much too big","1988","Rural Area","3","","",""
"Much too small","1989","Urban Area","35","0.0406353512289137","0.0267434689313805","0.054527233526447"
"Much too small","1989","Rural Area","5","","",""
"A little too small","1989","Urban Area","135","0.139700460967393","0.115308821333594","0.164092100601192"
"A little too small","1989","Rural Area","26","","",""
"Just right","1989","Urban Area","557","0.747511615853483","0.716945031971469","0.778078199735497"
"Just right","1989","Rural Area","137","0.765223443769069","0.703979848621363","0.826467038916776"
"A little too big","1989","Urban Area","44","0.0647230159241041","0.0474122323395874","0.0820337995086208"
"A little too big","1989","Rural Area","16","","",""
"Much too big","1989","Urban Area","5","","",""
"Much too big","1989","Rural Area","","","",""
"Much too small","1990","Urban Area","162","0.0718273256502728","0.0610818274022447","0.0825728238983009"
"Much too small","1990","Rural Area","235","0.0694377501553083","0.0603552056872542","0.0785202946233624"
"A little too small","1990","Urban Area","482","0.201598726372129","0.184902365509085","0.218295087235173"
"A little too small","1990","Rural Area","714","0.215665602138517","0.200970315242027","0.230360889035007"
"Just right","1990","Urban Area","1464","0.675565155171912","0.656081757871","0.695048552472824"
"Just right","1990","Rural Area","1931","0.661286185422692","0.644376007497182","0.678196363348203"
"A little too big","1990","Urban Area","99","0.0457859033120598","0.0370871677715914","0.0544846388525282"
"A little too big","1990","Rural Area","104","0.0446494778416268","0.037269984215321","0.0520289714679327"
"Much too big","1990","Urban Area","11","","",""
"Much too big","1990","Rural Area","25","","",""
"Much too small","1991","Urban Area","410","0.0294507788026256","0.0259046998393381","0.0329968577659131"
"Much too small","1991","Rural Area","166","0.0266731205087874","0.0220051951077525","0.0313410459098223"
"A little too small","1991","Urban Area","1696","0.166204961431524","0.158396906271788","0.17401301659126"
"A little too small","1991","Rural Area","864","0.156396566025647","0.145873545662387","0.166919586388907"
"Just right","1991","Urban Area","6135","0.733370665444429","0.724095814067644","0.742645516821215"
"Just right","1991","Rural Area","3225","0.72280696950986","0.709839359116717","0.735774579903003"
"A little too big","1991","Urban Area","448","0.0646383217047084","0.059480978303554","0.0697956651058628"
"A little too big","1991","Rural Area","293","0.0858958013835201","0.0777779433017696","0.0940136594652707"
"Much too big","1991","Urban Area","43","0.0063352726167129","0.0046711174474348","0.007999427785991"
"Much too big","1991","Rural Area","29","","",""
"Much too small","1992","Urban Area","425","0.0309546184133863","0.0273024471126271","0.0346067897141455"
"Much too small","1992","Rural Area","171","0.026608563396023","0.0218613668670688","0.0313557599249772"
"A little too small","1992","Urban Area","1719","0.169030487046975","0.161127497260583","0.176933476833368"
"A little too small","1992","Rural Area","812","0.144621047955968","0.13424629488369","0.154995801028246"
