"hlf0071_h","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"Much too small","1984","Not Employed","in school","6","","",""
"Much too small","1984","Not Employed","inadequately","40","0.104597667586445","0.0737871781805012","0.135408156992388"
"Much too small","1984","Not Employed","general elemantary","54","0.018705176213842","0.0123738334296669","0.025036518998017"
"Much too small","1984","Not Employed","middle vocational","64","0.0236195277066366","0.0167676865235738","0.0304713688896995"
"Much too small","1984","Not Employed","vocational + Abi","9","","",""
"Much too small","1984","Not Employed","higher vocational","4","","",""
"Much too small","1984","Not Employed","higher education","2","","",""
"Much too small","1984","Employed","in school","","","",""
"Much too small","1984","Employed","inadequately","53","0.0730119503201868","0.0528407517607298","0.0931831488796439"
"Much too small","1984","Employed","general elemantary","94","0.0375122836294863","0.0285009616540191","0.0465236056049534"
"Much too small","1984","Employed","middle vocational","109","0.020977729002484","0.0164391047960963","0.0255163532088717"
"Much too small","1984","Employed","vocational + Abi","13","","",""
"Much too small","1984","Employed","higher vocational","11","","",""
"Much too small","1984","Employed","higher education","21","","",""
"A little too small","1984","Not Employed","in school","32","0.176419374666278","0.120422435383626","0.232416313948929"
"A little too small","1984","Not Employed","inadequately","81","0.167655379657341","0.130046636396058","0.205264122918624"
"A little too small","1984","Not Employed","general elemantary","211","0.0837468936706849","0.0708017386694961","0.0966920486718736"
"A little too small","1984","Not Employed","middle vocational","243","0.106147820696687","0.0922498774558821","0.120045763937493"
"A little too small","1984","Not Employed","vocational + Abi","7","","",""
"A little too small","1984","Not Employed","higher vocational","25","","",""
"A little too small","1984","Not Employed","higher education","16","","",""
"A little too small","1984","Employed","in school","1","","",""
"A little too small","1984","Employed","inadequately","130","0.202634540142826","0.171468393553081","0.233800686732572"
"A little too small","1984","Employed","general elemantary","310","0.146060635478549","0.129311813453646","0.162809457503453"
"A little too small","1984","Employed","middle vocational","666","0.153164817860195","0.141758967756299","0.164570667964092"
"A little too small","1984","Employed","vocational + Abi","50","0.178589456360456","0.129198191826012","0.2279807208949"
"A little too small","1984","Employed","higher vocational","81","0.17079710864613","0.13691818677866","0.204676030513601"
"A little too small","1984","Employed","higher education","126","0.182695957813019","0.152593460331514","0.212798455294523"
"Just right","1984","Not Employed","in school","134","0.749908823992242","0.6862891402058","0.813528507778685"
"Just right","1984","Not Employed","inadequately","243","0.609228269692737","0.560105812967563","0.658350726417911"
"Just right","1984","Not Employed","general elemantary","1368","0.811059140230174","0.792765321290918","0.82935295916943"
"Just right","1984","Not Employed","middle vocational","1448","0.790302253460912","0.771934517284354","0.808669989637469"
"Just right","1984","Not Employed","vocational + Abi","57","0.691719087532988","0.59115480039079","0.792283374675186"
"Just right","1984","Not Employed","higher vocational","137","0.756702043419829","0.695039234675979","0.818364852163679"
"Just right","1984","Not Employed","higher education","125","0.802539846385883","0.740663798573315","0.864415894198451"
"Just right","1984","Employed","in school","6","","",""
"Just right","1984","Employed","inadequately","439","0.691978865145315","0.656182878669216","0.727774851621415"
"Just right","1984","Employed","general elemantary","1212","0.74424848694021","0.723557927002366","0.764939046878054"
"Just right","1984","Employed","middle vocational","2832","0.75860203208118","0.745049435533485","0.772154628628875"
"Just right","1984","Employed","vocational + Abi","153","0.707761888003055","0.649113765426479","0.76641001057963"
"Just right","1984","Employed","higher vocational","336","0.702260823782196","0.661096012173118","0.743425635391275"
"Just right","1984","Employed","higher education","444","0.712163765569624","0.676893485775506","0.747434045363742"
"A little too big","1984","Not Employed","in school","6","","",""
"A little too big","1984","Not Employed","inadequately","15","","",""
"A little too big","1984","Not Employed","general elemantary","115","0.0778604495935863","0.0653385000500266","0.0903823991371461"
"A little too big","1984","Not Employed","middle vocational","117","0.0708252447155129","0.0592506742350144","0.0823998151960115"
"A little too big","1984","Not Employed","vocational + Abi","8","","",""
"A little too big","1984","Not Employed","higher vocational","18","","",""
"A little too big","1984","Not Employed","higher education","12","","",""
"A little too big","1984","Employed","in school","1","","",""
"A little too big","1984","Employed","inadequately","15","","",""
"A little too big","1984","Employed","general elemantary","81","0.0632954389473268","0.0517478402378658","0.0748430376567879"
"A little too big","1984","Employed","middle vocational","193","0.0579475651508248","0.0505480402083389","0.0653470900933106"
"A little too big","1984","Employed","vocational + Abi","14","","",""
"A little too big","1984","Employed","higher vocational","38","0.0817645919482927","0.0570974646634287","0.106431719233157"
"A little too big","1984","Employed","higher education","35","0.0650143874886868","0.0458076572053915","0.0842211177719821"
"Much too big","1984","Not Employed","in school","","","",""
"Much too big","1984","Not Employed","inadequately","","","",""
"Much too big","1984","Not Employed","general elemantary","11","","",""
"Much too big","1984","Not Employed","middle vocational","15","","",""
"Much too big","1984","Not Employed","vocational + Abi","","","",""
"Much too big","1984","Not Employed","higher vocational","2","","",""
"Much too big","1984","Not Employed","higher education","4","","",""
"Much too big","1984","Employed","in school","1","","",""
"Much too big","1984","Employed","inadequately","2","","",""
"Much too big","1984","Employed","general elemantary","11","","",""
"Much too big","1984","Employed","middle vocational","30","0.00930785590531605","0.00626667055832931","0.0123490412523028"
"Much too big","1984","Employed","vocational + Abi","1","","",""
"Much too big","1984","Employed","higher vocational","8","","",""
"Much too big","1984","Employed","higher education","7","","",""
"Much too small","1985","Not Employed","in school","5","","",""
"Much too small","1985","Not Employed","inadequately","18","","",""
"Much too small","1985","Not Employed","general elemantary","51","0.0181893293345304","0.011490998937879","0.0248876597311818"
"Much too small","1985","Not Employed","middle vocational","41","0.0145477484238494","0.00888927146628977","0.020206225381409"
"Much too small","1985","Not Employed","vocational + Abi","6","","",""
"Much too small","1985","Not Employed","higher vocational","2","","",""
"Much too small","1985","Not Employed","higher education","6","","",""
"Much too small","1985","Employed","in school","","","",""
"Much too small","1985","Employed","inadequately","37","0.0723281843154324","0.0496462446618018","0.0950101239690629"
"Much too small","1985","Employed","general elemantary","78","0.0321332999377186","0.0232850728102461","0.0409815270651911"
"Much too small","1985","Employed","middle vocational","107","0.0245237473527155","0.0193693893793238","0.0296781053261073"
"Much too small","1985","Employed","vocational + Abi","15","","",""
"Much too small","1985","Employed","higher vocational","12","","",""
"Much too small","1985","Employed","higher education","21","","",""
"A little too small","1985","Not Employed","in school","21","","",""
"A little too small","1985","Not Employed","inadequately","77","0.200224768567034","0.157626581423141","0.242822955710927"
"A little too small","1985","Not Employed","general elemantary","175","0.0797390217213538","0.0661610373810531","0.0933170060616544"
"A little too small","1985","Not Employed","middle vocational","207","0.0969307780126623","0.0829485867866942","0.11091296923863"
"A little too small","1985","Not Employed","vocational + Abi","6","","",""
"A little too small","1985","Not Employed","higher vocational","23","","",""
"A little too small","1985","Not Employed","higher education","14","","",""
"A little too small","1985","Employed","in school","3","","",""
"A little too small","1985","Employed","inadequately","103","0.19155791111263","0.157098826843884","0.226016995381376"
"A little too small","1985","Employed","general elemantary","238","0.127668155908111","0.110924396302215","0.144411915514007"
"A little too small","1985","Employed","middle vocational","545","0.140449513862581","0.128870578613329","0.152028449111833"
"A little too small","1985","Employed","vocational + Abi","47","0.190009121496823","0.135226568561917","0.244791674431729"
"A little too small","1985","Employed","higher vocational","67","0.141688407221313","0.109467966062954","0.173908848379672"
"A little too small","1985","Employed","higher education","104","0.1608761444271","0.131574737058952","0.190177551795248"
"Just right","1985","Not Employed","in school","145","0.834747775569979","0.780338509487493","0.889157041652465"
"Just right","1985","Not Employed","inadequately","235","0.701612980091282","0.652906469972836","0.750319490209728"
"Just right","1985","Not Employed","general elemantary","1191","0.810482143041861","0.790837635686259","0.830126650397463"
"Just right","1985","Not Employed","middle vocational","1350","0.807362651660706","0.788725117995093","0.826000185326318"
"Just right","1985","Not Employed","vocational + Abi","61","0.785180113329071","0.694037248155572","0.87632297850257"
"Just right","1985","Not Employed","higher vocational","128","0.783420579634087","0.721317831297653","0.84552332797052"
"Just right","1985","Not Employed","higher education","114","0.803147352740029","0.739302894996049","0.86699181048401"
"Just right","1985","Employed","in school","4","","",""
"Just right","1985","Employed","inadequately","351","0.71504747190537","0.675521466742772","0.754573477067968"
"Just right","1985","Employed","general elemantary","1136","0.773681634275805","0.752686828214214","0.794676440337397"
