"hlf0071_h","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"A little too big","1984","35-65 y.","in school","","","","","4"
"A little too big","1984","35-65 y.","inadequately","19","","","","4"
"A little too big","1984","66 and older","in school","","","","","4"
"A little too big","1984","16-34 y.","in school","7","","","","4"
"A little too big","1984","16-34 y.","inadequately","8","","","","4"
"A little too big","1984","16-34 y.","general elemantary","43","0.0388534348862492","0.028291654680536","0.0494152150919624","4"
"A little too big","1984","16-34 y.","middle vocational","86","0.043439388217733","0.0348785310654671","0.0520002453699989","4"
"A little too big","1984","16-34 y.","vocational + Abi","12","","","","4"
"A little too big","1984","16-34 y.","higher vocational","11","","","","4"
"A little too big","1984","35-65 y.","general elemantary","102","0.0770014173002182","0.0641845331787497","0.0898183014216866","4"
"A little too big","1984","35-65 y.","middle vocational","175","0.0676866714429268","0.0586384876701031","0.0767348552157505","4"
"A little too big","1984","35-65 y.","vocational + Abi","7","","","","4"
"A little too big","1984","35-65 y.","higher vocational","35","0.0969782453691176","0.0666607153757326","0.127295775362503","4"
"A little too big","1984","66 and older","inadequately","3","","","","4"
"A little too big","1984","66 and older","general elemantary","51","0.099954931389206","0.0741502409711469","0.125759621807265","4"
"A little too big","1984","66 and older","middle vocational","49","0.0890529765073554","0.0658333648319282","0.112272588182783","4"
"A little too big","1984","66 and older","higher vocational","10","","","","4"
"A little too big","1984","66 and older","higher education","7","","","","4"
"A little too big","1984","16-34 y.","higher education","6","","","","4"
"A little too big","1984","35-65 y.","higher education","34","0.0820305983604901","0.0575328248996461","0.106528371821334","4"
"A little too big","1984","66 and older","vocational + Abi","3","","","","4"
"A little too small","1984","66 and older","higher vocational","3","","","","2"
"A little too small","1984","66 and older","higher education","2","","","","2"
"A little too small","1984","16-34 y.","in school","33","0.172132180760008","0.118027003558173","0.226237357961842","2"
"A little too small","1984","35-65 y.","higher education","76","0.145400776988064","0.113931324838502","0.176870229137627","2"
"A little too small","1984","66 and older","general elemantary","28","","","","2"
"A little too small","1984","16-34 y.","inadequately","80","0.229532822997644","0.182644109039208","0.27642153695608","2"
"A little too small","1984","16-34 y.","general elemantary","273","0.178066826238087","0.157157628468676","0.198976024007497","2"
