"hlf0071_h","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1","1984","lower secondary degree","(0) in school","","","",""
"1","1984","lower secondary degree","(1a) inadequately completed","","","",""
"1","1984","lower secondary degree","(1b) general elementary school","63","0.0198490933687166","0.0141023391364119","0.0255958476010213"
"1","1984","lower secondary degree","(1c) basic vocational qualification","91","0.0207181787824377","0.0161988541106851","0.0252375034541904"
"1","1984","lower secondary degree","(2b) intermediate general qualification","","","",""
"1","1984","lower secondary degree","(2a) intermediate vocational","","","",""
"1","1984","lower secondary degree","(2c_gen) general maturity certificate","4","","",""
"1","1984","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"1","1984","lower secondary degree","(3a) lower tertiary education","1","","",""
"1","1984","lower secondary degree","(3b) higher tertiary education","","","",""
"1","1984","secondary school degree","(0) in school","","","",""
"1","1984","secondary school degree","(1a) inadequately completed","","","",""
"1","1984","secondary school degree","(1b) general elementary school","","","",""
"1","1984","secondary school degree","(1c) basic vocational qualification","","","",""
"1","1984","secondary school degree","(2b) intermediate general qualification","14","","",""
"1","1984","secondary school degree","(2a) intermediate vocational","21","","",""
"1","1984","secondary school degree","(2c_gen) general maturity certificate","","","",""
"1","1984","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"1","1984","secondary school degree","(3a) lower tertiary education","","","",""
"1","1984","secondary school degree","(3b) higher tertiary education","1","","",""
"1","1984","college entrance qualification","(0) in school","","","",""
"1","1984","college entrance qualification","(1a) inadequately completed","","","",""
"1","1984","college entrance qualification","(1b) general elementary school","","","",""
"1","1984","college entrance qualification","(1c) basic vocational qualification","","","",""
"1","1984","college entrance qualification","(2b) intermediate general qualification","","","",""
"1","1984","college entrance qualification","(2a) intermediate vocational","","","",""
"1","1984","college entrance qualification","(2c_gen) general maturity certificate","19","","",""
"1","1984","college entrance qualification","(2c_voc) vocational maturity certificate","12","","",""
"1","1984","college entrance qualification","(3a) lower tertiary education","1","","",""
"1","1984","college entrance qualification","(3b) higher tertiary education","15","","",""
"1","1984","Other degree","(0) in school","","","",""
