"hlf0071_h","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"1","1984","in school","West Germany","6","","",""
"1","1984","in school","East Germany","","","",""
"1","1984","inadequately","West Germany","93","0.0871433775946219","0.069817602135492","0.104469153053752"
"1","1984","inadequately","East Germany","","","",""
"1","1984","general elemantary","West Germany","148","0.0260872669105977","0.0207815327896424","0.0313930010315529"
"1","1984","general elemantary","East Germany","","","",""
"1","1984","middle vocational","West Germany","173","0.0219819483250948","0.0181811876705756","0.0257827089796141"
"1","1984","middle vocational","East Germany","","","",""
"1","1984","vocational + Abi","West Germany","22","","",""
"1","1984","vocational + Abi","East Germany","","","",""
"1","1984","higher vocational","West Germany","15","","",""
"1","1984","higher vocational","East Germany","","","",""
"1","1984","higher education","West Germany","23","","",""
"1","1984","higher education","East Germany","","","",""
"2","1984","in school","West Germany","33","0.172132180760008","0.118027003558173","0.226237357961842"
"2","1984","in school","East Germany","","","",""
"2","1984","inadequately","West Germany","211","0.186984888803438","0.163033716994224","0.210936060612653"
"2","1984","inadequately","East Germany","","","",""
"2","1984","general elemantary","West Germany","521","0.108206034755679","0.0978658291116958","0.118546240399661"
"2","1984","general elemantary","East Germany","","","",""
"2","1984","middle vocational","West Germany","909","0.135292382322803","0.126426227526485","0.144158537119121"
"2","1984","middle vocational","East Germany","","","",""
"2","1984","vocational + Abi","West Germany","57","0.14173523406879","0.103034397887457","0.180436070250123"
"2","1984","vocational + Abi","East Germany","","","",""
"2","1984","higher vocational","West Germany","106","0.152976193671102","0.125513960076605","0.180438427265599"
"2","1984","higher vocational","East Germany","","","",""
"2","1984","higher education","West Germany","142","0.15766783870523","0.132287421961756","0.183048255448705"
"2","1984","higher education","East Germany","","","",""
"3","1984","in school","West Germany","140","0.744707199692644","0.682213052266823","0.807201347118465"
"3","1984","in school","East Germany","","","",""
"3","1984","inadequately","West Germany","682","0.654956308028857","0.62575398419255","0.684158631865165"
"3","1984","inadequately","East Germany","","","",""
"3","1984","general elemantary","West Germany","2580","0.784834889408607","0.771156144635072","0.798513634182142"
"3","1984","general elemantary","East Germany","","","",""
"3","1984","middle vocational","West Germany","4280","0.770652145812604","0.759754303200174","0.781549988425034"
"3","1984","middle vocational","East Germany","","","",""
"3","1984","vocational + Abi","West Germany","210","0.702720590605228","0.652004642554606","0.753436538655851"
"3","1984","vocational + Abi","East Germany","","","",""
"3","1984","higher vocational","West Germany","473","0.719545331530511","0.685273561103314","0.753817101957709"
"3","1984","higher vocational","East Germany","","","",""
"3","1984","higher education","West Germany","569","0.73267012765345","0.701847938015531","0.763492317291369"
"3","1984","higher education","East Germany","","","",""
"4","1984","in school","West Germany","7","","",""
"4","1984","in school","East Germany","","","",""
"4","1984","inadequately","West Germany","30","0.069090542790968","0.0535116271545579","0.0846694584273782"
"4","1984","inadequately","East Germany","","","",""
"4","1984","general elemantary","West Germany","196","0.07214344977997","0.0635313303854745","0.0807555691744656"
"4","1984","general elemantary","East Germany","","","",""
"4","1984","middle vocational","West Germany","310","0.0628427203452469","0.0565520384467948","0.0691334022436991"
"4","1984","middle vocational","East Germany","","","",""
"4","1984","vocational + Abi","West Germany","22","","",""
"4","1984","vocational + Abi","East Germany","","","",""
"4","1984","higher vocational","West Germany","56","0.0888664848390179","0.0671576689645248","0.110575300713511"
"4","1984","higher vocational","East Germany","","","",""
"4","1984","higher education","West Germany","47","0.0701915405875898","0.0523995461532701","0.0879835350219096"
"4","1984","higher education","East Germany","","","",""
"5","1984","in school","West Germany","1","","",""
"5","1984","in school","East Germany","","","",""
"5","1984","inadequately","West Germany","2","","",""
"5","1984","inadequately","East Germany","","","",""
"5","1984","general elemantary","West Germany","22","","",""
"5","1984","general elemantary","East Germany","","","",""
"5","1984","middle vocational","West Germany","45","0.00923080319425102","0.0067518405141802","0.0117097658743218"
"5","1984","middle vocational","East Germany","","","",""
"5","1984","vocational + Abi","West Germany","1","","",""
"5","1984","vocational + Abi","East Germany","","","",""
"5","1984","higher vocational","West Germany","10","","",""
"5","1984","higher vocational","East Germany","","","",""
"5","1984","higher education","West Germany","11","","",""
"5","1984","higher education","East Germany","","","",""
"1","1985","in school","West Germany","5","","",""
"1","1985","in school","East Germany","","","",""
"1","1985","inadequately","West Germany","55","0.0638967801794682","0.0473577589519878","0.0804358014069486"
"1","1985","inadequately","East Germany","","","",""
"1","1985","general elemantary","West Germany","129","0.0237705952418006","0.0183687958122634","0.0291723946713378"
"1","1985","general elemantary","East Germany","","","",""
"1","1985","middle vocational","West Germany","148","0.0207026975782886","0.0168248040253876","0.0245805911311895"
"1","1985","middle vocational","East Germany","","","",""
"1","1985","vocational + Abi","West Germany","21","","",""
"1","1985","vocational + Abi","East Germany","","","",""
"1","1985","higher vocational","West Germany","14","","",""
"1","1985","higher vocational","East Germany","","","",""
"1","1985","higher education","West Germany","27","","",""
"1","1985","higher education","East Germany","","","",""
"2","1985","in school","West Germany","24","","",""
"2","1985","in school","East Germany","","","",""
"2","1985","inadequately","West Germany","180","0.195858640783608","0.169020896163912","0.222696385403304"
"2","1985","inadequately","East Germany","","","",""
"2","1985","general elemantary","West Germany","413","0.0989233165118465","0.0883363218585458","0.109510311165147"
"2","1985","general elemantary","East Germany","","","",""
