"hlf0071_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Much too small","1984","no migration background","West Germany","205","0.0216051393179435","0.0185461787048563","0.0246640999310308"
"Much too small","1984","no migration background","East Germany","","","",""
"Much too small","1984","direct migration background","West Germany","272","0.0635520913101112","0.0553688931507454","0.0717352894694771"
"Much too small","1984","direct migration background","East Germany","","","",""
"Much too small","1984","indirect migration background","West Germany","6","","",""
"Much too small","1984","indirect migration background","East Germany","","","",""
"A little too small","1984","no migration background","West Germany","1188","0.125772276701244","0.118795689664307","0.132748863738182"
"A little too small","1984","no migration background","East Germany","","","",""
"A little too small","1984","direct migration background","West Germany","777","0.195037387248315","0.18174622000885","0.20832855448778"
"A little too small","1984","direct migration background","East Germany","","","",""
"A little too small","1984","indirect migration background","West Germany","28","","",""
"A little too small","1984","indirect migration background","East Germany","","","",""
"Just right","1984","no migration background","West Germany","6622","0.770685718527673","0.761840827731674","0.779530609323673"
"Just right","1984","no migration background","East Germany","","","",""
"Just right","1984","direct migration background","West Germany","2269","0.693675912208352","0.678213216336265","0.709138608080438"
"Just right","1984","direct migration background","East Germany","","","",""
"Just right","1984","indirect migration background","West Germany","90","0.824778986115569","0.758921523446314","0.890636448784825"
"Just right","1984","indirect migration background","East Germany","","","",""
"A little too big","1984","no migration background","West Germany","578","0.0713774805995404","0.0659607344775271","0.0767942267215536"
"A little too big","1984","no migration background","East Germany","","","",""
"A little too big","1984","direct migration background","West Germany","88","0.0428131116800411","0.0360225906276763","0.0496036327324059"
"A little too big","1984","direct migration background","East Germany","","","",""
"A little too big","1984","indirect migration background","West Germany","4","","",""
"A little too big","1984","indirect migration background","East Germany","","","",""
"Much too big","1984","no migration background","West Germany","85","0.0105593848535982","0.00840882049338735","0.012709949213809"
"Much too big","1984","no migration background","East Germany","","","",""
"Much too big","1984","direct migration background","West Germany","8","","",""
"Much too big","1984","direct migration background","East Germany","","","",""
"Much too big","1984","indirect migration background","West Germany","","","",""
"Much too big","1984","indirect migration background","East Germany","","","",""
"Much too small","1985","no migration background","West Germany","189","0.0207797765029475","0.0176459174359917","0.0239136355699032"
