"hlf0071_h","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Much too small","1984","West Germany","483","0.0255574047629669","0.0227593964947965","0.0283554130311373"
"Much too small","1984","East Germany","","","",""
"A little too small","1984","West Germany","1993","0.132334842861187","0.12632690171057","0.138342784011804"
"A little too small","1984","East Germany","","","",""
"Just right","1984","West Germany","8981","0.763609213596219","0.756076293847811","0.771142133344627"
"Just right","1984","East Germany","","","",""
"A little too big","1984","West Germany","670","0.0685174753126661","0.064038274638326","0.0729966759870061"
"A little too big","1984","East Germany","","","",""
"Much too big","1984","West Germany","93","0.00998106346696099","0.00821858975730539","0.0117435371766166"
"Much too big","1984","East Germany","","","",""
"Much too small","1985","West Germany","408","0.024667407214979","0.0217714281763353","0.0275633862536227"
"Much too small","1985","East Germany","","","",""
"A little too small","1985","West Germany","1647","0.119966129775872","0.113899656181325","0.12603260337042"
"A little too small","1985","East Germany","","","",""
"Just right","1985","West Germany","8248","0.774432699317127","0.766629239361716","0.782236159272539"
"Just right","1985","East Germany","","","",""
"A little too big","1985","West Germany","636","0.0714295215357004","0.0666210881881554","0.0762379548832453"
"A little too big","1985","East Germany","","","",""
"Much too big","1985","West Germany","81","0.00950424215632093","0.00769272542227903","0.0113157588903628"
"Much too big","1985","East Germany","","","",""
"Much too small","1986","West Germany","50","0.0345194849611957","0.0244473317365238","0.0445916381858677"
"Much too small","1986","East Germany","","","",""
"A little too small","1986","West Germany","185","0.140595873522189","0.121417868939518","0.15977387810486"
"A little too small","1986","East Germany","","","",""
"Just right","1986","West Germany","948","0.751021972554002","0.727164455324051","0.774879489783954"
"Just right","1986","East Germany","","","",""
"A little too big","1986","West Germany","76","0.0694536453845475","0.0554276096095115","0.0834796811595836"
"A little too big","1986","East Germany","","","",""
"Much too big","1986","West Germany","3","","",""
"Much too big","1986","East Germany","","","",""
"Much too small","1987","West Germany","44","0.0335818941323433","0.0227572805941774","0.0444065076705091"
"Much too small","1987","East Germany","","","",""
"A little too small","1987","West Germany","164","0.125592458403166","0.105680406980126","0.145504509826205"
"A little too small","1987","East Germany","","","",""
"Just right","1987","West Germany","792","0.765773239101791","0.740325709629957","0.791220768573625"
"Just right","1987","East Germany","","","",""
"A little too big","1987","West Germany","57","0.069203742748102","0.0539537589344102","0.0844537265617938"
"A little too big","1987","East Germany","","","",""
"Much too big","1987","West Germany","7","","",""
"Much too big","1987","East Germany","","","",""
"Much too small","1988","West Germany","38","0.0326490664839259","0.0217374671482717","0.0435606658195802"
"Much too small","1988","East Germany","","","",""
"A little too small","1988","West Germany","170","0.171330549434849","0.148195572698863","0.194465526170834"
"A little too small","1988","East Germany","","","",""
"Just right","1988","West Germany","751","0.738304392580691","0.711316004798656","0.765292780362726"
"Just right","1988","East Germany","","","",""
"A little too big","1988","West Germany","57","0.0555502929433059","0.0414867872318142","0.0696137986547977"
"A little too big","1988","East Germany","","","",""
"Much too big","1988","West Germany","3","","",""
"Much too big","1988","East Germany","","","",""
"Much too small","1989","West Germany","40","0.0369062473053256","0.0249801952358169","0.0488322993748343"
"Much too small","1989","East Germany","","","",""
"A little too small","1989","West Germany","161","0.134497772491773","0.112915154923531","0.156080390060016"
"A little too small","1989","East Germany","","","",""
"Just right","1989","West Germany","694","0.751099782377582","0.723748736956589","0.778450827798575"
"Just right","1989","East Germany","","","",""
"A little too big","1989","West Germany","60","0.0715717650619755","0.0552653869652618","0.0878781431586893"
"A little too big","1989","East Germany","","","",""
"Much too big","1989","West Germany","5","","",""
"Much too big","1989","East Germany","","","",""
"Much too small","1990","West Germany","56","0.0616690664945741","0.0457665682041594","0.0775715647849888"
"Much too small","1990","East Germany","343","0.0730354228272903","0.0653777003673355","0.0806931452872452"
"A little too small","1990","West Germany","125","0.160298705684425","0.136044834165234","0.184552577203616"
"A little too small","1990","East Germany","1103","0.228729841106803","0.216368489567863","0.241091192645744"
"Just right","1990","West Germany","653","0.722062057575292","0.692446846328705","0.751677268821878"
"Just right","1990","East Germany","2793","0.647723210251248","0.633664741374227","0.661781679128268"
"A little too big","1990","West Germany","40","0.0510538083464555","0.0365029531460797","0.0656046635468313"
"A little too big","1990","East Germany","165","0.0426460273878266","0.0366993162711868","0.0485927385044664"
"Much too big","1990","West Germany","5","","",""
"Much too big","1990","East Germany","31","0.00786549842683194","0.00526564011971017","0.0104653567339537"
