"hlf0071_h","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1","1984","Schleswig-Holstein","(0) in school","","","",""
"1","1984","Schleswig-Holstein","(1a) inadequately completed","","","",""
"1","1984","Schleswig-Holstein","(1b) general elementary school","1","","",""
"1","1984","Schleswig-Holstein","(1c) basic vocational qualification","4","","",""
"1","1984","Schleswig-Holstein","(2b) intermediate general qualification","1","","",""
"1","1984","Schleswig-Holstein","(2a) intermediate vocational","3","","",""
"1","1984","Schleswig-Holstein","(2c_gen) general maturity certificate","2","","",""
"1","1984","Schleswig-Holstein","(2c_voc) vocational maturity certificate","3","","",""
"1","1984","Schleswig-Holstein","(3a) lower tertiary education","","","",""
"1","1984","Schleswig-Holstein","(3b) higher tertiary education","","","",""
"1","1984","Hamburg","(0) in school","","","",""
"1","1984","Hamburg","(1a) inadequately completed","2","","",""
"1","1984","Hamburg","(1b) general elementary school","2","","",""
"1","1984","Hamburg","(1c) basic vocational qualification","5","","",""
"1","1984","Hamburg","(2b) intermediate general qualification","1","","",""
"1","1984","Hamburg","(2a) intermediate vocational","","","",""
"1","1984","Hamburg","(2c_gen) general maturity certificate","1","","",""
"1","1984","Hamburg","(2c_voc) vocational maturity certificate","2","","",""
"1","1984","Hamburg","(3a) lower tertiary education","","","",""
"1","1984","Hamburg","(3b) higher tertiary education","","","",""
"1","1984","Lower Saxony","(0) in school","","","",""
"1","1984","Lower Saxony","(1a) inadequately completed","3","","",""
"1","1984","Lower Saxony","(1b) general elementary school","10","","",""
"1","1984","Lower Saxony","(1c) basic vocational qualification","11","","",""
"1","1984","Lower Saxony","(2b) intermediate general qualification","4","","",""
"1","1984","Lower Saxony","(2a) intermediate vocational","1","","",""
"1","1984","Lower Saxony","(2c_gen) general maturity certificate","2","","",""
"1","1984","Lower Saxony","(2c_voc) vocational maturity certificate","2","","",""
"1","1984","Lower Saxony","(3a) lower tertiary education","","","",""
"1","1984","Lower Saxony","(3b) higher tertiary education","1","","",""
"1","1984","Bremen","(0) in school","","","",""
"1","1984","Bremen","(1a) inadequately completed","","","",""
"1","1984","Bremen","(1b) general elementary school","1","","",""
"1","1984","Bremen","(1c) basic vocational qualification","3","","",""
"1","1984","Bremen","(2b) intermediate general qualification","","","",""
"1","1984","Bremen","(2a) intermediate vocational","1","","",""
"1","1984","Bremen","(2c_gen) general maturity certificate","1","","",""
"1","1984","Bremen","(2c_voc) vocational maturity certificate","1","","",""
"1","1984","Bremen","(3a) lower tertiary education","","","",""
"1","1984","Bremen","(3b) higher tertiary education","","","",""
"1","1984","North Rhine-Westphalia","(0) in school","4","","",""
"1","1984","North Rhine-Westphalia","(1a) inadequately completed","32","0.0841790639053238","0.0548805310561654","0.113477596754482"
"1","1984","North Rhine-Westphalia","(1b) general elementary school","42","0.0322526904751354","0.0195578986384309","0.04494748231184"
"1","1984","North Rhine-Westphalia","(1c) basic vocational qualification","32","0.0204014797958912","0.0121879118342713","0.028615047757511"
"1","1984","North Rhine-Westphalia","(2b) intermediate general qualification","3","","",""
"1","1984","North Rhine-Westphalia","(2a) intermediate vocational","4","","",""
"1","1984","North Rhine-Westphalia","(2c_gen) general maturity certificate","12","","",""
"1","1984","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","7","","",""
"1","1984","North Rhine-Westphalia","(3a) lower tertiary education","1","","",""
"1","1984","North Rhine-Westphalia","(3b) higher tertiary education","5","","",""
"1","1984","Hesse","(0) in school","","","",""
"1","1984","Hesse","(1a) inadequately completed","16","","",""
"1","1984","Hesse","(1b) general elementary school","17","","",""
"1","1984","Hesse","(1c) basic vocational qualification","11","","",""
"1","1984","Hesse","(2b) intermediate general qualification","","","",""
"1","1984","Hesse","(2a) intermediate vocational","","","",""
"1","1984","Hesse","(2c_gen) general maturity certificate","5","","",""
"1","1984","Hesse","(2c_voc) vocational maturity certificate","5","","",""
"1","1984","Hesse","(3a) lower tertiary education","","","",""
"1","1984","Hesse","(3b) higher tertiary education","6","","",""
"1","1984","Rhineland-Palatinate,Saarland","(0) in school","","","",""
"1","1984","Rhineland-Palatinate,Saarland","(1a) inadequately completed","11","","",""
"1","1984","Rhineland-Palatinate,Saarland","(1b) general elementary school","11","","",""
"1","1984","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","9","","",""
"1","1984","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","","","",""
"1","1984","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","2","","",""
"1","1984","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","","","",""
"1","1984","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","1","","",""
"1","1984","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","","","",""
"1","1984","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","","","",""
"1","1984","Baden-Württemberg","(0) in school","1","","",""
"1","1984","Baden-Württemberg","(1a) inadequately completed","25","","",""
"1","1984","Baden-Württemberg","(1b) general elementary school","22","","",""
"1","1984","Baden-Württemberg","(1c) basic vocational qualification","27","","",""
"1","1984","Baden-Württemberg","(2b) intermediate general qualification","1","","",""
"1","1984","Baden-Württemberg","(2a) intermediate vocational","6","","",""
"1","1984","Baden-Württemberg","(2c_gen) general maturity certificate","1","","",""
"1","1984","Baden-Württemberg","(2c_voc) vocational maturity certificate","1","","",""
"1","1984","Baden-Württemberg","(3a) lower tertiary education","1","","",""
"1","1984","Baden-Württemberg","(3b) higher tertiary education","2","","",""
"1","1984","Bavaria","(0) in school","1","","",""
"1","1984","Bavaria","(1a) inadequately completed","7","","",""
