"hlf0071_h","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1","1984","16-34 y.","(0) in school","6","","",""
"1","1984","16-34 y.","(1a) inadequately completed","41","0.100097606891146","0.0677647824024554","0.132430431379837"
"1","1984","16-34 y.","(1b) general elementary school","77","0.0741201033928695","0.0573555492677372","0.0908846575180018"
"1","1984","16-34 y.","(1c) basic vocational qualification","59","0.0368893843091892","0.0266034907887995","0.0471752778295789"
"1","1984","16-34 y.","(2b) intermediate general qualification","11","","",""
"1","1984","16-34 y.","(2a) intermediate vocational","13","","",""
"1","1984","16-34 y.","(2c_gen) general maturity certificate","26","","",""
"1","1984","16-34 y.","(2c_voc) vocational maturity certificate","12","","",""
"1","1984","16-34 y.","(3a) lower tertiary education","2","","",""
"1","1984","16-34 y.","(3b) higher tertiary education","12","","",""
"1","1984","35-65 y.","(0) in school","","","",""
"1","1984","35-65 y.","(1a) inadequately completed","58","0.0745739673176836","0.0559581609236179","0.0931897737117493"
"1","1984","35-65 y.","(1b) general elementary school","59","0.019708594277769","0.0128721817059797","0.0265450068495584"
"1","1984","35-65 y.","(1c) basic vocational qualification","63","0.0208290079639603","0.0152196651843316","0.026438350743589"
"1","1984","35-65 y.","(2b) intermediate general qualification","3","","",""
"1","1984","35-65 y.","(2a) intermediate vocational","8","","",""
"1","1984","35-65 y.","(2c_gen) general maturity certificate","4","","",""
"1","1984","35-65 y.","(2c_voc) vocational maturity certificate","14","","",""
"1","1984","35-65 y.","(3a) lower tertiary education","","","",""
"1","1984","35-65 y.","(3b) higher tertiary education","9","","",""
"1","1984","66 and older","(0) in school","","","",""
"1","1984","66 and older","(1a) inadequately completed","1","","",""
"1","1984","66 and older","(1b) general elementary school","1","","",""
"1","1984","66 and older","(1c) basic vocational qualification","","","",""
"1","1984","66 and older","(2b) intermediate general qualification","","","",""
"1","1984","66 and older","(2a) intermediate vocational","","","",""
"1","1984","66 and older","(2c_gen) general maturity certificate","","","",""
"1","1984","66 and older","(2c_voc) vocational maturity certificate","","","",""
"1","1984","66 and older","(3a) lower tertiary education","","","",""
"1","1984","66 and older","(3b) higher tertiary education","","","",""
"2","1984","16-34 y.","(0) in school","33","0.171971366293172","0.118030251857018","0.225912480729326"
"2","1984","16-34 y.","(1a) inadequately completed","86","0.227409687299875","0.182253922341724","0.272565452258026"
"2","1984","16-34 y.","(1b) general elementary school","217","0.198878885447266","0.173334815210489","0.224422955684043"
"2","1984","16-34 y.","(1c) basic vocational qualification","266","0.189197349086049","0.167824208650466","0.210570489521632"
"2","1984","16-34 y.","(2b) intermediate general qualification","60","0.147305202683876","0.11089666394911","0.183713741418642"
"2","1984","16-34 y.","(2a) intermediate vocational","124","0.182082592977819","0.152277251797556","0.211887934158082"
"2","1984","16-34 y.","(2c_gen) general maturity certificate","74","0.207986165435694","0.16576623412612","0.250206096745268"
"2","1984","16-34 y.","(2c_voc) vocational maturity certificate","54","0.220276059419004","0.16513535525127","0.275416763586737"
"2","1984","16-34 y.","(3a) lower tertiary education","13","","",""
"2","1984","16-34 y.","(3b) higher tertiary education","51","0.274473731057734","0.20891733753527","0.340030124580198"
"2","1984","35-65 y.","(0) in school","","","",""
"2","1984","35-65 y.","(1a) inadequately completed","151","0.187478424884383","0.159821080826004","0.215135768942761"
"2","1984","35-65 y.","(1b) general elementary school","212","0.0994126266590123","0.0846960586013366","0.114129194716688"
"2","1984","35-65 y.","(1c) basic vocational qualification","340","0.120188842914778","0.107416363039239","0.132961322790316"
"2","1984","35-65 y.","(2b) intermediate general qualification","8","","",""
"2","1984","35-65 y.","(2a) intermediate vocational","96","0.149838131609098","0.121744089322051","0.177932173896146"
"2","1984","35-65 y.","(2c_gen) general maturity certificate","13","","",""
"2","1984","35-65 y.","(2c_voc) vocational maturity certificate","28","","",""
"2","1984","35-65 y.","(3a) lower tertiary education","26","","",""
"2","1984","35-65 y.","(3b) higher tertiary education","50","0.1442762314676","0.105099063028941","0.18345339990626"
"2","1984","66 and older","(0) in school","","","",""
"2","1984","66 and older","(1a) inadequately completed","3","","",""
"2","1984","66 and older","(1b) general elementary school","26","","",""
"2","1984","66 and older","(1c) basic vocational qualification","24","","",""
"2","1984","66 and older","(2b) intermediate general qualification","2","","",""
"2","1984","66 and older","(2a) intermediate vocational","11","","",""
"2","1984","66 and older","(2c_gen) general maturity certificate","1","","",""
"2","1984","66 and older","(2c_voc) vocational maturity certificate","1","","",""
"2","1984","66 and older","(3a) lower tertiary education","","","",""
"2","1984","66 and older","(3b) higher tertiary education","2","","",""
"3","1984","16-34 y.","(0) in school","141","0.744945706957161","0.682637135233013","0.80725427868131"
"3","1984","16-34 y.","(1a) inadequately completed","195","0.620075344691444","0.567786979360845","0.672363710022042"
