"hlf0071_h","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"1","1984","Not Employed","lower secondary degree","60","0.0163587164246123","0.0115060948683301","0.0212113379808944"
"1","1984","Not Employed","secondary school degree","14","","",""
"1","1984","Not Employed","college entrance qualification","22","","",""
"1","1984","Not Employed","Other degree","35","0.117838329750693","0.0825677209668322","0.153108938534553"
"1","1984","Not Employed","no degree/no degree yet","47","0.0624202808215587","0.042646890922243","0.0821936707208744"
"1","1984","Employed","lower secondary degree","99","0.0240866899996174","0.019005160430462","0.0291682195687728"
"1","1984","Employed","secondary school degree","22","","",""
"1","1984","Employed","college entrance qualification","25","","",""
"1","1984","Employed","Other degree","96","0.0863462759585605","0.0699697608796244","0.102722791037497"
"1","1984","Employed","no degree/no degree yet","59","0.0688299205853408","0.0504397591376565","0.0872200820330251"
"2","1984","Not Employed","lower secondary degree","257","0.0802379154453429","0.0698456314328304","0.0906301994578553"
"2","1984","Not Employed","secondary school degree","96","0.123207921267778","0.0982084009711442","0.148207441564413"
"2","1984","Not Employed","college entrance qualification","64","0.131834325117678","0.100005633834627","0.16366301640073"
"2","1984","Not Employed","Other degree","74","0.172006410948458","0.130722448065247","0.213290373831668"
"2","1984","Not Employed","no degree/no degree yet","120","0.177666594579705","0.146424436598813","0.208908752560597"
"2","1984","Employed","lower secondary degree","544","0.145389010664204","0.133706120276347","0.157071901052061"
"2","1984","Employed","secondary school degree","214","0.155843788842892","0.136089137638184","0.1755984400476"
"2","1984","Employed","college entrance qualification","171","0.184120885289262","0.158202022398893","0.210039748179632"
"2","1984","Employed","Other degree","278","0.232992671357292","0.208344780827221","0.257640561887363"
"2","1984","Employed","no degree/no degree yet","154","0.19551661920315","0.166707314347973","0.224325924058327"
"3","1984","Not Employed","lower secondary degree","2115","0.822085095518997","0.807454972084547","0.836715218953446"
"3","1984","Not Employed","secondary school degree","499","0.763195905077565","0.730860621713939","0.79553118844119"
"3","1984","Not Employed","college entrance qualification","304","0.710610309366892","0.667946413962766","0.753274204771018"
"3","1984","Not Employed","Other degree","205","0.634872340266883","0.582202603868622","0.687542076665145"
"3","1984","Not Employed","no degree/no degree yet","385","0.681221810322932","0.643132532303601","0.719311088342263"
"3","1984","Employed","lower secondary degree","2621","0.758218124305504","0.74402724759856","0.772409001012449"
"3","1984","Employed","secondary school degree","957","0.740859182022492","0.71699486809782","0.764723495947163"
"3","1984","Employed","college entrance qualification","608","0.721727812909736","0.691758752254196","0.751696873565276"
"3","1984","Employed","Other degree","730","0.659229029357137","0.631594102043058","0.686863956671216"
"3","1984","Employed","no degree/no degree yet","494","0.67960042220056","0.645703896311182","0.713496948089938"
"4","1984","Not Employed","lower secondary degree","181","0.0751720839974032","0.0650855444052126","0.0852586235895938"
"4","1984","Not Employed","secondary school degree","47","0.0801800829289351","0.0595239648995918","0.100836200958278"
"4","1984","Not Employed","college entrance qualification","32","0.0806362664538165","0.0550202191897645","0.106252313717868"
"4","1984","Not Employed","Other degree","7","","",""
"4","1984","Not Employed","no degree/no degree yet","23","","",""
"4","1984","Employed","lower secondary degree","203","0.0627127967689382","0.0546772635040169","0.0707483300338594"
"4","1984","Employed","secondary school degree","88","0.0727979192402083","0.0586478068714262","0.0869480316089904"
"4","1984","Employed","college entrance qualification","45","0.0564266713392231","0.0409961161163835","0.0718572265620626"
"4","1984","Employed","Other degree","23","","",""
"4","1984","Employed","no degree/no degree yet","18","","",""
"5","1984","Not Employed","lower secondary degree","12","","",""
"5","1984","Not Employed","secondary school degree","8","","",""
"5","1984","Not Employed","college entrance qualification","12","","",""
"5","1984","Not Employed","Other degree","","","",""
"5","1984","Not Employed","no degree/no degree yet","","","",""
"5","1984","Employed","lower secondary degree","30","0.00959337826173631","0.00636270656500226","0.0128240499584704"
"5","1984","Employed","secondary school degree","14","","",""
"5","1984","Employed","college entrance qualification","10","","",""
"5","1984","Employed","Other degree","3","","",""
"5","1984","Employed","no degree/no degree yet","3","","",""
"1","1985","Not Employed","lower secondary degree","55","0.0161039400307961","0.0109763502140285","0.0212315298475636"
"1","1985","Not Employed","secondary school degree","9","","",""
"1","1985","Not Employed","college entrance qualification","12","","",""
"1","1985","Not Employed","Other degree","27","","",""
"1","1985","Not Employed","no degree/no degree yet","25","","",""
"1","1985","Employed","lower secondary degree","100","0.0264767685519846","0.0208710725938683","0.032082464510101"
"1","1985","Employed","secondary school degree","34","0.0237759599451557","0.0152825392712238","0.0322693806190875"
"1","1985","Employed","college entrance qualification","22","","",""
"1","1985","Employed","Other degree","72","0.0772523772830341","0.0602655457882039","0.0942392087778643"
"1","1985","Employed","no degree/no degree yet","42","0.0662347863514167","0.0456188007442924","0.086850771958541"
"2","1985","Not Employed","lower secondary degree","213","0.0737088029017365","0.0630647741082572","0.0843528316952159"
"2","1985","Not Employed","secondary school degree","95","0.123828940506732","0.098309941524437","0.149347939489026"
"2","1985","Not Employed","college entrance qualification","46","0.0964408803855","0.0672558139823005","0.125625946788699"
"2","1985","Not Employed","Other degree","65","0.2218123421843","0.171978143029443","0.271646541339157"
"2","1985","Not Employed","no degree/no degree yet","101","0.135113406093414","0.106065082176299","0.164161730010529"
"2","1985","Employed","lower secondary degree","434","0.127228177341019","0.115593190390163","0.138863164291875"
"2","1985","Employed","secondary school degree","175","0.135669082225622","0.116578493423073","0.154759671028172"
"2","1985","Employed","college entrance qualification","160","0.180279291338184","0.154142428807299","0.206416153869068"
"2","1985","Employed","Other degree","214","0.221745522772111","0.195315153639704","0.248175891904519"
"2","1985","Employed","no degree/no degree yet","116","0.196667359429124","0.163717312527591","0.229617406330656"
"3","1985","Not Employed","lower secondary degree","1883","0.830011444832983","0.814710280655691","0.845312609010275"
"3","1985","Not Employed","secondary school degree","475","0.760233392256359","0.727156406655126","0.793310377857593"
"3","1985","Not Employed","college entrance qualification","297","0.76536963651957","0.723472963529873","0.807266309509267"
"3","1985","Not Employed","Other degree","170","0.639999555619197","0.582424573072678","0.697574538165715"
"3","1985","Not Employed","no degree/no degree yet","389","0.777996616931603","0.742681477487059","0.813311756376148"
"3","1985","Employed","lower secondary degree","2406","0.772196781002067","0.757552508179315","0.78684105382482"
"3","1985","Employed","secondary school degree","917","0.74782374763705","0.723613982574083","0.772033512700017"
"3","1985","Employed","college entrance qualification","582","0.70544957547765","0.674456805440838","0.736442345514462"
"3","1985","Employed","Other degree","637","0.656568988390002","0.626357305169489","0.686780671610516"
"3","1985","Employed","no degree/no degree yet","391","0.71782159373878","0.680512703195564","0.755130484281996"
