"hlf0071_h","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1","1984","1-pers.-HH","(0) in school","","","",""
"1","1984","1-pers.-HH","(1a) inadequately completed","12","","",""
"1","1984","1-pers.-HH","(1b) general elementary school","12","","",""
"1","1984","1-pers.-HH","(1c) basic vocational qualification","5","","",""
"1","1984","1-pers.-HH","(2b) intermediate general qualification","1","","",""
"1","1984","1-pers.-HH","(2a) intermediate vocational","1","","",""
"1","1984","1-pers.-HH","(2c_gen) general maturity certificate","3","","",""
"1","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","6","","",""
"1","1984","1-pers.-HH","(3a) lower tertiary education","","","",""
"1","1984","1-pers.-HH","(3b) higher tertiary education","7","","",""
"1","1984","(Married) couple without C. ","(0) in school","","","",""
"1","1984","(Married) couple without C. ","(1a) inadequately completed","3","","",""
"1","1984","(Married) couple without C. ","(1b) general elementary school","7","","",""
"1","1984","(Married) couple without C. ","(1c) basic vocational qualification","10","","",""
"1","1984","(Married) couple without C. ","(2b) intermediate general qualification","1","","",""
"1","1984","(Married) couple without C. ","(2a) intermediate vocational","1","","",""
"1","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","5","","",""
"1","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","4","","",""
"1","1984","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"1","1984","(Married) couple without C. ","(3b) higher tertiary education","2","","",""
"1","1984","Single parent ","(0) in school","","","",""
"1","1984","Single parent ","(1a) inadequately completed","5","","",""
"1","1984","Single parent ","(1b) general elementary school","9","","",""
"1","1984","Single parent ","(1c) basic vocational qualification","4","","",""
"1","1984","Single parent ","(2b) intermediate general qualification","","","",""
"1","1984","Single parent ","(2a) intermediate vocational","","","",""
"1","1984","Single parent ","(2c_gen) general maturity certificate","3","","",""
"1","1984","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"1","1984","Single parent ","(3a) lower tertiary education","","","",""
"1","1984","Single parent ","(3b) higher tertiary education","1","","",""
"1","1984","Couple + C. LE 16 ","(0) in school","","","",""
"1","1984","Couple + C. LE 16 ","(1a) inadequately completed","52","0.123272017720416","0.08931249898296","0.157231536457872"
"1","1984","Couple + C. LE 16 ","(1b) general elementary school","47","0.0620741312530781","0.0431573315882532","0.080990930917903"
"1","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","63","0.0464738344075329","0.034411656748494","0.0585360120665719"
"1","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","2","","",""
"1","1984","Couple + C. LE 16 ","(2a) intermediate vocational","14","","",""
"1","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","3","","",""
"1","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","10","","",""
"1","1984","Couple + C. LE 16 ","(3a) lower tertiary education","1","","",""
"1","1984","Couple + C. LE 16 ","(3b) higher tertiary education","10","","",""
"1","1984","Couple + C. GT 16 ","(0) in school","2","","",""
"1","1984","Couple + C. GT 16 ","(1a) inadequately completed","2","","",""
"1","1984","Couple + C. GT 16 ","(1b) general elementary school","9","","",""
"1","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","5","","",""
"1","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","2","","",""
"1","1984","Couple + C. GT 16 ","(2a) intermediate vocational","2","","",""
"1","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","6","","",""
"1","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","1","","",""
"1","1984","Couple + C. GT 16 ","(3a) lower tertiary education","1","","",""
"1","1984","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"1","1984","Couple + C. LE and GT 16","(0) in school","4","","",""
"1","1984","Couple + C. LE and GT 16","(1a) inadequately completed","18","","",""
"1","1984","Couple + C. LE and GT 16","(1b) general elementary school","37","0.0568121028423984","0.0359510096794579","0.077673196005339"
"1","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","32","0.0602346340563721","0.039745855574756","0.0807234125379882"
"1","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","7","","",""
"1","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","3","","",""
