"hlf0071_h","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Much too small","1984","no migration background","Male","100","0.0229718385845865","0.018395595596841","0.027548081572332"
"Much too small","1984","no migration background","Female","105","0.0204145633164765","0.0163105452674192","0.0245185813655339"
"Much too small","1984","direct migration background","Male","146","0.0697580129875151","0.0580386286832106","0.0814773972918196"
"Much too small","1984","direct migration background","Female","126","0.0569742924277139","0.0456130691394619","0.068335515715966"
"Much too small","1984","indirect migration background","Male","4","","",""
"Much too small","1984","indirect migration background","Female","2","","",""
"A little too small","1984","no migration background","Male","568","0.130393154038095","0.120107153853325","0.140679154222864"
"A little too small","1984","no migration background","Female","620","0.121746880773075","0.112257085858291","0.131236675687859"
"A little too small","1984","direct migration background","Male","413","0.187514379772212","0.16955733328764","0.205471426256783"
"A little too small","1984","direct migration background","Female","364","0.20301119561086","0.183295597172675","0.222726794049044"
"A little too small","1984","indirect migration background","Male","14","","",""
"A little too small","1984","indirect migration background","Female","14","","",""
"Just right","1984","no migration background","Male","3138","0.768363271159197","0.755476483648275","0.781250058670119"
"Just right","1984","no migration background","Female","3484","0.77270887765936","0.760546534791533","0.784871220527188"
"Just right","1984","direct migration background","Male","1207","0.698583591512134","0.677472902309039","0.71969428071523"
"Just right","1984","direct migration background","Female","1062","0.68847415022719","0.665774732180953","0.711173568273426"
"Just right","1984","indirect migration background","Male","42","0.815139783301316","0.718514669154649","0.911764897447983"
"Just right","1984","indirect migration background","Female","48","0.831053305075536","0.740653932997485","0.921452677153588"
"A little too big","1984","no migration background","Male","270","0.0676944237232","0.0600205747774316","0.0753682726689683"
"A little too big","1984","no migration background","Female","308","0.0745859107465614","0.0669613556494212","0.0822104658437015"
"A little too big","1984","direct migration background","Male","43","0.0371642175701079","0.0284616303582495","0.0458668047819663"
"A little too big","1984","direct migration background","Female","45","0.0488005042535554","0.0382403121262781","0.0593606963808328"
"A little too big","1984","indirect migration background","Male","2","","",""
"A little too big","1984","indirect migration background","Female","2","","",""
"Much too big","1984","no migration background","Male","41","0.0105773124949218","0.00745241153507099","0.0137022134547727"
"Much too big","1984","no migration background","Female","44","0.0105437675045268","0.00757952138788487","0.0135080136211686"
"Much too big","1984","direct migration background","Male","6","","",""
"Much too big","1984","direct migration background","Female","2","","",""
"Much too big","1984","indirect migration background","Male","","","",""
"Much too big","1984","indirect migration background","Female","","","",""
"Much too small","1985","no migration background","Male","92","0.0223393443697027","0.0176411775136368","0.0270375112257686"
"Much too small","1985","no migration background","Female","97","0.0194158010530846","0.0152218249597462","0.023609777146423"
"Much too small","1985","direct migration background","Male","117","0.0682208423191744","0.0557055767968898","0.0807361078414591"
"Much too small","1985","direct migration background","Female","93","0.0510739509259874","0.0393651042841199","0.0627827975678548"
"Much too small","1985","indirect migration background","Male","6","","",""
"Much too small","1985","indirect migration background","Female","3","","",""
"A little too small","1985","no migration background","Male","451","0.111052759647179","0.101064223931698","0.12104129536266"
"A little too small","1985","no migration background","Female","518","0.110589614553391","0.101056954213497","0.120122274893285"
"A little too small","1985","direct migration background","Male","345","0.216078255822715","0.195648323795504","0.236508187849926"
"A little too small","1985","direct migration background","Female","312","0.200496727441669","0.179202495847686","0.221790959035653"
"A little too small","1985","indirect migration background","Male","10","","",""
"A little too small","1985","indirect migration background","Female","11","","",""
"Just right","1985","no migration background","Male","2956","0.782712691058875","0.769602243289439","0.795823138828311"
"Just right","1985","no migration background","Female","3204","0.782704064116601","0.770168887863455","0.795239240369747"
