"hlf0071_h","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"1","1984","16-34 y.","Full Time","104","0.0329384424536669","0.0255159049422813","0.0403609799650525"
"1","1984","16-34 y.","Part Time","46","0.0371686741067361","0.024788820478689","0.0495485277347831"
"1","1984","16-34 y.","Not Working","111","0.0654943424607486","0.0529115299684119","0.0780771549530852"
"1","1984","35-65 y.","Full Time","129","0.0221767581456659","0.0172486498946886","0.0271048663966433"
"1","1984","35-65 y.","Part Time","24","","",""
"1","1984","35-65 y.","Not Working","67","0.022005455525936","0.0155075237840334","0.0285033872678386"
"1","1984","66 and older","Full Time","","","",""
"1","1984","66 and older","Part Time","","","",""
"1","1984","66 and older","Not Working","2","","",""
"2","1984","16-34 y.","Full Time","471","0.188139291124666","0.17188551306743","0.204393069181903"
"2","1984","16-34 y.","Part Time","201","0.202024483898902","0.175749125072294","0.228299842725509"
"2","1984","16-34 y.","Not Working","315","0.192530207742378","0.172476372340728","0.212584043144027"
"2","1984","35-65 y.","Full Time","551","0.140989464493157","0.129343013416629","0.152635915569684"
"2","1984","35-65 y.","Part Time","145","0.117718095893675","0.0972248104783568","0.138211381308994"
"2","1984","35-65 y.","Not Working","240","0.0971534893317595","0.0840351786883902","0.110271799975129"
"2","1984","66 and older","Full Time","2","","",""
"2","1984","66 and older","Part Time","4","","",""
"2","1984","66 and older","Not Working","64","0.0451079291294546","0.0334381257098612","0.0567777325490479"
"3","1984","16-34 y.","Full Time","1545","0.727124452657324","0.708599355404474","0.745649549910175"
"3","1984","16-34 y.","Part Time","613","0.711330038884236","0.681675700371382","0.74098437739709"
"3","1984","16-34 y.","Not Working","996","0.691342784924303","0.667848090642742","0.714837479205863"
"3","1984","35-65 y.","Full Time","2526","0.751105436448621","0.736635747708608","0.765575125188635"
"3","1984","35-65 y.","Part Time","711","0.772519341925013","0.745862223136026","0.799176460713999"
"3","1984","35-65 y.","Not Working","1524","0.802872395918858","0.78525106397978","0.820493727857937"
"3","1984","66 and older","Full Time","17","","",""
"3","1984","66 and older","Part Time","36","0.855704670707971","0.749434461908508","0.961974879507434"
"3","1984","66 and older","Not Working","1013","0.835734292746184","0.81490053943331","0.856568046059059"
"4","1984","16-34 y.","Full Time","88","0.0434954449528333","0.0350126450640697","0.0519782448415969"
"4","1984","16-34 y.","Part Time","30","0.0401825979283279","0.0273307616241472","0.0530344342325086"
"4","1984","16-34 y.","Not Working","55","0.0438719648344262","0.0334551142946576","0.0542888153741948"
"4","1984","35-65 y.","Full Time","192","0.0734850854250608","0.0647528217682093","0.0822173490819122"
"4","1984","35-65 y.","Part Time","63","0.0798796890491367","0.0626401051255413","0.0971192729727322"
"4","1984","35-65 y.","Not Working","118","0.0719158291775839","0.060472624232402","0.0833590341227657"
"4","1984","66 and older","Full Time","2","","",""
"4","1984","66 and older","Part Time","2","","",""
"4","1984","66 and older","Not Working","120","0.10325964137482","0.086149302290607","0.120369980459032"
"5","1984","16-34 y.","Full Time","13","","",""
"5","1984","16-34 y.","Part Time","7","","",""
"5","1984","16-34 y.","Not Working","8","","",""
"5","1984","35-65 y.","Full Time","32","0.0122432554874953","0.00856302948899131","0.0159234814859992"
"5","1984","35-65 y.","Part Time","7","","",""
"5","1984","35-65 y.","Not Working","9","","",""
"5","1984","66 and older","Full Time","1","","",""
"5","1984","66 and older","Part Time","","","",""
"5","1984","66 and older","Not Working","16","","",""
"1","1985","16-34 y.","Full Time","83","0.0315983354451685","0.0237900722735027","0.0394065986168343"
"1","1985","16-34 y.","Part Time","48","0.0394746336403945","0.0265726187786088","0.0523766485021802"
"1","1985","16-34 y.","Not Working","81","0.047699050841966","0.0363258137342198","0.0590722879497123"
"1","1985","35-65 y.","Full Time","107","0.0252449354471982","0.0196390520844988","0.0308508188098976"
"1","1985","35-65 y.","Part Time","36","0.0268911029387876","0.0166099253281723","0.0371722805494029"
"1","1985","35-65 y.","Not Working","49","0.0183917957598421","0.0121777266012846","0.0246058649183997"
"1","1985","66 and older","Full Time","","","",""
"1","1985","66 and older","Part Time","","","",""
"1","1985","66 and older","Not Working","4","","",""
"2","1985","16-34 y.","Full Time","357","0.163677672945562","0.147162765550847","0.180192580340278"
"2","1985","16-34 y.","Part Time","174","0.197821362354528","0.171426694280571","0.224216030428486"
"2","1985","16-34 y.","Not Working","260","0.166686152661301","0.146797920690867","0.186574384631735"
"2","1985","35-65 y.","Full Time","453","0.125429185361996","0.113593157847683","0.13726521287631"
"2","1985","35-65 y.","Part Time","130","0.111613254145078","0.0916000441198709","0.131626464170286"
"2","1985","35-65 y.","Not Working","216","0.0935529229305804","0.080085179574944","0.107020666286217"
"2","1985","66 and older","Full Time","","","",""
"2","1985","66 and older","Part Time","2","","",""
"2","1985","66 and older","Not Working","55","0.0437426110331972","0.0314766319972737","0.0560085900691207"
"3","1985","16-34 y.","Full Time","1400","0.751674210497227","0.732389180721623","0.770959240272831"
"3","1985","16-34 y.","Part Time","597","0.690155498589089","0.659515450862185","0.720795546315993"
"3","1985","16-34 y.","Not Working","945","0.729443067423882","0.705736583252816","0.753149551594948"
"3","1985","35-65 y.","Full Time","2246","0.759823179055505","0.744556977566359","0.775089380544652"
"3","1985","35-65 y.","Part Time","712","0.770133144636385","0.743392066238905","0.796874223033866"
"3","1985","35-65 y.","Not Working","1407","0.803667635329262","0.785296791168101","0.822038479490424"
"3","1985","66 and older","Full Time","15","","",""
"3","1985","66 and older","Part Time","21","","",""
"3","1985","66 and older","Not Working","905","0.849795444947818","0.828368452542723","0.871222437352912"
"4","1985","16-34 y.","Full Time","80","0.048876302943929","0.0392521558668633","0.0585004500209947"
"4","1985","16-34 y.","Part Time","50","0.065358147770231","0.0489818191495119","0.0817344763909501"
"4","1985","16-34 y.","Not Working","55","0.0484248848767876","0.0369698094618515","0.0598799602917238"
