"hlf0071_h","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"1","1984","Schleswig-Holstein","no migration background","14","","",""
"1","1984","Schleswig-Holstein","direct migration background","","","",""
"1","1984","Schleswig-Holstein","indirect migration background","","","",""
"1","1984","Hamburg","no migration background","7","","",""
"1","1984","Hamburg","direct migration background","6","","",""
"1","1984","Hamburg","indirect migration background","","","",""
"1","1984","Lower Saxony","no migration background","28","","",""
"1","1984","Lower Saxony","direct migration background","6","","",""
"1","1984","Lower Saxony","indirect migration background","","","",""
"1","1984","Bremen","no migration background","2","","",""
"1","1984","Bremen","direct migration background","5","","",""
"1","1984","Bremen","indirect migration background","","","",""
"1","1984","North Rhine-Westphalia","no migration background","49","0.019971583931903","0.0142163795453829","0.0257267883184231"
"1","1984","North Rhine-Westphalia","direct migration background","93","0.0822645498255727","0.06486530283523","0.0996637968159155"
"1","1984","North Rhine-Westphalia","indirect migration background","2","","",""
"1","1984","Hesse","no migration background","12","","",""
"1","1984","Hesse","direct migration background","47","0.0650679345458952","0.0428168783887754","0.087318990703015"
"1","1984","Hesse","indirect migration background","1","","",""
"1","1984","Rhineland-Palatinate,Saarland","no migration background","14","","",""
"1","1984","Rhineland-Palatinate,Saarland","direct migration background","19","","",""
"1","1984","Rhineland-Palatinate,Saarland","indirect migration background","1","","",""
"1","1984","Baden-Württemberg","no migration background","32","0.0210208671477357","0.0133628704265103","0.0286788638689611"
"1","1984","Baden-Württemberg","direct migration background","55","0.0469335580645997","0.0330308136335871","0.0608363024956123"
"1","1984","Baden-Württemberg","indirect migration background","2","","",""
"1","1984","Bavaria","no migration background","39","0.020864012908076","0.0139082768505708","0.0278197489655812"
"1","1984","Bavaria","direct migration background","34","0.0600764038926026","0.0383373825640321","0.081815425221173"
"1","1984","Bavaria","indirect migration background","","","",""
"1","1984","Berlin","no migration background","8","","",""
"1","1984","Berlin","direct migration background","7","","",""
"1","1984","Berlin","indirect migration background","","","",""
"1","1984","Brandenburg","no migration background","","","",""
"1","1984","Brandenburg","direct migration background","","","",""
"1","1984","Brandenburg","indirect migration background","","","",""
"1","1984","Mecklenburg-Western Pomerania","no migration background","","","",""
"1","1984","Mecklenburg-Western Pomerania","direct migration background","","","",""
"1","1984","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"1","1984","Saxony","no migration background","","","",""
"1","1984","Saxony","direct migration background","","","",""
"1","1984","Saxony","indirect migration background","","","",""
"1","1984","Saxony-Anhalt","no migration background","","","",""
"1","1984","Saxony-Anhalt","direct migration background","","","",""
"1","1984","Saxony-Anhalt","indirect migration background","","","",""
"1","1984","Thuringia","no migration background","","","",""
"1","1984","Thuringia","direct migration background","","","",""
"1","1984","Thuringia","indirect migration background","","","",""
"2","1984","Schleswig-Holstein","no migration background","50","0.142980335627979","0.10588079026663","0.180079880989328"
"2","1984","Schleswig-Holstein","direct migration background","5","","",""
"2","1984","Schleswig-Holstein","indirect migration background","3","","",""
"2","1984","Hamburg","no migration background","48","0.189927412012176","0.138096059218667","0.241758764805685"
"2","1984","Hamburg","direct migration background","16","","",""
"2","1984","Hamburg","indirect migration background","","","",""
