"hlf0071_h","year","education","n","percent","lower_confidence","upper_confidence"
"1","1984","lower secondary degree","159","0.0204163064932046","0.0168737988957288","0.0239588140906805"
"1","1984","secondary school degree","36","0.0186521251463086","0.0126610257272715","0.0246432245653458"
"1","1984","college entrance qualification","47","0.0327722783506731","0.0230679269621688","0.0424766297391774"
"1","1984","Other degree","131","0.0938819763881628","0.0788748382146681","0.108889114561658"
"1","1984","no degree/no degree yet","106","0.0647690471733282","0.0514055823982764","0.0781325119483799"
"2","1984","lower secondary degree","801","0.11444564588751","0.106471050136214","0.122420241638807"
"2","1984","secondary school degree","310","0.143775713101247","0.128238704383674","0.15931272181882"
"2","1984","college entrance qualification","235","0.165786852988763","0.145516449786086","0.186057256191439"
"2","1984","Other degree","352","0.218399333247425","0.197140839021561","0.23965782747329"
"2","1984","no degree/no degree yet","274","0.184207607609908","0.163159188157372","0.205256027062443"
"3","1984","lower secondary degree","4736","0.788551597300899","0.778322938531445","0.798780256070353"
"3","1984","secondary school degree","1456","0.74911884495403","0.729921540413836","0.768316149494225"
"3","1984","college entrance qualification","912","0.717829513454072","0.693298512054526","0.742360514853618"
"3","1984","Other degree","935","0.653400742842303","0.628914733518071","0.677886752166534"
"3","1984","no degree/no degree yet","879","0.68062766431702","0.655312582871659","0.705942745762381"
"4","1984","lower secondary degree","384","0.0686303069546516","0.0622971471029792","0.074963466806324"
"4","1984","secondary school degree","135","0.075527692252301","0.0638264779366856","0.0872289065679165"
"4","1984","college entrance qualification","77","0.0649156501008093","0.0514864876281797","0.0783448125734389"
"4","1984","Other degree","30","0.0320377272530449","0.0229767623126768","0.0410986921934131"
"4","1984","no degree/no degree yet","41","0.0668638965815665","0.0533012570067451","0.0804265361563878"
"5","1984","lower secondary degree","42","0.00795614336373482","0.00573069170746216","0.0101815950200075"
"5","1984","secondary school degree","22","","",""
"5","1984","college entrance qualification","22","","",""
"5","1984","Other degree","3","","",""
"5","1984","no degree/no degree yet","3","","",""
"1","1985","lower secondary degree","155","0.0215529724067055","0.0177031958554395","0.0254027489579715"
"1","1985","secondary school degree","43","0.0181909040567054","0.0121434532913332","0.0242383548220776"
"1","1985","college entrance qualification","34","0.0292695964535285","0.0198264860873206","0.0387127068197365"
"1","1985","Other degree","99","0.0790480867306921","0.0638829803143958","0.0942131931469885"
"1","1985","no degree/no degree yet","67","0.0477621147512877","0.0351074624318395","0.0604167670707359"
"2","1985","lower secondary degree","647","0.101823487672854","0.093806372760874","0.109840602584833"
