"hlf0071_h","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Much too small","1985","Urban Area","Male","194","0.0312711913202762","0.0260768356575815","0.0364655469829709"
"Much too small","1985","Urban Area","Female","167","0.023908022103707","0.0194146353359345","0.0284014088714794"
"Much too small","1985","Rural Area","Male","21","","",""
"Much too small","1985","Rural Area","Female","26","","",""
"A little too small","1985","Urban Area","Male","686","0.131391657038448","0.121309481489096","0.141473832587799"
"A little too small","1985","Urban Area","Female","702","0.12396708092484","0.114273817696892","0.133660344152788"
"A little too small","1985","Rural Area","Male","120","0.0922566689869701","0.075255416102985","0.109257921870955"
"A little too small","1985","Rural Area","Female","139","0.0986022647552892","0.0814015353806763","0.115802994129902"
"Just right","1985","Urban Area","Male","3186","0.764336142340916","0.751669921634701","0.77700236304713"
"Just right","1985","Urban Area","Female","3311","0.779050328276229","0.766846782241862","0.791253874310596"
"Just right","1985","Rural Area","Male","872","0.792866756088183","0.769058613405348","0.816674898771018"
"Just right","1985","Rural Area","Female","879","0.772021923241018","0.747816841921835","0.796227004560201"
"A little too big","1985","Urban Area","Male","219","0.0655036524321952","0.0581198524380766","0.0728874524263138"
"A little too big","1985","Urban Area","Female","225","0.0619663196878729","0.0548747287947362","0.0690579105810097"
"A little too big","1985","Rural Area","Male","91","0.0907978203175845","0.073917975314001","0.107677665321168"
"A little too big","1985","Rural Area","Female","101","0.102241498289674","0.0847616140384333","0.119721382540916"
"Much too big","1985","Urban Area","Male","28","","",""
"Much too big","1985","Urban Area","Female","35","0.0111082490073513","0.00802538912464074","0.0141911088900619"
"Much too big","1985","Rural Area","Male","9","","",""
"Much too big","1985","Rural Area","Female","9","","",""
"Much too small","1986","Urban Area","Male","16","","",""
"Much too small","1986","Urban Area","Female","16","","",""
"Much too small","1986","Rural Area","Male","8","","",""
"Much too small","1986","Rural Area","Female","10","","",""
"A little too small","1986","Urban Area","Male","87","0.164842111058774","0.132951356362","0.196732865755549"
"A little too small","1986","Urban Area","Female","80","0.157818642742703","0.126453564453165","0.18918372103224"
"A little too small","1986","Rural Area","Male","7","","",""
"A little too small","1986","Rural Area","Female","11","","",""
"Just right","1986","Urban Area","Male","387","0.74659886657503","0.709214127067037","0.783983606083023"
"Just right","1986","Urban Area","Female","391","0.738759512037739","0.700964351173972","0.776554672901505"
"Just right","1986","Rural Area","Male","81","0.794796925554188","0.717180892495037","0.87241295861334"
"Just right","1986","Rural Area","Female","89","0.773835790409139","0.698671604857467","0.848999975960811"
"A little too big","1986","Urban Area","Male","28","","",""
"A little too big","1986","Urban Area","Female","31","0.0683517733178342","0.0466415002424724","0.0900620463931961"
"A little too big","1986","Rural Area","Male","8","","",""
"A little too big","1986","Rural Area","Female","9","","",""
"Much too big","1986","Urban Area","Male","2","","",""
"Much too big","1986","Urban Area","Female","1","","",""
"Much too big","1986","Rural Area","Male","","","",""
"Much too big","1986","Rural Area","Female","","","",""
"Much too small","1987","Urban Area","Male","16","","",""
"Much too small","1987","Urban Area","Female","17","","",""
"Much too small","1987","Rural Area","Male","5","","",""
"Much too small","1987","Rural Area","Female","6","","",""
"A little too small","1987","Urban Area","Male","71","0.135257824459829","0.103265901129549","0.16724974779011"
"A little too small","1987","Urban Area","Female","60","0.102874299372154","0.0740595897122324","0.131689009032076"
"A little too small","1987","Rural Area","Male","16","","",""
"A little too small","1987","Rural Area","Female","17","","",""
"Just right","1987","Urban Area","Male","327","0.771487866893278","0.732211164928994","0.810764568857561"
"Just right","1987","Urban Area","Female","322","0.779373003934112","0.740041897961861","0.818704109906363"
"Just right","1987","Rural Area","Male","69","0.737088169552186","0.648566198972693","0.825610140131679"
"Just right","1987","Rural Area","Female","74","0.70955568432397","0.621885047523529","0.797226321124412"
"A little too big","1987","Urban Area","Male","22","","",""
"A little too big","1987","Urban Area","Female","24","","",""
"A little too big","1987","Rural Area","Male","5","","",""
"A little too big","1987","Rural Area","Female","6","","",""
"Much too big","1987","Urban Area","Male","3","","",""
"Much too big","1987","Urban Area","Female","4","","",""
"Much too big","1987","Rural Area","Male","","","",""
"Much too big","1987","Rural Area","Female","","","",""
"Much too small","1988","Urban Area","Male","19","","",""
