"hlf0071_h","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"A little too big","1984","16-34 y.","Not Employed","55","0.0438719648344262","0.0334551142946576","0.0542888153741948","4"
"A little too big","1984","16-34 y.","Employed","118","0.0425025787382656","0.0354217109999954","0.0495834464765358","4"
"A little too big","1984","35-65 y.","Not Employed","118","0.0719158291775839","0.060472624232402","0.0833590341227657","4"
"A little too big","1984","35-65 y.","Employed","255","0.0750040594787833","0.0672035434439442","0.0828045755136224","4"
"A little too big","1984","66 and older","Not Employed","120","0.10325964137482","0.086149302290607","0.120369980459032","4"
"A little too big","1984","66 and older","Employed","4","","","","4"
"A little too small","1984","16-34 y.","Employed","672","0.192300708384902","0.178467423256031","0.206133993513774","2"
"A little too small","1984","16-34 y.","Not Employed","315","0.192530207742378","0.172476372340728","0.212584043144027","2"
"A little too small","1984","35-65 y.","Not Employed","240","0.0971534893317595","0.0840351786883902","0.110271799975129","2"
"A little too small","1984","35-65 y.","Employed","696","0.135461583927716","0.12532687550423","0.145596292351202","2"
"A little too small","1984","66 and older","Not Employed","64","0.0451079291294546","0.0334381257098612","0.0567777325490479","2"
"A little too small","1984","66 and older","Employed","6","","","","2"
"Just right","1984","16-34 y.","Employed","2158","0.722390838428172","0.70667226791783","0.738109408938515","3"
"Just right","1984","16-34 y.","Not Employed","996","0.691342784924303","0.667848090642742","0.714837479205863","3"
"Just right","1984","35-65 y.","Employed","3237","0.756192095250277","0.74347608136457","0.768908109135984","3"
"Just right","1984","35-65 y.","Not Employed","1524","0.802872395918858","0.78525106397978","0.820493727857937","3"
"Just right","1984","66 and older","Not Employed","1013","0.835734292746184","0.81490053943331","0.856568046059059","3"
"Just right","1984","66 and older","Employed","53","0.825633761135711","0.732676562857138","0.918590959414285","3"
"Much too big","1984","16-34 y.","Not Employed","8","","","","5"
"Much too big","1984","16-34 y.","Employed","20","","","","5"
"Much too big","1984","35-65 y.","Not Employed","9","","","","5"
"Much too big","1984","66 and older","Not Employed","16","","","","5"
"Much too big","1984","35-65 y.","Employed","39","0.0115571604015393","0.00839187856200183","0.0147224422410767","5"
"Much too big","1984","66 and older","Employed","1","","","","5"
"Much too small","1984","16-34 y.","Not Employed","111","0.0654943424607486","0.0529115299684119","0.0780771549530852","1"
"Much too small","1984","16-34 y.","Employed","150","0.0342062504922087","0.0278264813061106","0.0405860196783069","1"
