"hlf0071_h","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Much too small","1985","Schleswig-Holstein","Urban Area","9","","",""
"Much too small","1985","Schleswig-Holstein","Rural Area","","","",""
"Much too small","1985","Hamburg","Urban Area","15","","",""
"Much too small","1985","Hamburg","Rural Area","","","",""
"Much too small","1985","Lower Saxony","Urban Area","6","","",""
"Much too small","1985","Lower Saxony","Rural Area","20","","",""
"Much too small","1985","Bremen","Urban Area","","","",""
"Much too small","1985","Bremen","Rural Area","","","",""
"Much too small","1985","North Rhine-Westphalia","Urban Area","114","0.0264848861955783","0.0206245724484687","0.0323451999426879"
"Much too small","1985","North Rhine-Westphalia","Rural Area","","","",""
"Much too small","1985","Hesse","Urban Area","55","0.027891325607424","0.0175715405757688","0.0382111106390792"
"Much too small","1985","Hesse","Rural Area","7","","",""
"Much too small","1985","Rhineland-Palatinate,Saarland","Urban Area","43","0.0470142847451829","0.0305508919330132","0.0634776775573526"
"Much too small","1985","Rhineland-Palatinate,Saarland","Rural Area","2","","",""
"Much too small","1985","Baden-Württemberg","Urban Area","62","0.0243322100391298","0.0171133133118962","0.0315511067663634"
"Much too small","1985","Baden-Württemberg","Rural Area","2","","",""
"Much too small","1985","Bavaria","Urban Area","32","0.023127246845701","0.0138574894041286","0.0323970042872734"
"Much too small","1985","Bavaria","Rural Area","16","","",""
"Much too small","1985","Berlin","Urban Area","25","","",""
"Much too small","1985","Berlin","Rural Area","","","",""
"Much too small","1985","Brandenburg","Urban Area","","","",""
"Much too small","1985","Brandenburg","Rural Area","","","",""
"Much too small","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Much too small","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Much too small","1985","Saxony","Urban Area","","","",""
"Much too small","1985","Saxony","Rural Area","","","",""
"Much too small","1985","Saxony-Anhalt","Urban Area","","","",""
"Much too small","1985","Saxony-Anhalt","Rural Area","","","",""
"Much too small","1985","Thuringia","Urban Area","","","",""
"Much too small","1985","Thuringia","Rural Area","","","",""
"A little too small","1985","Schleswig-Holstein","Urban Area","27","","",""
"A little too small","1985","Schleswig-Holstein","Rural Area","14","","",""
"A little too small","1985","Hamburg","Urban Area","65","0.202279627132159","0.154541535582932","0.250017718681387"
"A little too small","1985","Hamburg","Rural Area","2","","",""
"A little too small","1985","Lower Saxony","Urban Area","57","0.079480545171749","0.0573911536045237","0.101569936738974"
"A little too small","1985","Lower Saxony","Rural Area","37","0.0672871953658519","0.0458578639194972","0.0887165268122065"
"A little too small","1985","Bremen","Urban Area","24","","",""
"A little too small","1985","Bremen","Rural Area","","","",""
"A little too small","1985","North Rhine-Westphalia","Urban Area","460","0.131818414107172","0.119471916138165","0.14416491207618"
"A little too small","1985","North Rhine-Westphalia","Rural Area","8","","",""
"A little too small","1985","Hesse","Urban Area","188","0.154099708888856","0.131472074131769","0.176727343645944"
"A little too small","1985","Hesse","Rural Area","25","","",""
"A little too small","1985","Rhineland-Palatinate,Saarland","Urban Area","73","0.0876483019350133","0.0656538003943785","0.109642803475648"
"A little too small","1985","Rhineland-Palatinate,Saarland","Rural Area","8","","",""
"A little too small","1985","Baden-Württemberg","Urban Area","239","0.104148111127876","0.0898370158715107","0.118459206384242"
"A little too small","1985","Baden-Württemberg","Rural Area","44","0.111535050833098","0.0756128515891335","0.147457250077062"
"A little too small","1985","Bavaria","Urban Area","187","0.147106630556604","0.125261688489963","0.168951572623246"
"A little too small","1985","Bavaria","Rural Area","121","0.123836428566716","0.102220073306128","0.145452783827304"
"A little too small","1985","Berlin","Urban Area","68","0.161388756004718","0.123647301233136","0.199130210776299"
"A little too small","1985","Berlin","Rural Area","","","",""
"A little too small","1985","Brandenburg","Urban Area","","","",""
"A little too small","1985","Brandenburg","Rural Area","","","",""
"A little too small","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"A little too small","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"A little too small","1985","Saxony","Urban Area","","","",""
"A little too small","1985","Saxony","Rural Area","","","",""
"A little too small","1985","Saxony-Anhalt","Urban Area","","","",""
"A little too small","1985","Saxony-Anhalt","Rural Area","","","",""
"A little too small","1985","Thuringia","Urban Area","","","",""
"A little too small","1985","Thuringia","Rural Area","","","",""
"Just right","1985","Schleswig-Holstein","Urban Area","126","0.76832220266364","0.704333433734835","0.832310971592444"
"Just right","1985","Schleswig-Holstein","Rural Area","136","0.733106118815679","0.66936569341478","0.796846544216579"
"Just right","1985","Hamburg","Urban Area","179","0.698508176077303","0.643971689535455","0.753044662619151"
"Just right","1985","Hamburg","Rural Area","4","","",""
"Just right","1985","Lower Saxony","Urban Area","469","0.821935436837615","0.790693032328183","0.853177841347046"
"Just right","1985","Lower Saxony","Rural Area","410","0.785147057741571","0.750014109506942","0.8202800059762"
"Just right","1985","Bremen","Urban Area","81","0.768383305641572","0.691613050102868","0.845153561180276"
"Just right","1985","Bremen","Rural Area","","","",""
"Just right","1985","North Rhine-Westphalia","Urban Area","2153","0.773860254048628","0.758592674771166","0.78912783332609"
"Just right","1985","North Rhine-Westphalia","Rural Area","58","0.818279160627159","0.729820619315333","0.906737701938985"
"Just right","1985","Hesse","Urban Area","691","0.749075743591512","0.721904291183668","0.776247195999356"
"Just right","1985","Hesse","Rural Area","111","0.818477613910033","0.757796891767239","0.879158336052828"
"Just right","1985","Rhineland-Palatinate,Saarland","Urban Area","480","0.789606220223035","0.757904490664675","0.821307949781394"
"Just right","1985","Rhineland-Palatinate,Saarland","Rural Area","108","0.792245919883874","0.724061771068235","0.860430068699513"
"Just right","1985","Baden-Württemberg","Urban Area","1359","0.798742333555069","0.779957444498854","0.817527222611285"
"Just right","1985","Baden-Württemberg","Rural Area","230","0.789218248922286","0.742675487532153","0.835761010312419"
"Just right","1985","Bavaria","Urban Area","706","0.738323064557491","0.711215322501973","0.76543080661301"
"Just right","1985","Bavaria","Rural Area","694","0.779327232896048","0.752112757905511","0.806541707886586"
"Just right","1985","Berlin","Urban Area","253","0.74925105040138","0.704784350420356","0.793717750382403"
"Just right","1985","Berlin","Rural Area","","","",""
"Just right","1985","Brandenburg","Urban Area","","","",""
"Just right","1985","Brandenburg","Rural Area","","","",""
"Just right","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Just right","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Just right","1985","Saxony","Urban Area","","","",""
"Just right","1985","Saxony","Rural Area","","","",""
"Just right","1985","Saxony-Anhalt","Urban Area","","","",""
"Just right","1985","Saxony-Anhalt","Rural Area","","","",""
"Just right","1985","Thuringia","Urban Area","","","",""
"Just right","1985","Thuringia","Rural Area","","","",""
"A little too big","1985","Schleswig-Holstein","Urban Area","5","","",""
"A little too big","1985","Schleswig-Holstein","Rural Area","33","0.190167229799225","0.133617863801131","0.246716595797318"
"A little too big","1985","Hamburg","Urban Area","13","","",""
"A little too big","1985","Hamburg","Rural Area","","","",""
"A little too big","1985","Lower Saxony","Urban Area","40","0.0854116364873492","0.062586772064312","0.108236500910386"
"A little too big","1985","Lower Saxony","Rural Area","52","0.103368603326654","0.0773268791600772","0.129410327493232"
"A little too big","1985","Bremen","Urban Area","11","","",""
"A little too big","1985","Bremen","Rural Area","","","",""
"A little too big","1985","North Rhine-Westphalia","Urban Area","133","0.0565362967873313","0.0481072834616991","0.0649653101129636"
