"hlf0071_h","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"1","1984","(0) in school","in school","6","","",""
"1","1984","(0) in school","inadequately","","","",""
"1","1984","(0) in school","general elemantary","","","",""
"1","1984","(0) in school","middle vocational","","","",""
"1","1984","(0) in school","vocational + Abi","","","",""
"1","1984","(0) in school","higher vocational","","","",""
"1","1984","(0) in school","higher education","","","",""
"1","1984","(1a) inadequately completed","in school","","","",""
"1","1984","(1a) inadequately completed","inadequately","90","0.0839786838506175","0.066736502018015","0.10122086568322"
"1","1984","(1a) inadequately completed","general elemantary","","","",""
"1","1984","(1a) inadequately completed","middle vocational","10","","",""
"1","1984","(1a) inadequately completed","vocational + Abi","","","",""
"1","1984","(1a) inadequately completed","higher vocational","","","",""
"1","1984","(1a) inadequately completed","higher education","","","",""
"1","1984","(1b) general elementary school","in school","","","",""
"1","1984","(1b) general elementary school","inadequately","3","","",""
"1","1984","(1b) general elementary school","general elemantary","134","0.0248256999255382","0.0192486520670827","0.0304027477839937"
"1","1984","(1b) general elementary school","middle vocational","","","",""
"1","1984","(1b) general elementary school","vocational + Abi","","","",""
"1","1984","(1b) general elementary school","higher vocational","","","",""
"1","1984","(1b) general elementary school","higher education","","","",""
"1","1984","(1c) basic vocational qualification","in school","","","",""
"1","1984","(1c) basic vocational qualification","inadequately","","","",""
"1","1984","(1c) basic vocational qualification","general elemantary","","","",""
"1","1984","(1c) basic vocational qualification","middle vocational","116","0.0218753593046974","0.017321173426983","0.0264295451824118"
"1","1984","(1c) basic vocational qualification","vocational + Abi","","","",""
"1","1984","(1c) basic vocational qualification","higher vocational","6","","",""
"1","1984","(1c) basic vocational qualification","higher education","","","",""
"1","1984","(2b) intermediate general qualification","in school","","","",""
"1","1984","(2b) intermediate general qualification","inadequately","","","",""
"1","1984","(2b) intermediate general qualification","general elemantary","14","","",""
"1","1984","(2b) intermediate general qualification","middle vocational","","","",""
"1","1984","(2b) intermediate general qualification","vocational + Abi","","","",""
"1","1984","(2b) intermediate general qualification","higher vocational","","","",""
