"hlf0071_h","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"A little too big","1985","35-65 y.","Rural Area","107","0.104346361439813","0.0867841054564276","0.121908617423197","4"
"A little too big","1985","16-34 y.","Rural Area","55","0.0772169259721687","0.0589688010079776","0.0954650509363598","4"
"A little too big","1985","35-65 y.","Urban Area","252","0.0722169126122735","0.0647294075464337","0.0797044176781133","4"
"A little too big","1985","16-34 y.","Urban Area","130","0.0450519130331493","0.0380070512912356","0.052096774775063","4"
"A little too big","1985","66 and older","Urban Area","62","0.0756454758313944","0.0576775811632551","0.0936133704995338","4"
"A little too big","1985","66 and older","Rural Area","30","0.110511589721547","0.0738535707949696","0.147169608648124","4"
"A little too small","1985","16-34 y.","Rural Area","118","0.129854306759102","0.106875030368966","0.152833583149238","2"
"A little too small","1985","16-34 y.","Urban Area","673","0.184402135239028","0.17123027884718","0.197573991630875","2"
"A little too small","1985","35-65 y.","Urban Area","672","0.117758251632006","0.108434645438457","0.127081857825555","2"
"A little too small","1985","66 and older","Urban Area","43","0.0424497009739647","0.0287502064328395","0.05614919551509","2"
"A little too small","1985","35-65 y.","Rural Area","127","0.0931961800354798","0.0764957625816146","0.109896597489345","2"
"A little too small","1985","66 and older","Rural Area","14","","","","2"
"Just right","1985","16-34 y.","Urban Area","2326","0.723841784622549","0.70865636550862","0.739027203736477","3"
"Just right","1985","35-65 y.","Urban Area","3463","0.776265673080951","0.764210708285218","0.788320637876684","3"
"Just right","1985","16-34 y.","Rural Area","616","0.757765707423039","0.728477184588258","0.787054230257821","3"
"Just right","1985","35-65 y.","Rural Area","902","0.778113355046409","0.754243014371646","0.801983695721172","3"
"Just right","1985","66 and older","Urban Area","708","0.856087725053294","0.832237390127826","0.879938059978761","3"
"Just right","1985","66 and older","Rural Area","233","0.831214283197596","0.78741981309065","0.875008753304542","3"
"Much too big","1985","16-34 y.","Urban Area","16","","","","5"
"Much too big","1985","16-34 y.","Rural Area","6","","","","5"
"Much too big","1985","35-65 y.","Urban Area","31","0.00783566619098622","0.00528517273674204","0.0103861596452304","5"
"Much too big","1985","35-65 y.","Rural Area","9","","","","5"
"Much too big","1985","66 and older","Urban Area","16","","","","5"
"Much too big","1985","66 and older","Rural Area","3","","","","5"
"Much too small","1985","16-34 y.","Urban Area","185","0.0418165746912693","0.0350178958044402","0.0486152535780984","1"
"Much too small","1985","16-34 y.","Rural Area","27","","","","1"
"Much too small","1985","35-65 y.","Urban Area","173","0.0259234964837831","0.021326885323804","0.0305201076437623","1"
"Much too small","1985","35-65 y.","Rural Area","19","","","","1"
"Much too small","1985","66 and older","Urban Area","3","","","","1"
"Much too small","1985","66 and older","Rural Area","1","","","","1"
"A little too big","1986","35-65 y.","Rural Area","4","","","","4"
"A little too big","1986","16-34 y.","Rural Area","13","","","","4"
"A little too big","1986","16-34 y.","Urban Area","29","","","","4"
"A little too big","1986","35-65 y.","Urban Area","28","","","","4"
"A little too big","1986","66 and older","Urban Area","2","","","","4"
"A little too big","1986","66 and older","Rural Area","","","","","4"
"A little too small","1986","16-34 y.","Urban Area","120","0.20610383110594","0.175149526159628","0.237058136052253","2"
"A little too small","1986","16-34 y.","Rural Area","14","","","","2"
"A little too small","1986","35-65 y.","Urban Area","46","0.0977008154232581","0.0669447373731969","0.128456893473319","2"
"A little too small","1986","35-65 y.","Rural Area","3","","","","2"
"A little too small","1986","66 and older","Urban Area","1","","","","2"
"A little too small","1986","66 and older","Rural Area","1","","","","2"
"Just right","1986","16-34 y.","Urban Area","487","0.709669174929107","0.674933901945965","0.74440444791225","3"
"Just right","1986","35-65 y.","Urban Area","269","0.776594219955238","0.733447194870293","0.819741245040182","3"
"Just right","1986","16-34 y.","Rural Area","87","0.719672074975639","0.641245486221682","0.798098663729597","3"
"Just right","1986","66 and older","Urban Area","22","","","","3"
"Just right","1986","35-65 y.","Rural Area","75","0.871382181052162","0.801035538849165","0.94172882325516","3"
"Just right","1986","66 and older","Rural Area","8","","","","3"
"Much too big","1986","16-34 y.","Urban Area","1","","","","5"
"Much too big","1986","16-34 y.","Rural Area","","","","","5"
"Much too big","1986","35-65 y.","Urban Area","2","","","","5"
"Much too big","1986","35-65 y.","Rural Area","","","","","5"
"Much too big","1986","66 and older","Urban Area","","","","","5"
"Much too big","1986","66 and older","Rural Area","","","","","5"
"Much too small","1986","16-34 y.","Urban Area","19","","","","1"
"Much too small","1986","16-34 y.","Rural Area","12","","","","1"
"Much too small","1986","35-65 y.","Urban Area","13","","","","1"
"Much too small","1986","35-65 y.","Rural Area","5","","","","1"
"Much too small","1986","66 and older","Urban Area","","","","","1"
"Much too small","1986","66 and older","Rural Area","1","","","","1"
"A little too big","1987","16-34 y.","Urban Area","22","","","","4"
"A little too big","1987","16-34 y.","Rural Area","3","","","","4"
"A little too big","1987","35-65 y.","Urban Area","21","","","","4"
"A little too big","1987","35-65 y.","Rural Area","5","","","","4"
"A little too big","1987","66 and older","Urban Area","3","","","","4"
"A little too big","1987","66 and older","Rural Area","3","","","","4"
"A little too small","1987","16-34 y.","Rural Area","21","","","","2"
"A little too small","1987","16-34 y.","Urban Area","77","0.11489465330516","0.0876940509624564","0.142095255647864","2"
"A little too small","1987","35-65 y.","Rural Area","12","","","","2"
"A little too small","1987","35-65 y.","Urban Area","52","0.136116185584936","0.0978820386309823","0.17435033253889","2"
"A little too small","1987","66 and older","Urban Area","2","","","","2"
"A little too small","1987","66 and older","Rural Area","","","","","2"
"Just right","1987","16-34 y.","Urban Area","404","0.79905262121289","0.764873570792916","0.833231671632864","3"
"Just right","1987","35-65 y.","Urban Area","221","0.72895441782866","0.679393401467581","0.778515434189738","3"
