"hlf0071_h","year","education","sex","n","percent","lower_confidence","upper_confidence"
"1","1984","lower secondary degree","Male","84","0.0232427634091339","0.0177080956342239","0.028777431184044"
"1","1984","lower secondary degree","Female","75","0.018116399070203","0.013548585382269","0.0226842127581369"
"1","1984","secondary school degree","Male","13","","",""
"1","1984","secondary school degree","Female","23","","",""
"1","1984","college entrance qualification","Male","24","","",""
"1","1984","college entrance qualification","Female","23","","",""
"1","1984","Other degree","Male","77","0.0995439129072953","0.0796725126230594","0.119415313191531"
"1","1984","Other degree","Female","54","0.084556398704036","0.0618944190754759","0.107218378332596"
"1","1984","no degree/no degree yet","Male","49","0.0745156401689111","0.0533436047957584","0.0956876755420638"
"1","1984","no degree/no degree yet","Female","57","0.055736736193107","0.0388857466873935","0.0725877256988205"
"2","1984","lower secondary degree","Male","391","0.125672220498865","0.113496038234848","0.137848402762881"
"2","1984","lower secondary degree","Female","410","0.105310504949037","0.0947978004870748","0.115823209411"
"2","1984","secondary school degree","Male","127","0.138743098524294","0.115296658811871","0.162189538236718"
"2","1984","secondary school degree","Female","183","0.147321923053637","0.126601855187526","0.168041990919748"
"2","1984","college entrance qualification","Male","132","0.151101193081791","0.126360488750543","0.175841897413039"
"2","1984","college entrance qualification","Female","103","0.190064073043983","0.155253311217892","0.224874834870074"
"2","1984","Other degree","Male","209","0.215825189577147","0.188519864085417","0.243130515068876"
"2","1984","Other degree","Female","143","0.222639115287752","0.188753070156021","0.256525160419484"
"2","1984","no degree/no degree yet","Male","126","0.144747523151777","0.116380935777672","0.173114110525881"
"2","1984","no degree/no degree yet","Female","148","0.220775847844537","0.190309873124673","0.251241822564402"
"3","1984","lower secondary degree","Male","2196","0.784100038498543","0.768986492314194","0.799213584682892"
"3","1984","lower secondary degree","Female","2540","0.792173861300667","0.778277446236051","0.806070276365282"
"3","1984","secondary school degree","Male","624","0.754872777841155","0.725695987998505","0.784049567683806"
"3","1984","secondary school degree","Female","832","0.745064361194604","0.719585670504411","0.770543051884797"
