"hlf0071_h","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"A little too big","1985","direct migration background","Rural Area","12","","","","4"
"A little too big","1985","no migration background","Rural Area","180","0.0998770518204547","0.0864091980244224","0.113344905616487","4"
"A little too big","1985","direct migration background","Urban Area","47","0.0318621673333034","0.0250732064616507","0.0386511282049561","4"
"A little too big","1985","no migration background","Urban Area","395","0.0678098627000851","0.0614771512237298","0.0741425741764404","4"
"A little too big","1985","indirect migration background","Urban Area","2","","","","4"
"A little too big","1985","indirect migration background","Rural Area","","","","","4"
"A little too small","1985","no migration background","Rural Area","188","0.0902039045727464","0.0773362521385549","0.103071557006938","2"
"A little too small","1985","no migration background","Urban Area","781","0.117508196799255","0.109397084050439","0.125619309548072","2"
"A little too small","1985","direct migration background","Urban Area","589","0.21182838516466","0.196034116343455","0.227622653985864","2"
"A little too small","1985","indirect migration background","Urban Area","18","","","","2"
"A little too small","1985","direct migration background","Rural Area","68","0.188364016520298","0.147164733391301","0.229563299649295","2"
"A little too small","1985","indirect migration background","Rural Area","3","","","","2"
"Just right","1985","no migration background","Urban Area","4674","0.781958873711538","0.771558422481669","0.792359324941407","3"
"Just right","1985","direct migration background","Urban Area","1724","0.685057237720908","0.667102614396623","0.703011861045194","3"
"Just right","1985","no migration background","Rural Area","1486","0.785010986466957","0.76655825677654","0.803463716157374","3"
"Just right","1985","direct migration background","Rural Area","252","0.732523688558687","0.685883151652509","0.779164225464864","3"
"Just right","1985","indirect migration background","Urban Area","99","0.864347235041338","0.804794093099725","0.923900376982951","3"
"Just right","1985","indirect migration background","Rural Area","13","","","","3"
"Much too big","1985","no migration background","Urban Area","48","0.00989151263342529","0.00739884850438449","0.0123841767624661","5"
"Much too big","1985","no migration background","Rural Area","18","","","","5"
"Much too big","1985","direct migration background","Urban Area","15","","","","5"
"Much too big","1985","direct migration background","Rural Area","","","","","5"
"Much too big","1985","indirect migration background","Urban Area","","","","","5"
"Much too big","1985","indirect migration background","Rural Area","","","","","5"
"Much too small","1985","no migration background","Urban Area","157","0.0228315541556965","0.0190693403555477","0.0265937679558452","1"
"Much too small","1985","no migration background","Rural Area","32","0.0144731332925867","0.00910862236852414","0.0198376442166492","1"
"Much too small","1985","direct migration background","Urban Area","196","0.0653180484602669","0.0557671202357628","0.074868976684771","1"
"Much too small","1985","direct migration background","Rural Area","14","","","","1"
"Much too small","1985","indirect migration background","Urban Area","8","","","","1"
"Much too small","1985","indirect migration background","Rural Area","1","","","","1"
"A little too big","1986","direct migration background","Rural Area","1","","","","4"
"A little too big","1986","no migration background","Rural Area","16","","","","4"
"A little too big","1986","no migration background","Urban Area","45","0.0689772348054284","0.0497742794419351","0.0881801901689217","4"
"A little too big","1986","direct migration background","Urban Area","14","","","","4"
"A little too big","1986","indirect migration background","Urban Area","","","","","4"
"A little too big","1986","indirect migration background","Rural Area","","","","","4"
"A little too small","1986","no migration background","Urban Area","105","0.162400132794381","0.134452403880133","0.190347861708629","2"
"A little too small","1986","no migration background","Rural Area","9","","","","2"
"A little too small","1986","direct migration background","Urban Area","61","0.159311534220045","0.120971259241316","0.197651809198774","2"
"A little too small","1986","direct migration background","Rural Area","9","","","","2"
"A little too small","1986","indirect migration background","Urban Area","1","","","","2"
"A little too small","1986","indirect migration background","Rural Area","","","","","2"
"Just right","1986","no migration background","Urban Area","503","0.738416254050736","0.705112665424699","0.771719842676773","3"
"Just right","1986","direct migration background","Urban Area","257","0.758886509738498","0.714072558210161","0.803700461266835","3"
"Just right","1986","no migration background","Rural Area","137","0.795165285970037","0.735541130163166","0.854789441776907","3"
"Just right","1986","indirect migration background","Urban Area","18","","","","3"
"Just right","1986","direct migration background","Rural Area","29","","","","3"
"Just right","1986","indirect migration background","Rural Area","4","","","","3"
"Much too big","1986","no migration background","Urban Area","3","","","","5"
"Much too big","1986","no migration background","Rural Area","","","","","5"
"Much too big","1986","direct migration background","Urban Area","","","","","5"
"Much too big","1986","direct migration background","Rural Area","","","","","5"
"Much too big","1986","indirect migration background","Urban Area","","","","","5"
"Much too big","1986","indirect migration background","Rural Area","","","","","5"
"Much too small","1986","no migration background","Urban Area","13","","","","1"
"Much too small","1986","no migration background","Rural Area","14","","","","1"
"Much too small","1986","direct migration background","Urban Area","18","","","","1"
"Much too small","1986","direct migration background","Rural Area","3","","","","1"
"Much too small","1986","indirect migration background","Urban Area","1","","","","1"
"Much too small","1986","indirect migration background","Rural Area","1","","","","1"
"A little too big","1987","no migration background","Urban Area","36","0.0712386540569307","0.0494627790479039","0.0930145290659576","4"
"A little too big","1987","no migration background","Rural Area","11","","","","4"
"A little too big","1987","direct migration background","Urban Area","10","","","","4"
"A little too big","1987","direct migration background","Rural Area","","","","","4"
"A little too big","1987","indirect migration background","Urban Area","","","","","4"
"A little too big","1987","indirect migration background","Rural Area","","","","","4"
"A little too small","1987","no migration background","Rural Area","23","","","","2"
"A little too small","1987","no migration background","Urban Area","67","0.112661618123863","0.0858947029792635","0.139428533268462","2"
"A little too small","1987","direct migration background","Rural Area","9","","","","2"
"A little too small","1987","direct migration background","Urban Area","61","0.155362853370199","0.114972511001948","0.19575319573845","2"
"A little too small","1987","indirect migration background","Urban Area","3","","","","2"
"A little too small","1987","indirect migration background","Rural Area","1","","","","2"
"Just right","1987","no migration background","Urban Area","415","0.780318571905464","0.745267739243229","0.8153694045677","3"
"Just right","1987","direct migration background","Urban Area","217","0.739034132692495","0.690068321478626","0.787999943906365","3"
"Just right","1987","no migration background","Rural Area","101","0.710188087743594","0.636598482865785","0.783777692621403","3"
"Just right","1987","direct migration background","Rural Area","39","0.845585254822477","0.743361799327041","0.947808710317912","3"
"Just right","1987","indirect migration background","Urban Area","17","","","","3"
"Just right","1987","indirect migration background","Rural Area","3","","","","3"
"Much too big","1987","no migration background","Urban Area","4","","","","5"
"Much too big","1987","no migration background","Rural Area","","","","","5"
"Much too big","1987","direct migration background","Urban Area","3","","","","5"
"Much too big","1987","indirect migration background","Urban Area","","","","","5"
"Much too big","1987","direct migration background","Rural Area","","","","","5"
"Much too big","1987","indirect migration background","Rural Area","","","","","5"
"Much too small","1987","no migration background","Urban Area","14","","","","1"
"Much too small","1987","no migration background","Rural Area","11","","","","1"
"Much too small","1987","direct migration background","Urban Area","18","","","","1"
"Much too small","1987","direct migration background","Rural Area","","","","","1"
"Much too small","1987","indirect migration background","Urban Area","1","","","","1"
"Much too small","1987","indirect migration background","Rural Area","","","","","1"
"A little too big","1988","no migration background","Rural Area","12","","","","4"
"A little too big","1988","no migration background","Urban Area","31","0.0502086232630519","0.0318579539625052","0.0685592925635987","4"
"A little too big","1988","direct migration background","Urban Area","11","","","","4"
"A little too big","1988","direct migration background","Rural Area","3","","","","4"
"A little too big","1988","indirect migration background","Urban Area","","","","","4"
"A little too big","1988","indirect migration background","Rural Area","","","","","4"
"A little too small","1988","no migration background","Rural Area","10","","","","2"
"A little too small","1988","no migration background","Urban Area","89","0.18545487257861","0.152794183718918","0.218115561438301","2"
"A little too small","1988","direct migration background","Urban Area","62","0.210565673265938","0.163396427421563","0.257734919110313","2"
"A little too small","1988","direct migration background","Rural Area","6","","","","2"
