"hlf0071_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Much too small","1984","West Germany","Male","250","0.0278485678762436","0.023683154426265","0.0320139813262221"
"Much too small","1984","West Germany","Female","233","0.0235263354167691","0.0197614571134396","0.0272912137200986"
"Much too small","1984","East Germany","Male","","","",""
"Much too small","1984","East Germany","Female","","","",""
"A little too small","1984","West Germany","Male","995","0.136362504037482","0.127674841351854","0.145050166723109"
"A little too small","1984","West Germany","Female","998","0.12876440341729","0.120444673107642","0.137084133726939"
"A little too small","1984","East Germany","Male","","","",""
"A little too small","1984","East Germany","Female","","","",""
"Just right","1984","West Germany","Male","4387","0.761282269417861","0.750490195338532","0.77207434349719"
"Just right","1984","West Germany","Female","4594","0.76567200212646","0.755150517930416","0.776193486322504"
"Just right","1984","East Germany","Male","","","",""
"Just right","1984","East Germany","Female","","","",""
"A little too big","1984","West Germany","Male","315","0.064339632954619","0.0581282525422846","0.0705510133669533"
"A little too big","1984","West Germany","Female","355","0.0722210473095724","0.0657912440888092","0.0786508505303356"
"A little too big","1984","East Germany","Male","","","",""
"A little too big","1984","East Germany","Female","","","",""
"Much too big","1984","West Germany","Male","47","0.0101670257137949","0.007627412129872","0.0127066392977179"
"Much too big","1984","West Germany","Female","46","0.00981621172990838","0.0073672985008434","0.0122651249589734"
"Much too big","1984","East Germany","Male","","","",""
"Much too big","1984","East Germany","Female","","","",""
"Much too small","1985","West Germany","Male","215","0.0271770535546051","0.0228506573953244","0.0315034497138859"
"Much too small","1985","West Germany","Female","193","0.0224338531159929","0.0185531370124467","0.0263145692195391"
"Much too small","1985","East Germany","Male","","","",""
"Much too small","1985","East Germany","Female","","","",""
"A little too small","1985","West Germany","Male","806","0.122128638092009","0.113416346665121","0.130840929518896"
"A little too small","1985","West Germany","Female","841","0.118041524210007","0.109586237601117","0.126496810818897"
"A little too small","1985","East Germany","Male","","","",""
"A little too small","1985","East Germany","Female","","","",""
"Just right","1985","West Germany","Male","4058","0.771089168950936","0.759910408011011","0.782267929890861"
"Just right","1985","West Germany","Female","4190","0.777408399851731","0.766507411886497","0.788309387816964"
"Just right","1985","East Germany","Male","","","",""
"Just right","1985","East Germany","Female","","","",""
"A little too big","1985","West Germany","Male","310","0.0714906315529904","0.0646353403432194","0.0783459227627614"
"A little too big","1985","West Germany","Female","326","0.0713751343786527","0.0646286039465024","0.0781216648108031"
"A little too big","1985","East Germany","Male","","","",""
"A little too big","1985","East Germany","Female","","","",""
"Much too big","1985","West Germany","Male","37","0.00811450784945951","0.00572741090046601","0.010501604798453"
"Much too big","1985","West Germany","Female","44","0.0107410884436167","0.00803983090489204","0.0134423459823413"
"Much too big","1985","East Germany","Male","","","",""
"Much too big","1985","East Germany","Female","","","",""
"Much too small","1986","West Germany","Male","24","","",""
"Much too small","1986","West Germany","Female","26","","",""
"Much too small","1986","East Germany","Male","","","",""
"Much too small","1986","East Germany","Female","","","",""
"A little too small","1986","West Germany","Male","94","0.141563981620349","0.114212166864051","0.168915796376647"
"A little too small","1986","West Germany","Female","91","0.139734992522493","0.112831635901053","0.166638349143933"
"A little too small","1986","East Germany","Male","","","",""
"A little too small","1986","East Germany","Female","","","",""
"Just right","1986","West Germany","Male","468","0.756158023527967","0.722466836427865","0.789849210628069"
"Just right","1986","West Germany","Female","480","0.746454787644217","0.712697525775411","0.780212049513023"
"Just right","1986","East Germany","Male","","","",""
"Just right","1986","East Germany","Female","","","",""
"A little too big","1986","West Germany","Male","36","0.0680683888263838","0.0483068594033796","0.0878299182493881"
"A little too big","1986","West Germany","Female","40","0.0706854717197412","0.0507977884270949","0.0905731550123875"
"A little too big","1986","East Germany","Male","","","",""
"A little too big","1986","East Germany","Female","","","",""
"Much too big","1986","West Germany","Male","2","","",""
"Much too big","1986","West Germany","Female","1","","",""
"Much too big","1986","East Germany","Male","","","",""
"Much too big","1986","East Germany","Female","","","",""
"Much too small","1987","West Germany","Male","21","","",""
"Much too small","1987","West Germany","Female","23","","",""
"Much too small","1987","East Germany","Male","","","",""
"Much too small","1987","East Germany","Female","","","",""
"A little too small","1987","West Germany","Male","87","0.137667825900028","0.108444409617457","0.1668912421826"
"A little too small","1987","West Germany","Female","77","0.114993750611049","0.0878343335322124","0.142153167689886"
"A little too small","1987","East Germany","Male","","","",""
"A little too small","1987","East Germany","Female","","","",""
"Just right","1987","West Germany","Male","396","0.765226350914179","0.729276499808219","0.80117620202014"
"Just right","1987","West Germany","Female","396","0.766253250008041","0.730222847684121","0.802283652331961"
"Just right","1987","East Germany","Male","","","",""
"Just right","1987","East Germany","Female","","","",""
"A little too big","1987","West Germany","Male","27","","",""
"A little too big","1987","West Germany","Female","30","0.0797411169216843","0.0566786201557541","0.102803613687614"
"A little too big","1987","East Germany","Male","","","",""
"A little too big","1987","East Germany","Female","","","",""
"Much too big","1987","West Germany","Male","3","","",""
"Much too big","1987","West Germany","Female","4","","",""
"Much too big","1987","East Germany","Male","","","",""
"Much too big","1987","East Germany","Female","","","",""
"Much too small","1988","West Germany","Male","20","","",""
"Much too small","1988","West Germany","Female","18","","",""
"Much too small","1988","East Germany","Male","","","",""
"Much too small","1988","East Germany","Female","","","",""
"A little too small","1988","West Germany","Male","80","0.166010617346709","0.133330650083117","0.198690584610302"
"A little too small","1988","West Germany","Female","90","0.175964130144049","0.14326664424043","0.208661616047668"
"A little too small","1988","East Germany","Male","","","",""
"A little too small","1988","East Germany","Female","","","",""
"Just right","1988","West Germany","Male","368","0.729405084307129","0.690385950079265","0.768424218534993"
"Just right","1988","West Germany","Female","383","0.746055556027596","0.708680300411673","0.783430811643519"
