"hlf0071_h","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"1","1984","Full Time","lower secondary degree","67","0.0224709244756898","0.0167453491619831","0.0281964997893966"
"1","1984","Full Time","secondary school degree","15","","",""
"1","1984","Full Time","college entrance qualification","15","","",""
"1","1984","Full Time","Other degree","83","0.0931822361735629","0.0746093305034774","0.111755141843648"
"1","1984","Full Time","no degree/no degree yet","51","0.0799851606191549","0.0581884110246848","0.101781910213625"
"1","1984","Part Time","lower secondary degree","32","0.028547869513514","0.0178043940934684","0.0392913449335596"
"1","1984","Part Time","secondary school degree","7","","",""
"1","1984","Part Time","college entrance qualification","10","","",""
"1","1984","Part Time","Other degree","13","","",""
"1","1984","Part Time","no degree/no degree yet","8","","",""
"1","1984","Not Working","lower secondary degree","60","0.0163587164246123","0.0115060948683301","0.0212113379808944"
"1","1984","Not Working","secondary school degree","14","","",""
"1","1984","Not Working","college entrance qualification","22","","",""
"1","1984","Not Working","Other degree","35","0.117838329750693","0.0825677209668322","0.153108938534553"
"1","1984","Not Working","no degree/no degree yet","47","0.0624202808215587","0.042646890922243","0.0821936707208744"
"2","1984","Full Time","lower secondary degree","411","0.151621478259452","0.137766079940394","0.165476876578511"
"2","1984","Full Time","secondary school degree","153","0.153538344184109","0.130613924029119","0.1764627643391"
"2","1984","Full Time","college entrance qualification","110","0.172947722009805","0.141872383947473","0.204023060072138"
"2","1984","Full Time","Other degree","217","0.221999396499538","0.195446057308467","0.248552735690609"
"2","1984","Full Time","no degree/no degree yet","122","0.191934220139724","0.160290380706884","0.223578059572564"
"2","1984","Part Time","lower secondary degree","133","0.128180971288935","0.106614842643802","0.149747099934069"
"2","1984","Part Time","secondary school degree","61","0.162558906802711","0.12362562058994","0.201492193015482"
"2","1984","Part Time","college entrance qualification","61","0.206462860894198","0.159877046586763","0.253048675201632"
"2","1984","Part Time","Other degree","61","0.284936888309634","0.22058464146926","0.349289135150008"
"2","1984","Part Time","no degree/no degree yet","32","0.206311184556245","0.137539638632627","0.275082730479864"
"2","1984","Not Working","lower secondary degree","257","0.0802379154453429","0.0698456314328304","0.0906301994578553"
"2","1984","Not Working","secondary school degree","96","0.123207921267778","0.0982084009711442","0.148207441564413"
"2","1984","Not Working","college entrance qualification","64","0.131834325117678","0.100005633834627","0.16366301640073"
"2","1984","Not Working","Other degree","74","0.172006410948458","0.130722448065247","0.213290373831668"
"2","1984","Not Working","no degree/no degree yet","120","0.177666594579705","0.146424436598813","0.208908752560597"
"3","1984","Full Time","lower secondary degree","1923","0.753535987110521","0.736887584251603","0.77018438996944"
"3","1984","Full Time","secondary school degree","703","0.739447414986653","0.711535628837265","0.767359201136042"
"3","1984","Full Time","college entrance qualification","407","0.730775426436168","0.694330147858099","0.767220705014237"
"3","1984","Full Time","Other degree","617","0.663747016445697","0.63356226225556","0.693931770635835"
"3","1984","Full Time","no degree/no degree yet","407","0.68794352983463","0.650714424539879","0.725172635129381"
"3","1984","Part Time","lower secondary degree","698","0.771145652604746","0.744044046358702","0.798247258850789"
"3","1984","Part Time","secondary school degree","254","0.744971266058568","0.69897708802077","0.790965444096366"
"3","1984","Part Time","college entrance qualification","201","0.70363610909815","0.651078476430899","0.756193741765401"
"3","1984","Part Time","Other degree","113","0.637881132160649","0.569361875304393","0.706400389016905"
"3","1984","Part Time","no degree/no degree yet","87","0.654460782811046","0.573641915993583","0.735279649628509"
"3","1984","Not Working","lower secondary degree","2115","0.822085095518997","0.807454972084547","0.836715218953446"
"3","1984","Not Working","secondary school degree","499","0.763195905077565","0.730860621713939","0.79553118844119"
"3","1984","Not Working","college entrance qualification","304","0.710610309366892","0.667946413962766","0.753274204771018"
"3","1984","Not Working","Other degree","205","0.634872340266883","0.582202603868622","0.687542076665145"
"3","1984","Not Working","no degree/no degree yet","385","0.681221810322932","0.643132532303601","0.719311088342263"
"4","1984","Full Time","lower secondary degree","150","0.0623189253501037","0.052980333968611","0.0716575167315963"
"4","1984","Full Time","secondary school degree","68","0.0768921162595744","0.0599505552007417","0.0938336773184072"
"4","1984","Full Time","college entrance qualification","30","0.0568599839874264","0.0378324104004481","0.0758875575744046"
"4","1984","Full Time","Other degree","21","","",""
"4","1984","Full Time","no degree/no degree yet","13","","",""
"4","1984","Part Time","lower secondary degree","53","0.0638002881646839","0.0480335152649553","0.0795670610644125"
