"hlf0071_h","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"1","1984","16-34 y.","Male","120","0.0403228071590582","0.0322287026171368","0.0484169117009796"
"1","1984","16-34 y.","Female","141","0.0475212453140337","0.0388900842618204","0.056152406366247"
"1","1984","35-65 y.","Male","128","0.0254911597745317","0.0200447508001328","0.0309375687489307"
"1","1984","35-65 y.","Female","92","0.0184091711363693","0.0136930650012999","0.0231252772714387"
"1","1984","66 and older","Male","2","","",""
"1","1984","66 and older","Female","","","",""
"2","1984","16-34 y.","Male","456","0.172300113118941","0.156761578049973","0.187838648187909"
"2","1984","16-34 y.","Female","531","0.212667417429341","0.196066684759338","0.229268150099344"
"2","1984","35-65 y.","Male","511","0.133639438363403","0.121881282344345","0.145397594382461"
"2","1984","35-65 y.","Female","425","0.111636265427907","0.100587868535116","0.122684662320698"
"2","1984","66 and older","Male","28","","",""
"2","1984","66 and older","Female","42","0.0447763690958445","0.0301782175508343","0.0593745206408548"
"3","1984","16-34 y.","Male","1584","0.731109256238079","0.712865682748646","0.749352829727513"
"3","1984","16-34 y.","Female","1570","0.694225003042097","0.675533304163892","0.712916701920303"
"3","1984","35-65 y.","Male","2376","0.761785903987964","0.747065397430681","0.776506410545246"
"3","1984","35-65 y.","Female","2385","0.782017668354129","0.767532613766824","0.796502722941435"
"3","1984","66 and older","Male","427","0.838959276972441","0.806995762056869","0.870922791888013"
"3","1984","66 and older","Female","639","0.833225799704872","0.806913022419541","0.859538576990202"
"4","1984","16-34 y.","Male","94","0.0475508602739883","0.0387943526680285","0.056307367879948"
"4","1984","16-34 y.","Female","79","0.0382514365210879","0.0304701337673272","0.0460327392748485"
"4","1984","35-65 y.","Male","177","0.0692678680601482","0.0604938035168407","0.0780419326034557"
"4","1984","35-65 y.","Female","196","0.0783964947305396","0.0689662798664908","0.0878267095945884"
"4","1984","66 and older","Male","44","0.0897837614823848","0.0649245457893342","0.114642977175435"
"4","1984","66 and older","Female","80","0.107935335501568","0.0860324721663998","0.129838198836736"
"5","1984","16-34 y.","Male","15","","",""
"5","1984","16-34 y.","Female","13","","",""
"5","1984","35-65 y.","Male","25","","",""
"5","1984","35-65 y.","Female","23","","",""
"5","1984","66 and older","Male","7","","",""
"5","1984","66 and older","Female","10","","",""
"1","1985","16-34 y.","Male","103","0.0357067727487143","0.0277476958298848","0.0436658496675438"
"1","1985","16-34 y.","Female","109","0.0407315495296454","0.0322039108434835","0.0492591882158072"
"1","1985","35-65 y.","Male","110","0.0270149128780946","0.0211060511902501","0.0329237745659391"
"1","1985","35-65 y.","Female","82","0.0195580628126589","0.0144856887283847","0.0246304368969331"
"1","1985","66 and older","Male","2","","",""
"1","1985","66 and older","Female","2","","",""
"2","1985","16-34 y.","Male","366","0.157443612512868","0.141821316790096","0.17306590823564"
"2","1985","16-34 y.","Female","425","0.187125061039221","0.170299440538199","0.203950681540244"
"2","1985","35-65 y.","Male","419","0.118536485191069","0.10675562126052","0.130317349121617"
"2","1985","35-65 y.","Female","380","0.105973916805847","0.0946990348187064","0.117248798792988"
"2","1985","66 and older","Male","21","","",""
"2","1985","66 and older","Female","36","0.0441631705763152","0.0285709784802978","0.0597553626723325"
"3","1985","16-34 y.","Male","1508","0.744735480251135","0.726033866052925","0.763437094449345"
"3","1985","16-34 y.","Female","1434","0.717883935151124","0.698469074819949","0.737298795482299"
"3","1985","35-65 y.","Male","2174","0.770880305919988","0.755563308739221","0.786197303100756"
"3","1985","35-65 y.","Female","2191","0.782166773483556","0.767046865063273","0.797286681903839"
"3","1985","66 and older","Male","376","0.84230118292169","0.808476901050759","0.876125464792621"
"3","1985","66 and older","Female","565","0.853742933601852","0.826926120564383","0.88055974663932"
"4","1985","16-34 y.","Male","98","0.0550152047937846","0.0452352550919978","0.0647951544955714"
"4","1985","16-34 y.","Female","87","0.0495758067805707","0.0402112574621746","0.0589403560989669"
"4","1985","35-65 y.","Male","172","0.0770285450451403","0.0673107232905361","0.0867463667997446"
"4","1985","35-65 y.","Female","187","0.082143942962575","0.072085923333751","0.092201962591399"
"4","1985","66 and older","Male","40","0.0947837502300161","0.0675990983163167","0.121968402143715"
"4","1985","66 and older","Female","52","0.0790378912347976","0.0585628998583631","0.0995128826112321"
"5","1985","16-34 y.","Male","13","","",""
"5","1985","16-34 y.","Female","9","","",""
"5","1985","35-65 y.","Male","17","","",""
"5","1985","35-65 y.","Female","23","","",""
"5","1985","66 and older","Male","7","","",""
"5","1985","66 and older","Female","12","","",""
"1","1986","16-34 y.","Male","13","","",""
"1","1986","16-34 y.","Female","18","","",""
"1","1986","35-65 y.","Male","11","","",""
"1","1986","35-65 y.","Female","7","","",""
"1","1986","66 and older","Male","","","",""
"1","1986","66 and older","Female","1","","",""
"2","1986","16-34 y.","Male","63","0.175238295667121","0.136290193338642","0.214186397995599"
"2","1986","16-34 y.","Female","71","0.183900198216119","0.146672673506317","0.221127722925921"
"2","1986","35-65 y.","Male","30","0.0976833698228059","0.0604319375655416","0.13493480208007"
"2","1986","35-65 y.","Female","19","","",""
"2","1986","66 and older","Male","1","","",""
"2","1986","66 and older","Female","1","","",""
"3","1986","16-34 y.","Male","269","0.723001534764202","0.677154015748159","0.768849053780244"
"3","1986","16-34 y.","Female","305","0.702252720268818","0.658311507217232","0.746193933320405"
"3","1986","35-65 y.","Male","187","0.791882758577549","0.740945255553664","0.842820261601433"
"3","1986","35-65 y.","Female","157","0.80674222119125","0.752155633396675","0.861328808985825"
"3","1986","66 and older","Male","12","","",""
"3","1986","66 and older","Female","18","","",""
"4","1986","16-34 y.","Male","20","","",""
"4","1986","16-34 y.","Female","22","","",""
"4","1986","35-65 y.","Male","15","","",""
"4","1986","35-65 y.","Female","17","","",""
"4","1986","66 and older","Male","1","","",""
"4","1986","66 and older","Female","1","","",""
"5","1986","16-34 y.","Male","1","","",""
"5","1986","16-34 y.","Female","","","",""
"5","1986","35-65 y.","Male","1","","",""
"5","1986","35-65 y.","Female","1","","",""
"5","1986","66 and older","Male","","","",""
"5","1986","66 and older","Female","","","",""
"1","1987","16-34 y.","Male","14","","",""
"1","1987","16-34 y.","Female","15","","",""
"1","1987","35-65 y.","Male","7","","",""
"1","1987","35-65 y.","Female","7","","",""
"1","1987","66 and older","Male","","","",""
"1","1987","66 and older","Female","1","","",""
"2","1987","16-34 y.","Male","50","0.136307974243722","0.0984172504911844","0.17419869799626"
"2","1987","16-34 y.","Female","48","0.115487619351478","0.081211272401451","0.149763966301505"
"2","1987","35-65 y.","Male","37","0.155609562146543","0.106229377229505","0.20498974706358"
"2","1987","35-65 y.","Female","27","","",""
"2","1987","66 and older","Male","","","",""
"2","1987","66 and older","Female","2","","",""
"3","1987","16-34 y.","Male","239","0.782008404477511","0.73641328065548","0.827603528299543"
"3","1987","16-34 y.","Female","254","0.794376531011587","0.751032988784305","0.83772007323887"
"3","1987","35-65 y.","Male","148","0.737810774891423","0.677894771738279","0.797726778044566"
"3","1987","35-65 y.","Female","126","0.723243289277501","0.656767308529113","0.789719270025888"
"3","1987","66 and older","Male","9","","",""
"3","1987","66 and older","Female","16","","",""
"4","1987","16-34 y.","Male","11","","",""
"4","1987","16-34 y.","Female","14","","",""
"4","1987","35-65 y.","Male","13","","",""
"4","1987","35-65 y.","Female","13","","",""
"4","1987","66 and older","Male","3","","",""
"4","1987","66 and older","Female","3","","",""
"5","1987","16-34 y.","Male","1","","",""
"5","1987","16-34 y.","Female","3","","",""
"5","1987","35-65 y.","Male","2","","",""
"5","1987","35-65 y.","Female","1","","",""
"5","1987","66 and older","Male","","","",""
"5","1987","66 and older","Female","","","",""
"1","1988","16-34 y.","Male","17","","",""
"1","1988","16-34 y.","Female","14","","",""
"1","1988","35-65 y.","Male","3","","",""
"1","1988","35-65 y.","Female","4","","",""
"1","1988","66 and older","Male","","","",""
"1","1988","66 and older","Female","","","",""
"2","1988","16-34 y.","Male","50","0.183258152322937","0.139981569679763","0.226534734966111"
"2","1988","16-34 y.","Female","67","0.207809980666169","0.164808548283645","0.250811413048693"
"2","1988","35-65 y.","Male","30","0.157454455612425","0.104392533953709","0.210516377271142"
"2","1988","35-65 y.","Female","22","","",""
"2","1988","66 and older","Male","","","",""
"2","1988","66 and older","Female","1","","",""
"3","1988","16-34 y.","Male","221","0.689577808594136","0.637823451029548","0.741332166158724"
"3","1988","16-34 y.","Female","241","0.709778431689452","0.661676637102766","0.757880226276138"
"3","1988","35-65 y.","Male","139","0.781730376876494","0.72155290382994","0.841907849923048"
"3","1988","35-65 y.","Female","117","0.779674056080181","0.713346831825564","0.846001280334799"
"3","1988","66 and older","Male","8","","",""
"3","1988","66 and older","Female","25","","",""
"4","1988","16-34 y.","Male","18","","",""
"4","1988","16-34 y.","Female","19","","",""
"4","1988","35-65 y.","Male","8","","",""
"4","1988","35-65 y.","Female","7","","",""
"4","1988","66 and older","Male","2","","",""
"4","1988","66 and older","Female","3","","",""
"5","1988","16-34 y.","Male","1","","",""
"5","1988","16-34 y.","Female","1","","",""
"5","1988","35-65 y.","Male","1","","",""
"5","1988","35-65 y.","Female","","","",""
"5","1988","66 and older","Male","","","",""
"5","1988","66 and older","Female","","","",""
"1","1989","16-34 y.","Male","10","","",""
"1","1989","16-34 y.","Female","18","","",""
"1","1989","35-65 y.","Male","8","","",""
"1","1989","35-65 y.","Female","4","","",""
"1","1989","66 and older","Male","","","",""
"1","1989","66 and older","Female","","","",""
"2","1989","16-34 y.","Male","48","0.13358545553959","0.0955296115295546","0.171641299549625"
"2","1989","16-34 y.","Female","58","0.170791334616768","0.129233046829306","0.212349622404229"
"2","1989","35-65 y.","Male","29","","",""
"2","1989","35-65 y.","Female","25","","",""
"2","1989","66 and older","Male","","","",""
"2","1989","66 and older","Female","1","","",""
"3","1989","16-34 y.","Male","230","0.771436287111037","0.724464987532675","0.818407586689398"
"3","1989","16-34 y.","Female","223","0.725565415282605","0.676287704828398","0.774843125736812"
"3","1989","35-65 y.","Male","119","0.701848012278211","0.633682385697164","0.770013638859257"
"3","1989","35-65 y.","Female","106","0.782162841052648","0.715435472934302","0.848890209170994"
"3","1989","66 and older","Male","4","","",""
"3","1989","66 and older","Female","12","","",""
"4","1989","16-34 y.","Male","17","","",""
"4","1989","16-34 y.","Female","15","","",""
"4","1989","35-65 y.","Male","17","","",""
"4","1989","35-65 y.","Female","10","","",""
"4","1989","66 and older","Male","","","",""
"4","1989","66 and older","Female","1","","",""
"5","1989","16-34 y.","Male","2","","",""
"5","1989","16-34 y.","Female","1","","",""
"5","1989","35-65 y.","Male","","","",""
"5","1989","35-65 y.","Female","2","","",""
"5","1989","66 and older","Male","","","",""
