"hlf0071_h","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Much too small","1984","Schleswig-Holstein","Male","7","","",""
"Much too small","1984","Schleswig-Holstein","Female","7","","",""
"Much too small","1984","Hamburg","Male","7","","",""
"Much too small","1984","Hamburg","Female","6","","",""
"Much too small","1984","Lower Saxony","Male","17","","",""
"Much too small","1984","Lower Saxony","Female","17","","",""
"Much too small","1984","Bremen","Male","3","","",""
"Much too small","1984","Bremen","Female","4","","",""
"Much too small","1984","North Rhine-Westphalia","Male","78","0.0326874917309485","0.0240124709098139","0.041362512552083"
"Much too small","1984","North Rhine-Westphalia","Female","66","0.0208562051172962","0.0139693456465589","0.0277430645880335"
"Much too small","1984","Hesse","Male","30","0.0222928342064309","0.010736998390894","0.0338486700219678"
"Much too small","1984","Hesse","Female","30","0.0193744473017073","0.0085247278072523","0.0302241667961623"
"Much too small","1984","Rhineland-Palatinate,Saarland","Male","19","","",""
"Much too small","1984","Rhineland-Palatinate,Saarland","Female","15","","",""
"Much too small","1984","Baden-Württemberg","Male","45","0.0247067656417643","0.0156479985277108","0.0337655327558179"
"Much too small","1984","Baden-Württemberg","Female","44","0.0242166064389373","0.0152853961879849","0.0331478166898897"
"Much too small","1984","Bavaria","Male","36","0.024012705091532","0.0145290952653989","0.033496314917665"
"Much too small","1984","Bavaria","Female","37","0.0238487834881759","0.0148607238394126","0.0328368431369392"
"Much too small","1984","Berlin","Male","8","","",""
"Much too small","1984","Berlin","Female","7","","",""
"Much too small","1984","Brandenburg","Male","","","",""
"Much too small","1984","Brandenburg","Female","","","",""
"Much too small","1984","Mecklenburg-Western Pomerania","Male","","","",""
"Much too small","1984","Mecklenburg-Western Pomerania","Female","","","",""
"Much too small","1984","Saxony","Male","","","",""
"Much too small","1984","Saxony","Female","","","",""
"Much too small","1984","Saxony-Anhalt","Male","","","",""
"Much too small","1984","Saxony-Anhalt","Female","","","",""
"Much too small","1984","Thuringia","Male","","","",""
"Much too small","1984","Thuringia","Female","","","",""
"A little too small","1984","Schleswig-Holstein","Male","31","0.160816938284084","0.108443457504978","0.213190419063189"
"A little too small","1984","Schleswig-Holstein","Female","27","","",""
"A little too small","1984","Hamburg","Male","28","","",""
"A little too small","1984","Hamburg","Female","36","0.219555547673857","0.155213817451909","0.283897277895805"
"A little too small","1984","Lower Saxony","Male","85","0.113476595540346","0.0881610269184626","0.138792164162229"
"A little too small","1984","Lower Saxony","Female","82","0.104430638177158","0.0806069050324771","0.128254371321838"
"A little too small","1984","Bremen","Male","9","","",""
"A little too small","1984","Bremen","Female","10","","",""
"A little too small","1984","North Rhine-Westphalia","Male","275","0.143540708842801","0.126435151402202","0.160646266283401"
"A little too small","1984","North Rhine-Westphalia","Female","267","0.130952985635689","0.114695264251195","0.147210707020183"
"A little too small","1984","Hesse","Male","95","0.101900731492437","0.0782216341575873","0.125579828827287"
"A little too small","1984","Hesse","Female","98","0.108958353758507","0.0844320832357388","0.133484624281276"
"A little too small","1984","Rhineland-Palatinate,Saarland","Male","46","0.0868582758256268","0.0598923226944138","0.11382422895684"
"A little too small","1984","Rhineland-Palatinate,Saarland","Female","52","0.0921190669221724","0.0649426200381684","0.119295513806176"
"A little too small","1984","Baden-Württemberg","Male","190","0.124731460212592","0.10544945464897","0.144013465776214"
"A little too small","1984","Baden-Württemberg","Female","185","0.119767618463059","0.100903116782919","0.138632120143199"
"A little too small","1984","Bavaria","Male","178","0.164541664513101","0.141573230096742","0.18751009892946"
"A little too small","1984","Bavaria","Female","184","0.146520057522373","0.125688608489642","0.167351506555103"
"A little too small","1984","Berlin","Male","58","0.220793196637761","0.163018894620072","0.27856749865545"
"A little too small","1984","Berlin","Female","57","0.197330577424041","0.143883514779351","0.250777640068731"
"A little too small","1984","Brandenburg","Male","","","",""
"A little too small","1984","Brandenburg","Female","","","",""
"A little too small","1984","Mecklenburg-Western Pomerania","Male","","","",""
"A little too small","1984","Mecklenburg-Western Pomerania","Female","","","",""
"A little too small","1984","Saxony","Male","","","",""
"A little too small","1984","Saxony","Female","","","",""
"A little too small","1984","Saxony-Anhalt","Male","","","",""
"A little too small","1984","Saxony-Anhalt","Female","","","",""
"A little too small","1984","Thuringia","Male","","","",""
"A little too small","1984","Thuringia","Female","","","",""
"Just right","1984","Schleswig-Holstein","Male","130","0.690122565308905","0.624193748926319","0.75605138169149"
"Just right","1984","Schleswig-Holstein","Female","137","0.67319199697973","0.607859191217177","0.738524802742284"
"Just right","1984","Hamburg","Male","110","0.738145511581118","0.668253538665342","0.808037484496895"
"Just right","1984","Hamburg","Female","112","0.708438328246573","0.637795875547687","0.779080780945459"
"Just right","1984","Lower Saxony","Male","454","0.777131455554268","0.743914405011185","0.810348506097351"
"Just right","1984","Lower Saxony","Female","482","0.780043850338895","0.747775720256094","0.812311980421697"
"Just right","1984","Bremen","Male","46","0.742235438142106","0.634226358885805","0.850244517398408"
"Just right","1984","Bremen","Female","52","0.771364661310906","0.672275741613433","0.87045358100838"
"Just right","1984","North Rhine-Westphalia","Male","1162","0.748658686784183","0.727496029453721","0.769821344114644"
"Just right","1984","North Rhine-Westphalia","Female","1221","0.76936698161198","0.749066429391675","0.789667533832285"
"Just right","1984","Hesse","Male","469","0.806268285106214","0.775332975241582","0.837203594970846"
"Just right","1984","Hesse","Female","461","0.805191274964635","0.774016309689403","0.836366240239866"
"Just right","1984","Rhineland-Palatinate,Saarland","Male","316","0.78571997075976","0.746431436765339","0.82500850475418"
"Just right","1984","Rhineland-Palatinate,Saarland","Female","317","0.749076594142976","0.708335080221175","0.789818108064778"
"Just right","1984","Baden-Württemberg","Male","847","0.789215042992607","0.765413175928701","0.813016910056513"
"Just right","1984","Baden-Württemberg","Female","857","0.788400899338455","0.764670370083775","0.812131428593134"
"Just right","1984","Bavaria","Male","732","0.748943185344453","0.722080990423089","0.775805380265817"
"Just right","1984","Bavaria","Female","818","0.759141522147908","0.733952191775833","0.784330852519983"
"Just right","1984","Berlin","Male","121","0.677325271661349","0.612207937544809","0.742442605777889"
"Just right","1984","Berlin","Female","137","0.71378722987176","0.653087441104023","0.774487018639498"
"Just right","1984","Brandenburg","Male","","","",""
"Just right","1984","Brandenburg","Female","","","",""
"Just right","1984","Mecklenburg-Western Pomerania","Male","","","",""
"Just right","1984","Mecklenburg-Western Pomerania","Female","","","",""
"Just right","1984","Saxony","Male","","","",""
"Just right","1984","Saxony","Female","","","",""
"Just right","1984","Saxony-Anhalt","Male","","","",""
"Just right","1984","Saxony-Anhalt","Female","","","",""
"Just right","1984","Thuringia","Male","","","",""
"Just right","1984","Thuringia","Female","","","",""
"A little too big","1984","Schleswig-Holstein","Male","18","","",""
"A little too big","1984","Schleswig-Holstein","Female","24","","",""
"A little too big","1984","Hamburg","Male","7","","",""
"A little too big","1984","Hamburg","Female","5","","",""
"A little too big","1984","Lower Saxony","Male","40","0.0729715495454156","0.0522122473679234","0.0937308517229078"
"A little too big","1984","Lower Saxony","Female","43","0.0728490992168424","0.0526033645270191","0.0930948339066658"
"A little too big","1984","Bremen","Male","5","","",""
"A little too big","1984","Bremen","Female","3","","",""
"A little too big","1984","North Rhine-Westphalia","Male","87","0.0655794178391902","0.0535026337407952","0.0776562019375852"
"A little too big","1984","North Rhine-Westphalia","Female","89","0.0699472851999746","0.0576553700854166","0.0822392003145325"
"A little too big","1984","Hesse","Male","30","0.0620405726291662","0.0431587355578602","0.0809224097004722"
"A little too big","1984","Hesse","Female","28","","",""
"A little too big","1984","Rhineland-Palatinate,Saarland","Male","33","0.0851125330476548","0.0583934422031056","0.111831623892204"
"A little too big","1984","Rhineland-Palatinate,Saarland","Female","46","0.122049814608526","0.0912883533393696","0.152811275877682"
"A little too big","1984","Baden-Württemberg","Male","41","0.055369926921904","0.0420236110218731","0.0687162428219349"
"A little too big","1984","Baden-Württemberg","Female","48","0.0619313606795077","0.04792744201911","0.0759352793399054"
"A little too big","1984","Bavaria","Male","46","0.0512996338958723","0.0376332782229097","0.0649659895688348"
"A little too big","1984","Bavaria","Female","60","0.0626713039611558","0.0483937239527995","0.0769488839695121"
"A little too big","1984","Berlin","Male","8","","",""
"A little too big","1984","Berlin","Female","9","","",""
"A little too big","1984","Brandenburg","Male","","","",""
"A little too big","1984","Brandenburg","Female","","","",""
"A little too big","1984","Mecklenburg-Western Pomerania","Male","","","",""
"A little too big","1984","Mecklenburg-Western Pomerania","Female","","","",""
"A little too big","1984","Saxony","Male","","","",""
"A little too big","1984","Saxony","Female","","","",""
"A little too big","1984","Saxony-Anhalt","Male","","","",""
"A little too big","1984","Saxony-Anhalt","Female","","","",""
"A little too big","1984","Thuringia","Male","","","",""
"A little too big","1984","Thuringia","Female","","","",""
"Much too big","1984","Schleswig-Holstein","Male","3","","",""
"Much too big","1984","Schleswig-Holstein","Female","3","","",""
"Much too big","1984","Hamburg","Male","","","",""
"Much too big","1984","Hamburg","Female","","","",""
"Much too big","1984","Lower Saxony","Male","7","","",""
"Much too big","1984","Lower Saxony","Female","9","","",""
"Much too big","1984","Bremen","Male","","","",""
"Much too big","1984","Bremen","Female","","","",""
"Much too big","1984","North Rhine-Westphalia","Male","12","","",""
"Much too big","1984","North Rhine-Westphalia","Female","11","","",""
"Much too big","1984","Hesse","Male","3","","",""
"Much too big","1984","Hesse","Female","3","","",""
"Much too big","1984","Rhineland-Palatinate,Saarland","Male","5","","",""
"Much too big","1984","Rhineland-Palatinate,Saarland","Female","5","","",""
"Much too big","1984","Baden-Württemberg","Male","5","","",""
"Much too big","1984","Baden-Württemberg","Female","4","","",""
"Much too big","1984","Bavaria","Male","9","","",""
"Much too big","1984","Bavaria","Female","8","","",""
"Much too big","1984","Berlin","Male","3","","",""
"Much too big","1984","Berlin","Female","3","","",""
"Much too big","1984","Brandenburg","Male","","","",""
"Much too big","1984","Brandenburg","Female","","","",""
"Much too big","1984","Mecklenburg-Western Pomerania","Male","","","",""
"Much too big","1984","Mecklenburg-Western Pomerania","Female","","","",""
"Much too big","1984","Saxony","Male","","","",""
"Much too big","1984","Saxony","Female","","","",""
"Much too big","1984","Saxony-Anhalt","Male","","","",""
"Much too big","1984","Saxony-Anhalt","Female","","","",""
"Much too big","1984","Thuringia","Male","","","",""
"Much too big","1984","Thuringia","Female","","","",""
"Much too small","1985","Schleswig-Holstein","Male","5","","",""
"Much too small","1985","Schleswig-Holstein","Female","4","","",""
"Much too small","1985","Hamburg","Male","8","","",""
"Much too small","1985","Hamburg","Female","7","","",""
"Much too small","1985","Lower Saxony","Male","14","","",""
"Much too small","1985","Lower Saxony","Female","12","","",""
"Much too small","1985","Bremen","Male","","","",""
"Much too small","1985","Bremen","Female","","","",""
"Much too small","1985","North Rhine-Westphalia","Male","58","0.0285485538805391","0.0200295724845731","0.0370675352765051"
"Much too small","1985","North Rhine-Westphalia","Female","56","0.0230687675135772","0.0154436781932013","0.0306938568339531"
"Much too small","1985","Hesse","Male","33","0.0303958583437526","0.0163148267219726","0.0444768899655327"
"Much too small","1985","Hesse","Female","29","","",""
"Much too small","1985","Rhineland-Palatinate,Saarland","Male","24","","",""
"Much too small","1985","Rhineland-Palatinate,Saarland","Female","21","","",""
"Much too small","1985","Baden-Württemberg","Male","36","0.0236652618801483","0.0143415198642071","0.0329890038960896"
"Much too small","1985","Baden-Württemberg","Female","28","","",""
"Much too small","1985","Bavaria","Male","22","","",""
"Much too small","1985","Bavaria","Female","26","","",""
"Much too small","1985","Berlin","Male","15","","",""
"Much too small","1985","Berlin","Female","10","","",""
"Much too small","1985","Brandenburg","Male","","","",""
"Much too small","1985","Brandenburg","Female","","","",""
"Much too small","1985","Mecklenburg-Western Pomerania","Male","","","",""
"Much too small","1985","Mecklenburg-Western Pomerania","Female","","","",""
"Much too small","1985","Saxony","Male","","","",""
"Much too small","1985","Saxony","Female","","","",""
"Much too small","1985","Saxony-Anhalt","Male","","","",""
"Much too small","1985","Saxony-Anhalt","Female","","","",""
"Much too small","1985","Thuringia","Male","","","",""
"Much too small","1985","Thuringia","Female","","","",""
"A little too small","1985","Schleswig-Holstein","Male","21","","",""
"A little too small","1985","Schleswig-Holstein","Female","20","","",""
"A little too small","1985","Hamburg","Male","32","0.204952799271691","0.137603678356634","0.272301920186749"
"A little too small","1985","Hamburg","Female","35","0.206680339605892","0.139605790010902","0.273754889200881"
"A little too small","1985","Lower Saxony","Male","44","0.0704157394186355","0.0487765892345959","0.092054889602675"
"A little too small","1985","Lower Saxony","Female","50","0.0759493369745055","0.0540859005509592","0.0978127733980518"
"A little too small","1985","Bremen","Male","13","","",""
"A little too small","1985","Bremen","Female","11","","",""
"A little too small","1985","North Rhine-Westphalia","Male","234","0.134911057368392","0.117435170814998","0.152386943921786"
"A little too small","1985","North Rhine-Westphalia","Female","234","0.126973082099926","0.110062039241993","0.143884124957858"
"A little too small","1985","Hesse","Male","107","0.149964792820104","0.120679932980848","0.179249652659361"
"A little too small","1985","Hesse","Female","106","0.130107104537924","0.102293112167442","0.157921096908406"
"A little too small","1985","Rhineland-Palatinate,Saarland","Male","39","0.0827926404552846","0.0551222533232474","0.110463027587322"
"A little too small","1985","Rhineland-Palatinate,Saarland","Female","42","0.0828311443714195","0.0554761098161797","0.110186178926659"
"A little too small","1985","Baden-Württemberg","Male","136","0.103648288578697","0.0849519952243264","0.122344581933067"
"A little too small","1985","Baden-Württemberg","Female","147","0.106699350549657","0.0877899472068748","0.125608753892438"
"A little too small","1985","Bavaria","Male","146","0.135192834499409","0.112976936569256","0.157408732429561"
"A little too small","1985","Bavaria","Female","162","0.135858481441237","0.114536475069401","0.157180487813074"
"A little too small","1985","Berlin","Male","34","0.166516359695148","0.111477585733266","0.22155513365703"
"A little too small","1985","Berlin","Female","34","0.157126375310147","0.105243627752328","0.209009122867967"
"A little too small","1985","Brandenburg","Male","","","",""
"A little too small","1985","Brandenburg","Female","","","",""
"A little too small","1985","Mecklenburg-Western Pomerania","Male","","","",""
"A little too small","1985","Mecklenburg-Western Pomerania","Female","","","",""
"A little too small","1985","Saxony","Male","","","",""
"A little too small","1985","Saxony","Female","","","",""
"A little too small","1985","Saxony-Anhalt","Male","","","",""
"A little too small","1985","Saxony-Anhalt","Female","","","",""
"A little too small","1985","Thuringia","Male","","","",""
"A little too small","1985","Thuringia","Female","","","",""
"Just right","1985","Schleswig-Holstein","Male","126","0.750229581218626","0.68515802047438","0.815301141962871"
"Just right","1985","Schleswig-Holstein","Female","136","0.747903807219016","0.684819924960732","0.8109876894773"
"Just right","1985","Hamburg","Male","90","0.678711687390698","0.600800705882285","0.756622668899112"
"Just right","1985","Hamburg","Female","93","0.715889012842481","0.641183795036728","0.790594230648234"
"Just right","1985","Lower Saxony","Male","433","0.809741667935109","0.776544117859007","0.842939218011212"
"Just right","1985","Lower Saxony","Female","446","0.798132167996406","0.765005366450886","0.831258969541926"
"Just right","1985","Bremen","Male","35","0.717287951980029","0.597180449154914","0.837395454805145"
"Just right","1985","Bremen","Female","46","0.807156830631441","0.708951889487709","0.905361771775173"
"Just right","1985","North Rhine-Westphalia","Male","1095","0.769705148589592","0.74816794202565","0.791242355153534"
"Just right","1985","North Rhine-Westphalia","Female","1116","0.780211164085447","0.759177756545026","0.801244571625868"
"Just right","1985","Hesse","Male","400","0.738744030864965","0.702710224517344","0.774777837212587"
"Just right","1985","Hesse","Female","402","0.782334718913144","0.748217720423478","0.81645171740281"
"Just right","1985","Rhineland-Palatinate,Saarland","Male","293","0.799065469554071","0.758830463298378","0.839300475809765"
"Just right","1985","Rhineland-Palatinate,Saarland","Female","295","0.781694842126495","0.740696489251912","0.822693195001079"
"Just right","1985","Baden-Württemberg","Male","793","0.792560559666428","0.767689338221538","0.817431781111319"
"Just right","1985","Baden-Württemberg","Female","796","0.801359941932796","0.776923085119899","0.825796798745694"
"Just right","1985","Bavaria","Male","674","0.766057434633298","0.738552369054965","0.793562500211632"
"Just right","1985","Bavaria","Female","726","0.75240305724911","0.725544036813401","0.779262077684819"
"Just right","1985","Berlin","Male","119","0.729328874841802","0.663687990219908","0.794969759463696"
"Just right","1985","Berlin","Female","134","0.765811592445117","0.705436076684195","0.826187108206039"
"Just right","1985","Brandenburg","Male","","","",""
