"hlf0071_h","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Much too small","1984","16-34 y.","261","0.0439020651135216","0.0379834340602746","0.0498206961667687"
"Much too small","1984","35-65 y.","220","0.0218604682251673","0.018260471471154","0.0254604649791805"
"Much too small","1984","66 and older","2","","",""
"A little too small","1984","16-34 y.","987","0.19237182755791","0.180984965252763","0.203758689863057"
"A little too small","1984","35-65 y.","936","0.122359169766864","0.114291490132344","0.130426849401383"
"A little too small","1984","66 and older","70","0.0473568748568446","0.03571643328946","0.0589973164242292"
"Just right","1984","16-34 y.","3154","0.712769408926213","0.69969814825453","0.725840669597896"
"Just right","1984","35-65 y.","4761","0.772158032448767","0.761831799178234","0.7824842657193"
"Just right","1984","66 and older","1066","0.835283779993948","0.814955622045626","0.85561193794227"
"A little too big","1984","16-34 y.","173","0.0429269355110188","0.0370714205703256","0.0487824504517121"
"A little too big","1984","35-65 y.","373","0.0739478004072429","0.0675053314057834","0.0803902694087023"
"A little too big","1984","66 and older","124","0.101419990658659","0.0848755161232099","0.117964465194108"
"Much too big","1984","16-34 y.","28","","",""
"Much too big","1984","35-65 y.","48","0.00967452915195889","0.0072647576341661","0.0120843006697517"
"Much too big","1984","66 and older","17","","",""
"Much too small","1985","16-34 y.","212","0.0381782822387919","0.0323495393276294","0.0440070251499544"
"Much too small","1985","35-65 y.","192","0.0231739294119212","0.0192867562469168","0.0270611025769255"
"Much too small","1985","66 and older","4","","",""
"A little too small","1985","16-34 y.","791","0.172042864362328","0.160562869926021","0.183522858798635"
"A little too small","1985","35-65 y.","799","0.112065573608178","0.103915679171419","0.120215468044937"
"A little too small","1985","66 and older","57","0.0430935063839282","0.0311634862648343","0.0550235265030221"
"Just right","1985","16-34 y.","2942","0.73152815753189","0.718048330673732","0.745007984390049"
"Just right","1985","35-65 y.","4365","0.776693904815333","0.765934192386864","0.787453617243801"
"Just right","1985","66 and older","941","0.849611261504191","0.828611309739968","0.870611213268414"
"A little too big","1985","16-34 y.","185","0.0523397578244814","0.0455655018442382","0.0591140138047246"
"A little too big","1985","35-65 y.","359","0.0796634590706802","0.0726678047748604","0.0866591133665001"
"A little too big","1985","66 and older","92","0.084723797883423","0.068363948468715","0.101083647298131"
"Much too big","1985","16-34 y.","22","","",""
"Much too big","1985","35-65 y.","40","0.00840313309388813","0.00604475397425358","0.0107615122135227"
"Much too big","1985","66 and older","19","","",""
"Much too small","1986","16-34 y.","31","0.0412954663225865","0.0273498313804305","0.0552411012647425"
"Much too small","1986","35-65 y.","18","","",""
"Much too small","1986","66 and older","1","","",""
"A little too small","1986","16-34 y.","134","0.18000682342115","0.153079429869489","0.206934216972811"
"A little too small","1986","35-65 y.","49","0.0816761250793325","0.0562304729255204","0.107121777233145"
"A little too small","1986","66 and older","2","","",""
"Just right","1986","16-34 y.","574","0.711578952112787","0.679827050772526","0.743330853453048"
"Just right","1986","35-65 y.","344","0.799006809725293","0.761773298127781","0.836240321322804"
"Just right","1986","66 and older","30","0.868112382256934","0.756012784012549","0.980211980501318"
"A little too big","1986","16-34 y.","42","0.0643635470378957","0.0471639502301291","0.0815631438456623"
"A little too big","1986","35-65 y.","32","0.0827305851373982","0.0571359118667771","0.108325258408019"
"A little too big","1986","66 and older","2","","",""
"Much too big","1986","16-34 y.","1","","",""
"Much too big","1986","35-65 y.","2","","",""
"Much too big","1986","66 and older","","","",""
"Much too small","1987","16-34 y.","29","","",""
"Much too small","1987","35-65 y.","14","","",""
"Much too small","1987","66 and older","1","","",""
"A little too small","1987","16-34 y.","98","0.125064122037508","0.0996145651639673","0.150513678911049"
"A little too small","1987","35-65 y.","64","0.139573216538377","0.104776071999701","0.174370361077053"
"A little too small","1987","66 and older","2","","",""
"Just right","1987","16-34 y.","493","0.78868770401571","0.757279676549487","0.820095731481933"
"Just right","1987","35-65 y.","274","0.730741635318874","0.686201438534882","0.775281832102865"
"Just right","1987","66 and older","25","","",""
"A little too big","1987","16-34 y.","25","","",""
"A little too big","1987","35-65 y.","26","","",""
"A little too big","1987","66 and older","6","","",""
"Much too big","1987","16-34 y.","4","","",""
"Much too big","1987","35-65 y.","3","","",""
"Much too big","1987","66 and older","","","",""
"Much too small","1988","16-34 y.","31","0.0442919698404418","0.0284630653753024","0.0601208743055812"
"Much too small","1988","35-65 y.","7","","",""
"Much too small","1988","66 and older","","","",""
"A little too small","1988","16-34 y.","117","0.196602670319174","0.166026320340547","0.227179020297801"
"A little too small","1988","35-65 y.","52","0.156681472965142","0.117521828715319","0.195841117214964"
"A little too small","1988","66 and older","1","","",""
"Just right","1988","16-34 y.","462","0.700557340328478","0.665319894408926","0.735794786248031"
"Just right","1988","35-65 y.","256","0.780782498534442","0.736213103327774","0.825351893741111"
"Just right","1988","66 and older","33","0.850521100357315","0.738616412591745","0.962425788122884"
"A little too big","1988","16-34 y.","37","0.0558339196959321","0.038169515304585","0.0734983240872791"
"A little too big","1988","35-65 y.","15","","",""
"A little too big","1988","66 and older","5","","",""
"Much too big","1988","16-34 y.","2","","",""
"Much too big","1988","35-65 y.","1","","",""
"Much too big","1988","66 and older","","","",""
"Much too small","1989","16-34 y.","28","","",""
"Much too small","1989","35-65 y.","12","","",""
"Much too small","1989","66 and older","","","",""
"A little too small","1989","16-34 y.","106","0.152553502058068","0.124296887062743","0.180810117053393"
"A little too small","1989","35-65 y.","54","0.118580055574721","0.0831582770494614","0.154001834099981"
"A little too small","1989","66 and older","1","","",""
"Just right","1989","16-34 y.","453","0.748050713318251","0.713933387268587","0.782168039367914"
"Just right","1989","35-65 y.","225","0.738451871377206","0.690300350600393","0.786603392154019"
"Just right","1989","66 and older","16","","",""
"A little too big","1989","16-34 y.","32","0.0597585147953436","0.0411302457881584","0.0783867838025288"
"A little too big","1989","35-65 y.","27","","",""
"A little too big","1989","66 and older","1","","",""
"Much too big","1989","16-34 y.","3","","",""
"Much too big","1989","35-65 y.","2","","",""
"Much too big","1989","66 and older","","","",""
"Much too small","1990","16-34 y.","261","0.113910413532871","0.100800522741018","0.127020304324724"
"Much too small","1990","35-65 y.","127","0.0425860681155775","0.0348111105363508","0.0503610256948042"
"Much too small","1990","66 and older","11","","",""
"A little too small","1990","16-34 y.","626","0.264291022644179","0.246095154678677","0.282486890609682"
"A little too small","1990","35-65 y.","554","0.193404807704511","0.178196677156324","0.208612938252699"
"A little too small","1990","66 and older","48","0.0998307497767927","0.0726423339284796","0.127019165625106"
"Just right","1990","16-34 y.","1301","0.583408609451096","0.563065370260341","0.603751848641851"
"Just right","1990","35-65 y.","1767","0.702627488400072","0.685026892853322","0.720228083946822"
"Just right","1990","66 and older","378","0.812521028329505","0.777122660574372","0.847919396084638"
"A little too big","1990","16-34 y.","56","0.032180929902806","0.0248985232632343","0.0394633365423778"
"A little too big","1990","35-65 y.","122","0.0538596801035593","0.0451675935045626","0.062551766702556"
"A little too big","1990","66 and older","27","","",""
"Much too big","1990","16-34 y.","12","","",""
"Much too big","1990","35-65 y.","21","","",""
"Much too big","1990","66 and older","3","","",""
"Much too small","1991","16-34 y.","347","0.0552995613266454","0.0489981420982748","0.0616009805550161"
"Much too small","1991","35-65 y.","224","0.0204892326488085","0.0171431856569338","0.0238352796406831"
"Much too small","1991","66 and older","7","","",""
"A little too small","1991","16-34 y.","1285","0.241515240469235","0.229715399006471","0.253315081932"
"A little too small","1991","35-65 y.","1212","0.154699936637194","0.146158811191449","0.163241062082939"
"A little too small","1991","66 and older","87","0.0500809704747042","0.0388853287757964","0.061276612173612"
"Just right","1991","16-34 y.","3248","0.65970154553068","0.64663880767927","0.67276428338209"
"Just right","1991","35-65 y.","4976","0.737630616702831","0.727240016703333","0.74802121670233"
"Just right","1991","66 and older","1196","0.832342631581926","0.81316779279891","0.851517470364943"
"A little too big","1991","16-34 y.","162","0.041704416175836","0.0361928980689381","0.047215934282734"
"A little too big","1991","35-65 y.","429","0.0795567210350271","0.0731652395547202","0.085948202515334"
"A little too big","1991","66 and older","153","0.10030112769882","0.0848816087489957","0.115720646648643"
"Much too big","1991","16-34 y.","12","","",""
