"hlf0071_h","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1","1984","lower secondary degree","1-pers.-HH","8","","",""
"1","1984","lower secondary degree","(Married) couple without C. ","10","","",""
"1","1984","lower secondary degree","Single parent ","11","","",""
"1","1984","lower secondary degree","Couple + C. LE 16 ","61","0.0466691191297029","0.0352074972956791","0.0581307409637268"
"1","1984","lower secondary degree","Couple + C. GT 16 ","8","","",""
"1","1984","lower secondary degree","Couple + C. LE and GT 16","49","0.0552616156896341","0.0393786317671052","0.0711445996121629"
"1","1984","secondary school degree","1-pers.-HH","2","","",""
"1","1984","secondary school degree","(Married) couple without C. ","2","","",""
"1","1984","secondary school degree","Single parent ","","","",""
"1","1984","secondary school degree","Couple + C. LE 16 ","17","","",""
"1","1984","secondary school degree","Couple + C. GT 16 ","4","","",""
"1","1984","secondary school degree","Couple + C. LE and GT 16","10","","",""
"1","1984","college entrance qualification","1-pers.-HH","12","","",""
"1","1984","college entrance qualification","(Married) couple without C. ","7","","",""
"1","1984","college entrance qualification","Single parent ","","","",""
"1","1984","college entrance qualification","Couple + C. LE 16 ","13","","",""
"1","1984","college entrance qualification","Couple + C. GT 16 ","7","","",""
"1","1984","college entrance qualification","Couple + C. LE and GT 16","4","","",""
"1","1984","Other degree","1-pers.-HH","13","","",""
"1","1984","Other degree","(Married) couple without C. ","11","","",""
"1","1984","Other degree","Single parent ","6","","",""
"1","1984","Other degree","Couple + C. LE 16 ","59","0.0936994658005915","0.0707243066259477","0.116674624975235"
"1","1984","Other degree","Couple + C. GT 16 ","7","","",""
"1","1984","Other degree","Couple + C. LE and GT 16","27","","",""
"1","1984","no degree/no degree yet","1-pers.-HH","12","","",""
"1","1984","no degree/no degree yet","(Married) couple without C. ","3","","",""
"1","1984","no degree/no degree yet","Single parent ","5","","",""
"1","1984","no degree/no degree yet","Couple + C. LE 16 ","52","0.122864727348117","0.0890472892063555","0.156682165489878"
"1","1984","no degree/no degree yet","Couple + C. GT 16 ","4","","",""
