"hlf0071_h","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Much too small","1984","in school","Male","3","","",""
"Much too small","1984","in school","Female","3","","",""
"Much too small","1984","inadequately","Male","43","0.102933804965576","0.074077909871972","0.13178970005918"
"Much too small","1984","inadequately","Female","50","0.0745648477177593","0.0534042806798906","0.095725414755628"
"Much too small","1984","general elemantary","Male","69","0.0405909862830701","0.0292002935569346","0.0519816790092057"
"Much too small","1984","general elemantary","Female","79","0.0209951584044686","0.0151537386996674","0.0268365781092697"
"Much too small","1984","middle vocational","Male","94","0.0223281029450481","0.0171856248700052","0.027470581020091"
"Much too small","1984","middle vocational","Female","79","0.021578265420677","0.0159342238674424","0.0272223069739117"
"Much too small","1984","vocational + Abi","Male","13","","",""
"Much too small","1984","vocational + Abi","Female","9","","",""
"Much too small","1984","higher vocational","Male","7","","",""
"Much too small","1984","higher vocational","Female","8","","",""
"Much too small","1984","higher education","Male","18","","",""
"Much too small","1984","higher education","Female","5","","",""
"A little too small","1984","in school","Male","13","","",""
"A little too small","1984","in school","Female","20","","",""
"A little too small","1984","inadequately","Male","90","0.152124039400736","0.118019799317176","0.186228279484295"
"A little too small","1984","inadequately","Female","121","0.214754766428873","0.181675086562406","0.247834446295339"
"A little too small","1984","general elemantary","Male","203","0.133162281184428","0.113551587738671","0.152772974630186"
"A little too small","1984","general elemantary","Female","318","0.0994441502033557","0.0872511281314472","0.111637172275264"
"A little too small","1984","middle vocational","Male","502","0.135026964707098","0.12313204521178","0.146921884202417"
"A little too small","1984","middle vocational","Female","407","0.135601910342409","0.122303225486505","0.148900595198312"
"A little too small","1984","vocational + Abi","Male","39","0.154910477275732","0.104126987694904","0.205693966856559"
"A little too small","1984","vocational + Abi","Female","18","","",""
"A little too small","1984","higher vocational","Male","56","0.140430911567529","0.105680957819756","0.175180865315302"
"A little too small","1984","higher vocational","Female","50","0.170328499126645","0.125978838999591","0.214678159253699"
"A little too small","1984","higher education","Male","84","0.138255852117489","0.109034747495328","0.167476956739649"
"A little too small","1984","higher education","Female","58","0.197305069126044","0.148555308207371","0.246054830044718"
"Just right","1984","in school","Male","72","0.753004674225651","0.66628263296872","0.839726715482582"
"Just right","1984","in school","Female","68","0.736109688789047","0.64604860539868","0.826170772179413"
"Just right","1984","inadequately","Male","279","0.675636055380805","0.631181529069573","0.720090581692036"
"Just right","1984","inadequately","Female","403","0.638482984425791","0.599781620296438","0.677184348555145"
"Just right","1984","general elemantary","Male","827","0.764167102023863","0.739663507361572","0.788670696686154"
"Just right","1984","general elemantary","Female","1753","0.792091139563617","0.775556661497911","0.808625617629322"
"Just right","1984","middle vocational","Male","2390","0.776524949657599","0.762025811138477","0.791024088176722"
"Just right","1984","middle vocational","Female","1890","0.763803326306616","0.747304746849652","0.78030190576358"
"Just right","1984","vocational + Abi","Male","127","0.685846265343172","0.620696135157185","0.750996395529158"
"Just right","1984","vocational + Abi","Female","83","0.728380991824145","0.647784796347326","0.808977187300965"
"Just right","1984","higher vocational","Male","279","0.72748071960572","0.682946705797934","0.772014733413505"
"Just right","1984","higher vocational","Female","194","0.708569310692361","0.654958501684889","0.762180119699833"
"Just right","1984","higher education","Male","391","0.740609091144155","0.703503650705269","0.777714531583042"
"Just right","1984","higher education","Female","178","0.716459601040876","0.661247860952016","0.771671341129736"
"A little too big","1984","in school","Male","6","","",""
"A little too big","1984","in school","Female","1","","",""
"A little too big","1984","inadequately","Male","13","","",""
"A little too big","1984","inadequately","Female","17","","",""
"A little too big","1984","general elemantary","Male","46","0.0522893897034819","0.0394401303450244","0.0651386490619393"
"A little too big","1984","general elemantary","Female","150","0.079114008544956","0.0681164560948539","0.090111560995058"
"A little too big","1984","middle vocational","Male","165","0.0589839680628521","0.0507839374423557","0.0671839986833485"
"A little too big","1984","middle vocational","Female","145","0.0673427681244623","0.0576080046379637","0.0770775316109609"
"A little too big","1984","vocational + Abi","Male","15","","",""
"A little too big","1984","vocational + Abi","Female","7","","",""
"A little too big","1984","higher vocational","Male","34","0.091719646543084","0.0628511859900253","0.120588107096143"
"A little too big","1984","higher vocational","Female","22","","",""
