"hlf0071_h","year","e11102","n","percent","lower_confidence","upper_confidence"
"Much too small","1984","Not Employed","180","0.0243146285378689","0.0198914235640897","0.028737833511648"
"Much too small","1984","Employed","303","0.0265299499339532","0.0229078596862965","0.03015204018161"
"A little too small","1984","Not Employed","619","0.0995288576679818","0.0909316432492149","0.108126072086749"
"A little too small","1984","Employed","1374","0.158007447337173","0.149786485008861","0.166228409665486"
"Just right","1984","Not Employed","3533","0.78940591413346","0.777696865168447","0.801114963098472"
"Just right","1984","Employed","5448","0.743421784815229","0.733578109373824","0.753265460256634"
"A little too big","1984","Not Employed","293","0.0773412663063468","0.0696698679228649","0.0850126646898288"
"A little too big","1984","Employed","377","0.0616123421540234","0.0561928978507306","0.0670317864573163"
"Much too big","1984","Not Employed","33","0.00940933335434293","0.00663681204809556","0.0121818546605903"
"Much too big","1984","Employed","60","0.0104284757596208","0.0081388538760376","0.0127180976432039"
"Much too small","1985","Not Employed","134","0.0192799576899427","0.0151277609311867","0.0234321544486988"
"Much too small","1985","Employed","274","0.0288854006811731","0.0249066689694123","0.0328641323929339"
"A little too small","1985","Not Employed","531","0.0910864888883239","0.0823980725834233","0.0997749051932244"
"A little too small","1985","Employed","1116","0.142576854201897","0.134270846464849","0.150882861938944"
"Just right","1985","Not Employed","3257","0.804460326033189","0.792484041094726","0.816436610971653"
"Just right","1985","Employed","4991","0.750923182855753","0.740649299620794","0.761197066090712"
"A little too big","1985","Not Employed","257","0.0737427903907821","0.0658509563158123","0.0816346244657519"
"A little too big","1985","Employed","379","0.069618394977402","0.063572469682661","0.075664320272143"
"Much too big","1985","Not Employed","34","0.0114304369977621","0.00822056735091349","0.0146403066446107"
"Much too big","1985","Employed","47","0.00799616728377521","0.00588040034570257","0.0101119342218479"
"Much too small","1986","Not Employed","17","","",""
"Much too small","1986","Employed","33","0.0284160922564328","0.0177025166460907","0.0391296678667749"
"A little too small","1986","Not Employed","50","0.125439649891855","0.0901292976916281","0.160750002092081"
"A little too small","1986","Employed","135","0.147045685140289","0.124210678970413","0.169880691310165"
"Just right","1986","Not Employed","245","0.738431541530721","0.691578526124007","0.785284556937436"
"Just right","1986","Employed","703","0.756379897474582","0.728701645722753","0.784058149226411"
"A little too big","1986","Not Employed","24","","",""
"A little too big","1986","Employed","52","0.065799138710094","0.049813045476401","0.081785231943787"
"Much too big","1986","Not Employed","2","","",""
"Much too big","1986","Employed","1","","",""
"Much too small","1987","Not Employed","14","","",""
"Much too small","1987","Employed","30","0.0304368803800699","0.0185846676976132","0.0422890930625266"
"A little too small","1987","Not Employed","37","0.117352154385013","0.0780043235524039","0.156699985217621"
"A little too small","1987","Employed","127","0.128336930267581","0.105260880316929","0.151412980218233"
"Just right","1987","Not Employed","188","0.727093353514006","0.672632596589413","0.781554110438599"
"Just right","1987","Employed","604","0.778655756237159","0.750012776943311","0.807298735531006"
"A little too big","1987","Not Employed","14","","",""
"A little too big","1987","Employed","43","0.0609317943547335","0.0444280732519636","0.0774355154575033"
"Much too big","1987","Not Employed","4","","",""
"Much too big","1987","Employed","3","","",""
"Much too small","1988","Not Employed","13","","",""
"Much too small","1988","Employed","25","","",""
"A little too small","1988","Not Employed","48","0.190670011044804","0.141580969815961","0.239759052273647"
"A little too small","1988","Employed","122","0.164954139501608","0.138790683107474","0.191117595895743"
"Just right","1988","Not Employed","176","0.729306293497089","0.67378307951278","0.784829507481397"
"Just right","1988","Employed","575","0.741271153989779","0.71039883024147","0.772143477738087"
"A little too big","1988","Not Employed","8","","",""
"A little too big","1988","Employed","49","0.062365058354625","0.0453181391719865","0.0794119775372636"
"Much too big","1988","Not Employed","1","","",""
"Much too big","1988","Employed","2","","",""
"Much too small","1989","Not Employed","9","","",""
"Much too small","1989","Employed","31","0.0327154150971666","0.0199586328904221","0.0454721973039111"
"A little too small","1989","Not Employed","36","0.119528154244352","0.0759618086155455","0.163094499873158"
"A little too small","1989","Employed","125","0.139574266223974","0.114723077800765","0.164425454647183"
"Just right","1989","Not Employed","157","0.774782690505985","0.718684464593536","0.830880916418435"
"Just right","1989","Employed","537","0.743068439648128","0.711734794175332","0.774402085120923"
"A little too big","1989","Not Employed","10","","",""
"A little too big","1989","Employed","50","0.0772207689476682","0.0580780441099841","0.0963634937853524"
"Much too big","1989","Not Employed","1","","",""
"Much too big","1989","Employed","4","","",""
"Much too small","1990","Not Employed","12","","",""
"Much too small","1990","Employed","44","0.0638132931183175","0.0454961873210081","0.0821303989156269"
"A little too small","1990","Not Employed","33","0.176031237555962","0.122577136524616","0.229485338587307"
"A little too small","1990","Employed","92","0.155309246250232","0.128165638777516","0.182452853722948"
"Just right","1990","Not Employed","140","0.724418402250057","0.661706405455079","0.787130399045034"
"Just right","1990","Employed","513","0.721314759793617","0.687714747700341","0.754914771886894"
"A little too big","1990","Not Employed","10","","",""
"A little too big","1990","Employed","30","0.0530871500896113","0.036284810769895","0.0698894894093276"
"Much too big","1990","Not Employed","","","",""
"Much too big","1990","Employed","5","","",""
"Much too small","1991","Not Employed","109","0.0156489780366188","0.0113433685387054","0.0199545875345321"
"Much too small","1991","Employed","266","0.0303670094381682","0.0260373858398027","0.0346966330365336"
"A little too small","1991","Not Employed","464","0.107619295648216","0.0968685940409502","0.118369997255482"
"A little too small","1991","Employed","1225","0.186721872140678","0.176889403250697","0.196554341030659"
"Just right","1991","Not Employed","2351","0.775272414736036","0.760792299835441","0.78975252963663"
"Just right","1991","Employed","4218","0.712240065875176","0.700817233571158","0.723662898179194"
"A little too big","1991","Not Employed","248","0.0924903335309479","0.0824397690939012","0.102540897967995"
"A little too big","1991","Employed","299","0.0656134772057194","0.0593659918337435","0.0718609625776952"
"Much too big","1991","Not Employed","20","","",""
"Much too big","1991","Employed","26","","",""
"Much too small","1992","Not Employed","154","0.0185377403344859","0.0144627758541471","0.0226127048148247"
"Much too small","1992","Employed","446","0.0364757670690705","0.0325948826849684","0.0403566514531727"
"A little too small","1992","Not Employed","586","0.1015404597507","0.0924155736293553","0.110665345872045"
"A little too small","1992","Employed","1978","0.199415335961315","0.191143915886259","0.207686756036371"
"Just right","1992","Not Employed","3122","0.781079343737734","0.768586837493944","0.793571849981524"
"Just right","1992","Employed","6023","0.694234775855551","0.684697059682381","0.703772492028721"
"A little too big","1992","Not Employed","322","0.0915020298817848","0.0827916725239461","0.100212387239623"
"A little too big","1992","Employed","485","0.0649361596639343","0.0598350918290778","0.0700372274987907"
"Much too big","1992","Not Employed","25","","",""
"Much too big","1992","Employed","32","0.00493796145012931","0.00348686562105065","0.00638905727920798"
"Much too small","1993","Not Employed","144","0.0163793285594824","0.0126164555775581","0.0201422015414068"
"Much too small","1993","Employed","407","0.0349725415142515","0.0310875959159029","0.0388574871126002"
"A little too small","1993","Not Employed","640","0.113693665564849","0.104283056145197","0.1231042749845"
"A little too small","1993","Employed","1864","0.201764925702722","0.193278208155116","0.210251643250328"
"Just right","1993","Not Employed","3218","0.773142574206568","0.760727080842513","0.785558067570623"
"Just right","1993","Employed","5782","0.689471085114816","0.679686091181514","0.699256079048117"
"A little too big","1993","Not Employed","336","0.0872154981015227","0.0788510238363486","0.0955799723666968"
"A little too big","1993","Employed","511","0.0708561639570406","0.0654301388063833","0.0762821891076979"
"Much too big","1993","Not Employed","33","0.00956893356757872","0.0066828986274002","0.0124549685077572"
"Much too big","1993","Employed","26","","",""
"Much too small","1994","Not Employed","134","0.0165216930621896","0.0127861107599869","0.0202572753643923"
"Much too small","1994","Employed","384","0.0336718219052703","0.0297659118040072","0.0375777320065335"
"A little too small","1994","Not Employed","614","0.107049106149516","0.0979885688458199","0.116109643453212"
"A little too small","1994","Employed","1705","0.196558398662243","0.187953424435213","0.205163372889273"
"Just right","1994","Not Employed","3327","0.778353672429301","0.766181519466908","0.790525825391694"
"Just right","1994","Employed","5560","0.683072598667907","0.672997717313607","0.693147480022207"
"A little too big","1994","Not Employed","355","0.0882243643351954","0.0799127209313495","0.0965360077390413"
"A little too big","1994","Employed","507","0.0818600083984418","0.0759236931209254","0.0877963236759582"
"Much too big","1994","Not Employed","43","0.00985116402379805","0.0069568699347108","0.0127454581128853"
"Much too big","1994","Employed","37","0.00483717236613761","0.00333482808584689","0.00633951664642832"
"Much too small","1995","Not Employed","158","0.0192293719522916","0.0153235424468376","0.0231352014577456"
"Much too small","1995","Employed","330","0.0306411414500084","0.0269632381277346","0.0343190447722821"
"A little too small","1995","Not Employed","694","0.113553885667939","0.104530403249884","0.122577368085995"
"A little too small","1995","Employed","1697","0.19028147069999","0.181904811705601","0.198658129694379"
"Just right","1995","Not Employed","3461","0.757385683584173","0.745193997708987","0.769577369459359"
"Just right","1995","Employed","5809","0.689204608036736","0.679327793033416","0.699081423040055"
"A little too big","1995","Not Employed","406","0.101702110241494","0.0931056001347321","0.110298620348256"
"A little too big","1995","Employed","556","0.082432257595013","0.0765631345665456","0.0883013806234804"
"Much too big","1995","Not Employed","30","0.00812894855410149","0.00557511963018259","0.0106827774780204"
"Much too big","1995","Employed","43","0.00744052221825291","0.00560658051281541","0.00927446392369041"
"Much too small","1996","Not Employed","128","0.0149950668344507","0.0114883338237978","0.0185017998451037"
"Much too small","1996","Employed","301","0.025947220817725","0.0225426182253405","0.0293518234101094"
"A little too small","1996","Not Employed","676","0.113334804997759","0.104187971421052","0.122481638574466"
"A little too small","1996","Employed","1656","0.189812948444803","0.181414765648475","0.198211131241132"
"Just right","1996","Not Employed","3357","0.749942325005717","0.737447121815475","0.762437528195958"
"Just right","1996","Employed","5815","0.689803281699556","0.679896992914959","0.699709570484152"
"A little too big","1996","Not Employed","418","0.111924343567569","0.102827377879155","0.121021309255983"
"A little too big","1996","Employed","570","0.0895361589020141","0.0834216675150628","0.0956506502889654"
"Much too big","1996","Not Employed","35","0.00980345959450459","0.00696057205578697","0.0126463471332222"
"Much too big","1996","Employed","34","0.00490039013590182","0.00340491787041393","0.00639586240138972"
"Much too small","1997","Not Employed","115","0.0150782563197431","0.0115998231322984","0.0185566895071879"
"Much too small","1997","Employed","231","0.0216998649444351","0.0185276475146429","0.0248720823742273"
"A little too small","1997","Not Employed","655","0.116832274390523","0.107663521818017","0.126001026963029"
"A little too small","1997","Employed","1596","0.195255927153617","0.186625557827026","0.203886296480208"
"Just right","1997","Not Employed","3494","0.745745796918932","0.733316781690283","0.758174812147581"
"Just right","1997","Employed","5743","0.693883348014857","0.683849094138823","0.703917601890891"
"A little too big","1997","Not Employed","420","0.11265380599263","0.103629231744717","0.121678380240543"
"A little too big","1997","Employed","507","0.0849870051441209","0.0789156132217049","0.0910583970665369"
"Much too big","1997","Not Employed","31","0.00968986637817159","0.00689377250317715","0.012485960253166"
"Much too big","1997","Employed","27","","",""
"Much too small","1998","Not Employed","123","0.0180100006598033","0.0144293534939146","0.0215906478256921"
"Much too small","1998","Employed","256","0.029891215271937","0.0263209603532436","0.0334614701906303"
"A little too small","1998","Not Employed","679","0.107640834208041","0.0992961577435169","0.115985510672564"
"A little too small","1998","Employed","1615","0.184412131742731","0.176281068406525","0.192543195078938"
"Just right","1998","Not Employed","3894","0.739012676612962","0.727188067802834","0.750837285423091"
"Just right","1998","Employed","6175","0.695349679648843","0.685699849473836","0.704999509823849"
"A little too big","1998","Not Employed","545","0.1203762185025","0.111614890075052","0.129137546929949"
"A little too big","1998","Employed","648","0.0843240482515329","0.0784981371998693","0.0901499593031964"
"Much too big","1998","Not Employed","58","0.0149602700166932","0.0116917757986016","0.0182287642347848"
"Much too big","1998","Employed","45","0.00602292508495602","0.00440070738382659","0.00764514278608545"
"Much too small","1999","Not Employed","91","0.0119798557782479","0.00894385954914419","0.0150158520073516"
"Much too small","1999","Employed","208","0.0196942777884868","0.016784587018052","0.0226039685589216"
"A little too small","1999","Not Employed","604","0.104762252319933","0.0962162276985201","0.113308276941345"
"A little too small","1999","Employed","1618","0.187179232031343","0.179011109120197","0.195347354942488"
"Just right","1999","Not Employed","3744","0.761653045361185","0.749763207606795","0.773542883115576"
"Just right","1999","Employed","6313","0.71542126483975","0.705972431634583","0.724870098044917"
"A little too big","1999","Not Employed","462","0.113973438093179","0.105105600541329","0.122841275645029"
"A little too big","1999","Employed","594","0.0728160508897524","0.0673748776792073","0.0782572241002974"
"Much too big","1999","Not Employed","32","0.00763140844745511","0.00520294602478921","0.010059870870121"
"Much too big","1999","Employed","27","","",""
"Much too small","2000","Not Employed","133","0.0131067182149663","0.0107570371677534","0.0154563992621792"
"Much too small","2000","Employed","331","0.0221139923884286","0.0197706538932406","0.0244573308836166"
"A little too small","2000","Not Employed","933","0.095674261042903","0.0895972945668515","0.101751227518955"
"A little too small","2000","Employed","2498","0.171265857639859","0.16526241527473","0.177269300004988"
"Just right","2000","Not Employed","6904","0.769660727970708","0.760961904955062","0.778359550986354"
"Just right","2000","Employed","11127","0.72491892908929","0.717802986977996","0.732034871200585"
"A little too big","2000","Not Employed","931","0.10873983722692","0.102308172116633","0.115171502337207"
"A little too big","2000","Employed","1113","0.0765569742385764","0.0723200103145809","0.080793938162572"
"Much too big","2000","Not Employed","99","0.0128184555445027","0.0104944176729808","0.0151424934160246"
"Much too big","2000","Employed","59","0.00514424664384542","0.00400426388659641","0.00628422940109443"
"Much too small","2001","Not Employed","133","0.013728649624178","0.0111938024316836","0.0162634968166725"
"Much too small","2001","Employed","291","0.0229659790746655","0.0204727960639053","0.0254591620854257"
"A little too small","2001","Not Employed","782","0.0868806685014249","0.0807449558840385","0.0930163811188114"
"A little too small","2001","Employed","2273","0.167851293390414","0.161630874228509","0.17407171255232"
"Just right","2001","Not Employed","6275","0.774474568498003","0.765370384918757","0.783578752077249"
"Just right","2001","Employed","10247","0.728365899923746","0.72096262665515","0.735769173192342"
"A little too big","2001","Not Employed","817","0.11265614249735","0.105768619272881","0.119543665721819"
"A little too big","2001","Employed","992","0.0755835830319324","0.0711840721530676","0.0799830939107972"
"Much too big","2001","Not Employed","88","0.0122599708790436","0.00986276291997986","0.0146571788381073"
"Much too big","2001","Employed","64","0.00523324457924151","0.00403235526376166","0.00643413389472136"
"Much too small","2002","Not Employed","131","0.0139883018896999","0.0114598962416207","0.0165167075377792"
"Much too small","2002","Employed","330","0.0282186841348988","0.0255528526785625","0.0308845155912351"
"A little too small","2002","Not Employed","826","0.0991208926678971","0.0926875145184935","0.105554270817301"
"A little too small","2002","Employed","2484","0.173153918136504","0.167062638537746","0.179245197735262"
"Just right","2002","Not Employed","6157","0.737590686049915","0.728119146987129","0.7470622251127"
