"plh0179","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","16-34 y.","no migration background","37","0.0460090435578729","0.0328247775951535","0.0591933095205924","0"
"0 Completely dissatisfied","1990","16-34 y.","direct migration background","2","","","","0"
"0 Completely dissatisfied","1990","16-34 y.","indirect migration background","","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","no migration background","12","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","direct migration background","","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","indirect migration background","","","","","0"
"0 Completely dissatisfied","1990","66 and older","no migration background","1","","","","0"
"0 Completely dissatisfied","1990","66 and older","direct migration background","","","","","0"
"0 Completely dissatisfied","1990","66 and older","indirect migration background","","","","","0"
"1 on Scale 1 to 10","1990","66 and older","direct migration background","","","","","1"
"1 on Scale 1 to 10","1990","66 and older","no migration background","","","","","1"
"1 on Scale 1 to 10","1990","16-34 y.","no migration background","9","","","","1"
"1 on Scale 1 to 10","1990","16-34 y.","direct migration background","","","","","1"
"1 on Scale 1 to 10","1990","66 and older","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1990","16-34 y.","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1990","35-65 y.","no migration background","3","","","","1"
"1 on Scale 1 to 10","1990","35-65 y.","direct migration background","","","","","1"
"1 on Scale 1 to 10","1990","35-65 y.","indirect migration background","","","","","1"
"10 Completely satisfied","1990","35-65 y.","indirect migration background","","","","","10"
"10 Completely satisfied","1990","16-34 y.","indirect migration background","","","","","10"
"10 Completely satisfied","1990","16-34 y.","no migration background","328","0.338559722865022","0.308779688978205","0.36833975675184","10"
"10 Completely satisfied","1990","16-34 y.","direct migration background","2","","","","10"
"10 Completely satisfied","1990","35-65 y.","no migration background","155","0.314392781548502","0.273158580494532","0.355626982602472","10"
"10 Completely satisfied","1990","35-65 y.","direct migration background","5","","","","10"
"10 Completely satisfied","1990","66 and older","no migration background","1","","","","10"
"10 Completely satisfied","1990","66 and older","direct migration background","","","","","10"
"10 Completely satisfied","1990","66 and older","indirect migration background","","","","","10"
"2 on Scale 1 to 10","1990","16-34 y.","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1990","66 and older","no migration background","","","","","2"
"2 on Scale 1 to 10","1990","66 and older","direct migration background","","","","","2"
"2 on Scale 1 to 10","1990","16-34 y.","no migration background","25","","","","2"
"2 on Scale 1 to 10","1990","16-34 y.","direct migration background","","","","","2"
"2 on Scale 1 to 10","1990","66 and older","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1990","35-65 y.","no migration background","5","","","","2"
"2 on Scale 1 to 10","1990","35-65 y.","direct migration background","1","","","","2"
"2 on Scale 1 to 10","1990","35-65 y.","indirect migration background","","","","","2"
"3 on Scale 1 to 10","1990","35-65 y.","direct migration background","","","","","3"
"3 on Scale 1 to 10","1990","16-34 y.","no migration background","31","0.031382428336873","0.020410532689401","0.042354323984345","3"
"3 on Scale 1 to 10","1990","16-34 y.","direct migration background","1","","","","3"
"3 on Scale 1 to 10","1990","35-65 y.","no migration background","12","","","","3"
"3 on Scale 1 to 10","1990","16-34 y.","indirect migration background","","","","","3"
"3 on Scale 1 to 10","1990","35-65 y.","indirect migration background","","","","","3"
"3 on Scale 1 to 10","1990","66 and older","no migration background","1","","","","3"
"3 on Scale 1 to 10","1990","66 and older","direct migration background","","","","","3"
"3 on Scale 1 to 10","1990","66 and older","indirect migration background","","","","","3"
