"plh0179","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1997","Not Employed","no migration background","14","","","","0"
"0 Completely dissatisfied","1997","Not Employed","direct migration background","11","","","","0"
"0 Completely dissatisfied","1997","Not Employed","indirect migration background","1","","","","0"
"0 Completely dissatisfied","1997","Employed","no migration background","34","0.0189800133453642","0.0128102019906841","0.0251498247000443","0"
"0 Completely dissatisfied","1997","Employed","direct migration background","14","","","","0"
"0 Completely dissatisfied","1997","Employed","indirect migration background","2","","","","0"
"1 on Scale 1 to 10","1997","Not Employed","direct migration background","3","","","","1"
"1 on Scale 1 to 10","1997","Not Employed","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1997","Not Employed","no migration background","7","","","","1"
"1 on Scale 1 to 10","1997","Employed","no migration background","24","","","","1"
"1 on Scale 1 to 10","1997","Employed","direct migration background","4","","","","1"
"1 on Scale 1 to 10","1997","Employed","indirect migration background","2","","","","1"
"10 Completely satisfied","1997","Employed","no migration background","185","0.0918761644378484","0.0788156986299252","0.104936630245772","10"
"10 Completely satisfied","1997","Not Employed","direct migration background","34","0.110259941909074","0.0753934947433271","0.14512638907482","10"
"10 Completely satisfied","1997","Not Employed","indirect migration background","6","","","","10"
"10 Completely satisfied","1997","Not Employed","no migration background","72","0.116270880370809","0.0900247160655158","0.142517044676101","10"
"10 Completely satisfied","1997","Employed","direct migration background","66","0.0990201451492726","0.0746064516299899","0.123433838668555","10"
"10 Completely satisfied","1997","Employed","indirect migration background","11","","","","10"
"2 on Scale 1 to 10","1997","Not Employed","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1997","Employed","no migration background","69","0.0375478723510467","0.0289524556516476","0.0461432890504458","2"
"2 on Scale 1 to 10","1997","Not Employed","no migration background","21","","","","2"
"2 on Scale 1 to 10","1997","Not Employed","direct migration background","7","","","","2"
"2 on Scale 1 to 10","1997","Employed","direct migration background","16","","","","2"
"2 on Scale 1 to 10","1997","Employed","indirect migration background","3","","","","2"
"3 on Scale 1 to 10","1997","Not Employed","direct migration background","12","","","","3"
"3 on Scale 1 to 10","1997","Employed","direct migration background","16","","","","3"
"3 on Scale 1 to 10","1997","Not Employed","indirect migration background","2","","","","3"
"3 on Scale 1 to 10","1997","Not Employed","no migration background","34","0.0576023672227745","0.0385254568604575","0.0766792775850915","3"
"3 on Scale 1 to 10","1997","Employed","no migration background","98","0.0607076718304506","0.049910577952959","0.0715047657079423","3"
"3 on Scale 1 to 10","1997","Employed","indirect migration background","4","","","","3"
"4 on Scale 1 to 10","1997","Not Employed","indirect migration background","3","","","","4"
"4 on Scale 1 to 10","1997","Not Employed","direct migration background","22","","","","4"
"4 on Scale 1 to 10","1997","Not Employed","no migration background","44","0.0899997078736813","0.0665675601939961","0.113431855553367","4"
"4 on Scale 1 to 10","1997","Employed","indirect migration background","1","","","","4"
"4 on Scale 1 to 10","1997","Employed","no migration background","106","0.0606607048802353","0.0498675186046667","0.0714538911558039","4"
