"plh0179","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","1-pers.-HH","West Germany","","","","","0"
"0 Completely dissatisfied","1990","1-pers.-HH","East Germany","","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","West Germany","","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","East Germany","6","","","","0"
"0 Completely dissatisfied","1990","Single parent ","West Germany","","","","","0"
"0 Completely dissatisfied","1990","Single parent ","East Germany","3","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","West Germany","","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","East Germany","37","0.0403113292497243","0.0291031656315677","0.0515194928678808","0"
"0 Completely dissatisfied","1990","Couple + C. GT 16 ","West Germany","","","","","0"
"0 Completely dissatisfied","1990","Couple + C. GT 16 ","East Germany","3","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE and GT 16","West Germany","","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE and GT 16","East Germany","3","","","","0"
"1 on Scale 1 to 10","1990","(Married) couple without C. ","East Germany","","","","","1"
"1 on Scale 1 to 10","1990","Single parent ","East Germany","2","","","","1"
"1 on Scale 1 to 10","1990","1-pers.-HH","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","Single parent ","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE 16 ","East Germany","10","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. GT 16 ","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","1-pers.-HH","East Germany","","","","","1"
"1 on Scale 1 to 10","1990","(Married) couple without C. ","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE 16 ","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. GT 16 ","East Germany","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE and GT 16","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE and GT 16","East Germany","","","","","1"
"10 Completely satisfied","1990","Couple + C. LE 16 ","West Germany","","","","","10"
"10 Completely satisfied","1990","1-pers.-HH","East Germany","3","","","","10"
"10 Completely satisfied","1990","(Married) couple without C. ","West Germany","","","","","10"
"10 Completely satisfied","1990","(Married) couple without C. ","East Germany","4","","","","10"
"10 Completely satisfied","1990","Single parent ","West Germany","","","","","10"
"10 Completely satisfied","1990","Single parent ","East Germany","23","","","","10"
"10 Completely satisfied","1990","1-pers.-HH","West Germany","","","","","10"
"10 Completely satisfied","1990","Couple + C. LE 16 ","East Germany","405","0.339734296174665","0.312745421047808","0.366723171301523","10"
"10 Completely satisfied","1990","Couple + C. GT 16 ","West Germany","","","","","10"
"10 Completely satisfied","1990","Couple + C. GT 16 ","East Germany","5","","","","10"
"10 Completely satisfied","1990","Couple + C. LE and GT 16","West Germany","","","","","10"
"10 Completely satisfied","1990","Couple + C. LE and GT 16","East Germany","29","","","","10"
"2 on Scale 1 to 10","1990","Couple + C. LE 16 ","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","1-pers.-HH","East Germany","","","","","2"
"2 on Scale 1 to 10","1990","(Married) couple without C. ","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. LE 16 ","East Germany","29","","","","2"
"2 on Scale 1 to 10","1990","(Married) couple without C. ","East Germany","","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. GT 16 ","East Germany","","","","","2"
"2 on Scale 1 to 10","1990","1-pers.-HH","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","Single parent ","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","Single parent ","East Germany","1","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. GT 16 ","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. LE and GT 16","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. LE and GT 16","East Germany","","","","","2"
"3 on Scale 1 to 10","1990","Single parent ","East Germany","3","","","","3"
"3 on Scale 1 to 10","1990","Couple + C. LE and GT 16","East Germany","5","","","","3"
"3 on Scale 1 to 10","1990","1-pers.-HH","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","1-pers.-HH","East Germany","","","","","3"
"3 on Scale 1 to 10","1990","(Married) couple without C. ","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","Single parent ","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","Couple + C. LE 16 ","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","(Married) couple without C. ","East Germany","","","","","3"
"3 on Scale 1 to 10","1990","Couple + C. LE 16 ","East Germany","31","0.0249976680825177","0.0161013911314637","0.0338939450335717","3"
"3 on Scale 1 to 10","1990","Couple + C. GT 16 ","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","Couple + C. LE and GT 16","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","Couple + C. GT 16 ","East Germany","3","","","","3"
"4 on Scale 1 to 10","1990","1-pers.-HH","West Germany","","","","","4"
"4 on Scale 1 to 10","1990","1-pers.-HH","East Germany","","","","","4"
"4 on Scale 1 to 10","1990","(Married) couple without C. ","East Germany","1","","","","4"
"4 on Scale 1 to 10","1990","Couple + C. LE 16 ","West Germany","","","","","4"
"4 on Scale 1 to 10","1990","Single parent ","West Germany","","","","","4"
"4 on Scale 1 to 10","1990","(Married) couple without C. ","West Germany","","","","","4"
"4 on Scale 1 to 10","1990","Single parent ","East Germany","2","","","","4"
"4 on Scale 1 to 10","1990","Couple + C. GT 16 ","East Germany","2","","","","4"
"4 on Scale 1 to 10","1990","Couple + C. LE 16 ","East Germany","28","","","","4"
"4 on Scale 1 to 10","1990","Couple + C. GT 16 ","West Germany","","","","","4"
"4 on Scale 1 to 10","1990","Couple + C. LE and GT 16","East Germany","1","","","","4"
"4 on Scale 1 to 10","1990","Couple + C. LE and GT 16","West Germany","","","","","4"
"5 on Scale 1 to 10","1990","1-pers.-HH","East Germany","1","","","","5"
"5 on Scale 1 to 10","1990","(Married) couple without C. ","West Germany","","","","","5"
"5 on Scale 1 to 10","1990","Couple + C. LE 16 ","East Germany","110","0.0886565052528513","0.072458852973318","0.104854157532385","5"
"5 on Scale 1 to 10","1990","(Married) couple without C. ","East Germany","7","","","","5"
"5 on Scale 1 to 10","1990","Couple + C. GT 16 ","West Germany","","","","","5"
"5 on Scale 1 to 10","1990","Couple + C. LE and GT 16","East Germany","12","","","","5"
"5 on Scale 1 to 10","1990","Single parent ","West Germany","","","","","5"
"5 on Scale 1 to 10","1990","Single parent ","East Germany","6","","","","5"
"5 on Scale 1 to 10","1990","Couple + C. LE 16 ","West Germany","","","","","5"
"5 on Scale 1 to 10","1990","Couple + C. GT 16 ","East Germany","10","","","","5"
"5 on Scale 1 to 10","1990","1-pers.-HH","West Germany","","","","","5"
"5 on Scale 1 to 10","1990","Couple + C. LE and GT 16","West Germany","","","","","5"
"6 on Scale 1 to 10","1990","Couple + C. LE and GT 16","East Germany","2","","","","6"
"6 on Scale 1 to 10","1990","1-pers.-HH","East Germany","","","","","6"
"6 on Scale 1 to 10","1990","(Married) couple without C. ","West Germany","","","","","6"
"6 on Scale 1 to 10","1990","(Married) couple without C. ","East Germany","3","","","","6"
"6 on Scale 1 to 10","1990","Couple + C. LE 16 ","East Germany","47","0.0417375336010309","0.0303412998525576","0.0531337673495042","6"
"6 on Scale 1 to 10","1990","Single parent ","West Germany","","","","","6"
"6 on Scale 1 to 10","1990","Single parent ","East Germany","2","","","","6"
"6 on Scale 1 to 10","1990","Couple + C. LE 16 ","West Germany","","","","","6"
"6 on Scale 1 to 10","1990","Couple + C. GT 16 ","West Germany","","","","","6"
"6 on Scale 1 to 10","1990","Couple + C. GT 16 ","East Germany","3","","","","6"
"6 on Scale 1 to 10","1990","1-pers.-HH","West Germany","","","","","6"
"6 on Scale 1 to 10","1990","Couple + C. LE and GT 16","West Germany","","","","","6"
"7 on Scale 1 to 10","1990","Single parent ","East Germany","4","","","","7"
"7 on Scale 1 to 10","1990","Couple + C. LE 16 ","West Germany","","","","","7"
"7 on Scale 1 to 10","1990","1-pers.-HH","West Germany","","","","","7"
"7 on Scale 1 to 10","1990","1-pers.-HH","East Germany","2","","","","7"
"7 on Scale 1 to 10","1990","(Married) couple without C. ","West Germany","","","","","7"
"7 on Scale 1 to 10","1990","(Married) couple without C. ","East Germany","2","","","","7"
"7 on Scale 1 to 10","1990","Single parent ","West Germany","","","","","7"
"7 on Scale 1 to 10","1990","Couple + C. LE 16 ","East Germany","97","0.0810739097496998","0.0655201076664992","0.0966277118329004","7"
"7 on Scale 1 to 10","1990","Couple + C. GT 16 ","West Germany","","","","","7"
"7 on Scale 1 to 10","1990","Couple + C. GT 16 ","East Germany","5","","","","7"
"7 on Scale 1 to 10","1990","Couple + C. LE and GT 16","West Germany","","","","","7"
"7 on Scale 1 to 10","1990","Couple + C. LE and GT 16","East Germany","5","","","","7"
"8 on Scale 1 to 10","1990","1-pers.-HH","East Germany","2","","","","8"
"8 on Scale 1 to 10","1990","(Married) couple without C. ","West Germany","","","","","8"
"8 on Scale 1 to 10","1990","(Married) couple without C. ","East Germany","8","","","","8"
"8 on Scale 1 to 10","1990","Single parent ","West Germany","","","","","8"
"8 on Scale 1 to 10","1990","Couple + C. LE 16 ","West Germany","","","","","8"
