"plh0179","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","1-pers.-HH","Urban Area","","","","","0"
"0 Completely dissatisfied","1990","1-pers.-HH","Rural Area","","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","Urban Area","","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","Rural Area","6","","","","0"
"0 Completely dissatisfied","1990","Single parent ","Urban Area","","","","","0"
"0 Completely dissatisfied","1990","Single parent ","Rural Area","3","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","Urban Area","12","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","Rural Area","25","","","","0"
"0 Completely dissatisfied","1990","Couple + C. GT 16 ","Urban Area","1","","","","0"
"0 Completely dissatisfied","1990","Couple + C. GT 16 ","Rural Area","2","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE and GT 16","Urban Area","2","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE and GT 16","Rural Area","1","","","","0"
"1 on Scale 1 to 10","1990","(Married) couple without C. ","Rural Area","","","","","1"
"1 on Scale 1 to 10","1990","Single parent ","Rural Area","1","","","","1"
"1 on Scale 1 to 10","1990","1-pers.-HH","Urban Area","","","","","1"
"1 on Scale 1 to 10","1990","Single parent ","Urban Area","1","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE 16 ","Rural Area","6","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. GT 16 ","Urban Area","","","","","1"
"1 on Scale 1 to 10","1990","1-pers.-HH","Rural Area","","","","","1"
"1 on Scale 1 to 10","1990","(Married) couple without C. ","Urban Area","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE 16 ","Urban Area","4","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. GT 16 ","Rural Area","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Urban Area","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Rural Area","","","","","1"
"10 Completely satisfied","1990","Couple + C. LE 16 ","Urban Area","122","0.291782604433706","0.247673219430694","0.335891989436718","10"
"10 Completely satisfied","1990","1-pers.-HH","Rural Area","1","","","","10"
"10 Completely satisfied","1990","(Married) couple without C. ","Urban Area","2","","","","10"
"10 Completely satisfied","1990","(Married) couple without C. ","Rural Area","2","","","","10"
"10 Completely satisfied","1990","Single parent ","Urban Area","17","","","","10"
"10 Completely satisfied","1990","Single parent ","Rural Area","6","","","","10"
"10 Completely satisfied","1990","1-pers.-HH","Urban Area","2","","","","10"
"10 Completely satisfied","1990","Couple + C. LE 16 ","Rural Area","273","0.368672901916761","0.333936341636801","0.403409462196721","10"
"10 Completely satisfied","1990","Couple + C. GT 16 ","Urban Area","1","","","","10"
"10 Completely satisfied","1990","Couple + C. GT 16 ","Rural Area","3","","","","10"
