"plh0179","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","in school","","","","","0"
"0 Completely dissatisfied","1990","inadequately","","","","","0"
"0 Completely dissatisfied","1990","general elemantary","7","","","","0"
"0 Completely dissatisfied","1990","middle vocational","36","0.0497576220427525","0.0353500410279484","0.0641652030575566","0"
"0 Completely dissatisfied","1990","vocational + Abi","1","","","","0"
"0 Completely dissatisfied","1990","higher vocational","2","","","","0"
"0 Completely dissatisfied","1990","higher education","6","","","","0"
"1 on Scale 1 to 10","1990","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1990","higher vocational","","","","","1"
"1 on Scale 1 to 10","1990","higher education","3","","","","1"
"1 on Scale 1 to 10","1990","in school","","","","","1"
"1 on Scale 1 to 10","1990","middle vocational","8","","","","1"
"1 on Scale 1 to 10","1990","inadequately","","","","","1"
"1 on Scale 1 to 10","1990","general elemantary","1","","","","1"
"10 Completely satisfied","1990","in school","","","","","10"
"10 Completely satisfied","1990","inadequately","1","","","","10"
"10 Completely satisfied","1990","general elemantary","18","","","","10"
"10 Completely satisfied","1990","middle vocational","305","0.351336437567551","0.319705256178187","0.382967618956915","10"
"10 Completely satisfied","1990","vocational + Abi","11","","","","10"
"10 Completely satisfied","1990","higher vocational","34","0.450452520368974","0.341426485328911","0.559478555409037","10"
"10 Completely satisfied","1990","higher education","122","0.25964944262588","0.218447673547726","0.300851211704033","10"
"2 on Scale 1 to 10","1990","general elemantary","2","","","","2"
"2 on Scale 1 to 10","1990","in school","","","","","2"
"2 on Scale 1 to 10","1990","inadequately","","","","","2"
"2 on Scale 1 to 10","1990","middle vocational","19","","","","2"
"2 on Scale 1 to 10","1990","vocational + Abi","2","","","","2"
"2 on Scale 1 to 10","1990","higher vocational","2","","","","2"
"2 on Scale 1 to 10","1990","higher education","6","","","","2"
"3 on Scale 1 to 10","1990","vocational + Abi","","","","","3"
"3 on Scale 1 to 10","1990","higher vocational","","","","","3"
"3 on Scale 1 to 10","1990","higher education","20","","","","3"
"3 on Scale 1 to 10","1990","in school","","","","","3"
"3 on Scale 1 to 10","1990","inadequately","","","","","3"
"3 on Scale 1 to 10","1990","general elemantary","5","","","","3"
"3 on Scale 1 to 10","1990","middle vocational","20","","","","3"
"4 on Scale 1 to 10","1990","in school","","","","","4"
"4 on Scale 1 to 10","1990","inadequately","","","","","4"
"4 on Scale 1 to 10","1990","general elemantary","2","","","","4"
"4 on Scale 1 to 10","1990","middle vocational","15","","","","4"
"4 on Scale 1 to 10","1990","vocational + Abi","2","","","","4"
"4 on Scale 1 to 10","1990","higher vocational","4","","","","4"
"4 on Scale 1 to 10","1990","higher education","13","","","","4"
"5 on Scale 1 to 10","1990","in school","","","","","5"
"5 on Scale 1 to 10","1990","inadequately","","","","","5"
"5 on Scale 1 to 10","1990","general elemantary","6","","","","5"
"5 on Scale 1 to 10","1990","middle vocational","103","0.111226699479104","0.0903940700156129","0.132059328942595","5"
"5 on Scale 1 to 10","1990","vocational + Abi","4","","","","5"
"5 on Scale 1 to 10","1990","higher vocational","9","","","","5"
"5 on Scale 1 to 10","1990","higher education","34","0.0783232241422613","0.0530745798995572","0.103571868384965","5"
"6 on Scale 1 to 10","1990","vocational + Abi","1","","","","6"
"6 on Scale 1 to 10","1990","higher vocational","2","","","","6"
"6 on Scale 1 to 10","1990","higher education","22","","","","6"
"6 on Scale 1 to 10","1990","middle vocational","34","0.0395723343491053","0.0266550199474688","0.0524896487507419","6"
"6 on Scale 1 to 10","1990","general elemantary","2","","","","6"
"6 on Scale 1 to 10","1990","in school","","","","","6"
"6 on Scale 1 to 10","1990","inadequately","","","","","6"
"7 on Scale 1 to 10","1990","general elemantary","4","","","","7"
"7 on Scale 1 to 10","1990","middle vocational","68","0.0775155368079741","0.0597974031229127","0.0952336704930354","7"
"7 on Scale 1 to 10","1990","vocational + Abi","2","","","","7"
"7 on Scale 1 to 10","1990","higher vocational","4","","","","7"
"7 on Scale 1 to 10","1990","higher education","44","0.106762739605992","0.0777427847327086","0.135782694479275","7"
"7 on Scale 1 to 10","1990","in school","","","","","7"
"7 on Scale 1 to 10","1990","inadequately","","","","","7"
"8 on Scale 1 to 10","1990","general elemantary","7","","","","8"
"8 on Scale 1 to 10","1990","middle vocational","162","0.189426681465414","0.163463327631345","0.215390035299483","8"
"8 on Scale 1 to 10","1990","vocational + Abi","8","","","","8"
"8 on Scale 1 to 10","1990","higher vocational","13","","","","8"
"8 on Scale 1 to 10","1990","higher education","107","0.240001136900162","0.199866754589215","0.280135519211108","8"
"8 on Scale 1 to 10","1990","in school","","","","","8"
"8 on Scale 1 to 10","1990","inadequately","1","","","","8"
"9 on Scale 1 to 10","1990","vocational + Abi","4","","","","9"
"9 on Scale 1 to 10","1990","in school","","","","","9"
"9 on Scale 1 to 10","1990","inadequately","","","","","9"
"9 on Scale 1 to 10","1990","general elemantary","1","","","","9"
"9 on Scale 1 to 10","1990","middle vocational","105","0.113189244138045","0.092196842818396","0.134181645457694","9"
"9 on Scale 1 to 10","1990","higher vocational","10","","","","9"
"9 on Scale 1 to 10","1990","higher education","58","0.134666475339901","0.102587168622931","0.166745782056871","9"
"0 Completely dissatisfied","1991","in school","","","","","0"
