"plj0047","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1992","in school","Urban Area","17","","","","1"
"Big worries","1992","in school","Rural Area","1","","","","1"
"Big worries","1992","inadequately","Urban Area","173","0.408045565022847","0.362886924108675","0.453204205937019","1"
"Big worries","1992","inadequately","Rural Area","22","","","","1"
"Big worries","1992","general elemantary","Urban Area","297","0.44341983951157","0.407182949875173","0.479656729147967","1"
"Big worries","1992","general elemantary","Rural Area","30","0.287328060030593","0.198189760713881","0.376466359347306","1"
"Big worries","1992","middle vocational","Urban Area","213","0.422419369235072","0.381940506830568","0.462898231639576","1"
"Big worries","1992","middle vocational","Rural Area","25","","","","1"
"Big worries","1992","vocational + Abi","Urban Area","33","0.378413281834039","0.273440860855853","0.483385702812226","1"
"Big worries","1992","vocational + Abi","Rural Area","3","","","","1"
"Big worries","1992","higher vocational","Urban Area","10","","","","1"
"Big worries","1992","higher vocational","Rural Area","","","","","1"
"Big worries","1992","higher education","Urban Area","15","","","","1"
"Big worries","1992","higher education","Rural Area","2","","","","1"
"No worries","1992","inadequately","Urban Area","91","0.193243442778052","0.156963547251948","0.229523338304156","3"
"No worries","1992","inadequately","Rural Area","22","","","","3"
"No worries","1992","general elemantary","Urban Area","114","0.150858916872688","0.1247520405615","0.176965793183877","3"
"No worries","1992","general elemantary","Rural Area","26","","","","3"
"No worries","1992","middle vocational","Urban Area","106","0.196828547895851","0.164245008894981","0.22941208689672","3"
"No worries","1992","middle vocational","Rural Area","22","","","","3"
"No worries","1992","vocational + Abi","Urban Area","9","","","","3"
"No worries","1992","vocational + Abi","Rural Area","3","","","","3"
"No worries","1992","higher vocational","Urban Area","1","","","","3"
"No worries","1992","higher vocational","Rural Area","","","","","3"
"No worries","1992","higher education","Urban Area","4","","","","3"
"No worries","1992","higher education","Rural Area","","","","","3"
"No worries","1992","in school","Urban Area","6","","","","3"
"No worries","1992","in school","Rural Area","","","","","3"
"Some worries","1992","inadequately","Urban Area","191","0.398710992199101","0.353721288855807","0.443700695542394","2"
"Some worries","1992","inadequately","Rural Area","18","","","","2"
"Some worries","1992","general elemantary","Urban Area","311","0.405721243615742","0.369904304458807","0.441538182772677","2"
"Some worries","1992","general elemantary","Rural Area","43","0.46446138347678","0.366218591644268","0.562704175309292","2"
"Some worries","1992","middle vocational","Urban Area","253","0.380752082869077","0.340959374620833","0.420544791117322","2"
"Some worries","1992","middle vocational","Rural Area","28","","","","2"
"Some worries","1992","vocational + Abi","Urban Area","40","0.42301605010987","0.316085585478511","0.529946514741229","2"
"Some worries","1992","vocational + Abi","Rural Area","1","","","","2"
"Some worries","1992","higher vocational","Urban Area","6","","","","2"
"Some worries","1992","higher vocational","Rural Area","","","","","2"
"Some worries","1992","higher education","Urban Area","21","","","","2"
"Some worries","1992","higher education","Rural Area","1","","","","2"
"Some worries","1992","in school","Urban Area","17","","","","2"
"Some worries","1992","in school","Rural Area","2","","","","2"
"Big worries","1993","in school","Urban Area","19","","","","1"
"Big worries","1993","in school","Rural Area","2","","","","1"
"Big worries","1993","inadequately","Urban Area","208","0.514115861030037","0.46736251547917","0.560869206580904","1"
"Big worries","1993","inadequately","Rural Area","31","0.52901457865391","0.406723251967287","0.651305905340533","1"
"Big worries","1993","general elemantary","Urban Area","340","0.527418948013977","0.490487566709556","0.564350329318398","1"
"Big worries","1993","general elemantary","Rural Area","46","0.516394180437421","0.414278930142183","0.618509430732658","1"
"Big worries","1993","middle vocational","Urban Area","248","0.452407983794411","0.411330652275054","0.493485315313767","1"
"Big worries","1993","middle vocational","Rural Area","36","0.478166470600078","0.369383445519168","0.586949495680988","1"
"Big worries","1993","vocational + Abi","Urban Area","37","0.402140564805238","0.294016334002688","0.510264795607788","1"
"Big worries","1993","vocational + Abi","Rural Area","5","","","","1"
"Big worries","1993","higher vocational","Urban Area","8","","","","1"
"Big worries","1993","higher vocational","Rural Area","","","","","1"
"Big worries","1993","higher education","Urban Area","15","","","","1"
"Big worries","1993","higher education","Rural Area","3","","","","1"
"No worries","1993","in school","Urban Area","","","","","3"
"No worries","1993","in school","Rural Area","","","","","3"
"No worries","1993","inadequately","Urban Area","54","0.105688082046354","0.0769291106780258","0.134447053414682","3"
"No worries","1993","inadequately","Rural Area","9","","","","3"
