"plj0047","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1992","Not Employed","no migration background","","","","","1"
"Big worries","1992","Not Employed","direct migration background","223","0.44787980011963","0.406283042947783","0.489476557291478","1"
"Big worries","1992","Not Employed","indirect migration background","58","0.50064304986209","0.411919722460302","0.589366377263879","1"
"Big worries","1992","Employed","no migration background","1","","","","1"
"Big worries","1992","Employed","direct migration background","508","0.402776650119807","0.376974619259556","0.428578680980058","1"
"Big worries","1992","Employed","indirect migration background","75","0.455903564275227","0.385999050454807","0.525808078095647","1"
"No worries","1992","Not Employed","indirect migration background","21","","","","3"
"No worries","1992","Employed","indirect migration background","39","0.188551018752824","0.133650577295948","0.243451460209699","3"
"No worries","1992","Not Employed","no migration background","","","","","3"
"No worries","1992","Not Employed","direct migration background","90","0.162637925856316","0.131768434343507","0.193507417369125","3"
"No worries","1992","Employed","no migration background","","","","","3"
"No worries","1992","Employed","direct migration background","268","0.190032286521891","0.169392703991188","0.210671869052594","3"
"Some worries","1992","Employed","no migration background","","","","","2"
"Some worries","1992","Not Employed","indirect migration background","43","0.326469732153567","0.243261135830682","0.409678328476453","2"
"Some worries","1992","Employed","indirect migration background","81","0.355545416971949","0.2883600821178","0.422730751826098","2"
"Some worries","1992","Not Employed","no migration background","","","","","2"
"Some worries","1992","Not Employed","direct migration background","236","0.389482274024054","0.34869216122883","0.430272386819278","2"
"Some worries","1992","Employed","direct migration background","612","0.407191063358302","0.381344080907204","0.4330380458094","2"
"Big worries","1993","Not Employed","no migration background","1","","","","1"
"Big worries","1993","Not Employed","direct migration background","283","0.517224353337898","0.475688526999242","0.558760179676554","1"
"Big worries","1993","Not Employed","indirect migration background","66","0.571489595740244","0.484035453412753","0.658943738067736","1"
"Big worries","1993","Employed","no migration background","","","","","1"
"Big worries","1993","Employed","direct migration background","591","0.481827792111633","0.454613553510293","0.509042030712973","1"
"Big worries","1993","Employed","indirect migration background","97","0.512615466373568","0.447735234710343","0.577495698036794","1"
"No worries","1993","Not Employed","indirect migration background","11","","","","3"
"No worries","1993","Not Employed","direct migration background","61","0.110723441958148","0.0846409605655274","0.136805923350768","3"
"No worries","1993","Employed","indirect migration background","28","","","","3"
"No worries","1993","Not Employed","no migration background","","","","","3"
"No worries","1993","Employed","no migration background","","","","","3"
"No worries","1993","Employed","direct migration background","154","0.110203692465088","0.0931485017763576","0.127258883153818","3"
"Some worries","1993","Employed","no migration background","","","","","2"
"Some worries","1993","Not Employed","indirect migration background","46","0.361867819993587","0.276944719753115","0.446790920234059","2"
"Some worries","1993","Not Employed","no migration background","","","","","2"
"Some worries","1993","Not Employed","direct migration background","212","0.372052204703954","0.331875491357616","0.412228918050292","2"
"Some worries","1993","Employed","indirect migration background","103","0.362836500056679","0.300425434614924","0.425247565498434","2"
"Some worries","1993","Employed","direct migration background","550","0.407968515423279","0.38120156265692","0.434735468189639","2"
"Big worries","1994","Not Employed","no migration background","2","","","","1"
"Big worries","1994","Not Employed","direct migration background","267","0.478974455540449","0.437672975252996","0.520275935827903","1"
"Big worries","1994","Not Employed","indirect migration background","71","0.575686079338484","0.489388359193277","0.661983799483691","1"
"Big worries","1994","Employed","no migration background","","","","","1"
"Big worries","1994","Employed","direct migration background","513","0.473879589428828","0.445510121721782","0.502249057135874","1"
"Big worries","1994","Employed","indirect migration background","113","0.494481608011605","0.430962679364144","0.558000536659066","1"
"No worries","1994","Not Employed","indirect migration background","9","","","","3"
"No worries","1994","Not Employed","direct migration background","66","0.108916659141041","0.0831601944910453","0.134673123791037","3"
"No worries","1994","Employed","indirect migration background","26","","","","3"
"No worries","1994","Not Employed","no migration background","","","","","3"
"No worries","1994","Employed","no migration background","","","","","3"
"No worries","1994","Employed","direct migration background","144","0.105441418445556","0.0879918527077127","0.122890984183398","3"
"Some worries","1994","Employed","no migration background","","","","","2"
"Some worries","1994","Not Employed","indirect migration background","46","0.373903465077773","0.289421654377646","0.458385275777901","2"
"Some worries","1994","Not Employed","direct migration background","229","0.41210888531851","0.371414511466292","0.452803259170727","2"
"Some worries","1994","Not Employed","no migration background","","","","","2"
"Some worries","1994","Employed","indirect migration background","99","0.401679169131418","0.339396627187768","0.463961711075069","2"
"Some worries","1994","Employed","direct migration background","533","0.420678992125616","0.392630490780991","0.448727493470242","2"
"Big worries","1995","Not Employed","no migration background","1","","","","1"
