"plj0047","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","Schleswig-Holstein","Not Employed","3","","",""
"Big worries","1992","Schleswig-Holstein","Employed","3","","",""
"Big worries","1992","Hamburg","Not Employed","6","","",""
"Big worries","1992","Hamburg","Employed","11","","",""
"Big worries","1992","Lower Saxony","Not Employed","30","0.567489131168706","0.42877288177032","0.706205380567092"
"Big worries","1992","Lower Saxony","Employed","33","0.421769543237436","0.312175013122794","0.531364073352078"
"Big worries","1992","Bremen","Not Employed","","","",""
"Big worries","1992","Bremen","Employed","6","","",""
"Big worries","1992","North Rhine-Westphalia","Not Employed","103","0.539391160333889","0.471815080448589","0.606967240219189"
"Big worries","1992","North Rhine-Westphalia","Employed","171","0.445711860624668","0.3977170401679","0.493706681081437"
"Big worries","1992","Hesse","Not Employed","15","","",""
"Big worries","1992","Hesse","Employed","51","0.269341773849902","0.210181494976303","0.328502052723501"
"Big worries","1992","Rhineland-Palatinate,Saarland","Not Employed","12","","",""
"Big worries","1992","Rhineland-Palatinate,Saarland","Employed","23","","",""
"Big worries","1992","Baden-Württemberg","Not Employed","68","0.418471100633454","0.343427712518982","0.493514488747925"
"Big worries","1992","Baden-Württemberg","Employed","175","0.40013776504403","0.355366464847134","0.444909065240926"
"Big worries","1992","Bavaria","Not Employed","23","","",""
"Big worries","1992","Bavaria","Employed","79","0.399966672019824","0.338371802000449","0.461561542039198"
"Big worries","1992","Berlin","Not Employed","21","","",""
"Big worries","1992","Berlin","Employed","32","0.655220774260926","0.52960877713219","0.780832771389662"
"Big worries","1992","Brandenburg","Not Employed","","","",""
"Big worries","1992","Brandenburg","Employed","","","",""
"Big worries","1992","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Big worries","1992","Mecklenburg-Western Pomerania","Employed","","","",""
"Big worries","1992","Saxony","Not Employed","","","",""
"Big worries","1992","Saxony","Employed","","","",""
"Big worries","1992","Saxony-Anhalt","Not Employed","","","",""
"Big worries","1992","Saxony-Anhalt","Employed","","","",""
"Big worries","1992","Thuringia","Not Employed","","","",""
"Big worries","1992","Thuringia","Employed","","","",""
"Some worries","1992","Schleswig-Holstein","Not Employed","3","","",""
"Some worries","1992","Schleswig-Holstein","Employed","11","","",""
"Some worries","1992","Hamburg","Not Employed","6","","",""
"Some worries","1992","Hamburg","Employed","7","","",""
"Some worries","1992","Lower Saxony","Not Employed","13","","",""
"Some worries","1992","Lower Saxony","Employed","34","0.512367470695794","0.401440309481897","0.623294631909691"
"Some worries","1992","Bremen","Not Employed","","","",""
"Some worries","1992","Bremen","Employed","","","",""
"Some worries","1992","North Rhine-Westphalia","Not Employed","76","0.331233324933196","0.26742471671812","0.395041933148273"
"Some worries","1992","North Rhine-Westphalia","Employed","169","0.37812961311639","0.331305477775001","0.42495374845778"
"Some worries","1992","Hesse","Not Employed","37","0.423696088662308","0.314730954890143","0.532661222434474"
"Some worries","1992","Hesse","Employed","103","0.45099560766579","0.384637303149081","0.517353912182499"
"Some worries","1992","Rhineland-Palatinate,Saarland","Not Employed","20","","",""
"Some worries","1992","Rhineland-Palatinate,Saarland","Employed","37","0.463070792462446","0.348685846809103","0.577455738115788"
"Some worries","1992","Baden-Württemberg","Not Employed","69","0.434258647946524","0.358857623424097","0.509659672468951"
"Some worries","1992","Baden-Württemberg","Employed","192","0.357802816743233","0.313997658761109","0.401607974725357"
"Some worries","1992","Bavaria","Not Employed","41","0.415591136432777","0.301756774352827","0.529425498512728"
"Some worries","1992","Bavaria","Employed","119","0.475920556385323","0.413127626321492","0.538713486449154"
"Some worries","1992","Berlin","Not Employed","14","","",""
"Some worries","1992","Berlin","Employed","21","","",""
"Some worries","1992","Brandenburg","Not Employed","","","",""
"Some worries","1992","Brandenburg","Employed","","","",""
"Some worries","1992","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Some worries","1992","Mecklenburg-Western Pomerania","Employed","","","",""
"Some worries","1992","Saxony","Not Employed","","","",""
"Some worries","1992","Saxony","Employed","","","",""
"Some worries","1992","Saxony-Anhalt","Not Employed","","","",""
"Some worries","1992","Saxony-Anhalt","Employed","","","",""
"Some worries","1992","Thuringia","Not Employed","","","",""
"Some worries","1992","Thuringia","Employed","","","",""
"No worries","1992","Schleswig-Holstein","Not Employed","2","","",""
"No worries","1992","Schleswig-Holstein","Employed","5","","",""
"No worries","1992","Hamburg","Not Employed","3","","",""
"No worries","1992","Hamburg","Employed","4","","",""
"No worries","1992","Lower Saxony","Not Employed","6","","",""
"No worries","1992","Lower Saxony","Employed","11","","",""
"No worries","1992","Bremen","Not Employed","","","",""
"No worries","1992","Bremen","Employed","","","",""
"No worries","1992","North Rhine-Westphalia","Not Employed","30","0.129375514732915","0.083874987208898","0.174876042256932"
"No worries","1992","North Rhine-Westphalia","Employed","72","0.176158526258941","0.139373324460656","0.212943728057226"
"No worries","1992","Hesse","Not Employed","27","","",""
"No worries","1992","Hesse","Employed","62","0.279662618484308","0.219806796162186","0.33951844080643"
"No worries","1992","Rhineland-Palatinate,Saarland","Not Employed","5","","",""
"No worries","1992","Rhineland-Palatinate,Saarland","Employed","13","","",""
"No worries","1992","Baden-Württemberg","Not Employed","29","","",""
"No worries","1992","Baden-Württemberg","Employed","93","0.242059418212737","0.202916991408401","0.281201845017073"
"No worries","1992","Bavaria","Not Employed","8","","",""
"No worries","1992","Bavaria","Employed","45","0.124112771594853","0.0826577364035636","0.165567806786143"
"No worries","1992","Berlin","Not Employed","1","","",""
"No worries","1992","Berlin","Employed","2","","",""
"No worries","1992","Brandenburg","Not Employed","","","",""
"No worries","1992","Brandenburg","Employed","","","",""
"No worries","1992","Mecklenburg-Western Pomerania","Not Employed","","","",""
"No worries","1992","Mecklenburg-Western Pomerania","Employed","","","",""
"No worries","1992","Saxony","Not Employed","","","",""
"No worries","1992","Saxony","Employed","","","",""
"No worries","1992","Saxony-Anhalt","Not Employed","","","",""
"No worries","1992","Saxony-Anhalt","Employed","","","",""
"No worries","1992","Thuringia","Not Employed","","","",""
"No worries","1992","Thuringia","Employed","","","",""
"Big worries","1993","Schleswig-Holstein","Not Employed","2","","",""
"Big worries","1993","Schleswig-Holstein","Employed","14","","",""
"Big worries","1993","Hamburg","Not Employed","4","","",""
"Big worries","1993","Hamburg","Employed","7","","",""
"Big worries","1993","Lower Saxony","Not Employed","37","0.716193413680899","0.593654841515583","0.838731985846216"
"Big worries","1993","Lower Saxony","Employed","45","0.606817195361664","0.499106025473688","0.714528365249639"
"Big worries","1993","Bremen","Not Employed","1","","",""
"Big worries","1993","Bremen","Employed","7","","",""
"Big worries","1993","North Rhine-Westphalia","Not Employed","134","0.649340743143337","0.585705135370311","0.712976350916362"
"Big worries","1993","North Rhine-Westphalia","Employed","204","0.541176394752619","0.492586080528937","0.589766708976302"
"Big worries","1993","Hesse","Not Employed","21","","",""
"Big worries","1993","Hesse","Employed","59","0.34585206609249","0.28074107069819","0.41096306148679"
"Big worries","1993","Rhineland-Palatinate,Saarland","Not Employed","9","","",""
"Big worries","1993","Rhineland-Palatinate,Saarland","Employed","18","","",""
"Big worries","1993","Baden-Württemberg","Not Employed","91","0.430489650541821","0.359331641748577","0.501647659335064"
"Big worries","1993","Baden-Württemberg","Employed","195","0.407741784317662","0.362588374813036","0.452895193822288"
"Big worries","1993","Bavaria","Not Employed","35","0.497910226803303","0.379070992285126","0.61674946132148"
"Big worries","1993","Bavaria","Employed","106","0.56370311892692","0.499189495406307","0.628216742447534"
"Big worries","1993","Berlin","Not Employed","16","","",""
"Big worries","1993","Berlin","Employed","33","0.60127633197681","0.462760142806064","0.739792521147555"
"Big worries","1993","Brandenburg","Not Employed","","","",""
"Big worries","1993","Brandenburg","Employed","","","",""
"Big worries","1993","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Big worries","1993","Mecklenburg-Western Pomerania","Employed","","","",""
"Big worries","1993","Saxony","Not Employed","","","",""
"Big worries","1993","Saxony","Employed","","","",""
"Big worries","1993","Saxony-Anhalt","Not Employed","","","",""
"Big worries","1993","Saxony-Anhalt","Employed","","","",""
"Big worries","1993","Thuringia","Not Employed","","","",""
"Big worries","1993","Thuringia","Employed","","","",""
"Some worries","1993","Schleswig-Holstein","Not Employed","3","","",""
"Some worries","1993","Schleswig-Holstein","Employed","6","","",""
