"plj0047","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","16-34 y.","lower secondary degree","191","0.479927586459659","0.432706755065316","0.527148417854002"
"Big worries","1992","16-34 y.","secondary school degree","52","0.532580068079936","0.439341023045539","0.625819113114333"
"Big worries","1992","16-34 y.","college entrance qualification","","","",""
"Big worries","1992","16-34 y.","Other degree","85","0.462721437385592","0.391636635821354","0.533806238949829"
"Big worries","1992","16-34 y.","no degree/no degree yet","60","0.457663347230848","0.376850723417435","0.53847597104426"
"Big worries","1992","35-65 y.","lower secondary degree","","","",""
"Big worries","1992","35-65 y.","secondary school degree","","","",""
"Big worries","1992","35-65 y.","college entrance qualification","","","",""
"Big worries","1992","35-65 y.","Other degree","235","0.382008109107754","0.345885145967523","0.418131072247986"
"Big worries","1992","35-65 y.","no degree/no degree yet","162","0.40001025616672","0.354645711023992","0.445374801309447"
"Big worries","1992","66 and older","lower secondary degree","","","",""
"Big worries","1992","66 and older","secondary school degree","","","",""
"Big worries","1992","66 and older","college entrance qualification","","","",""
"Big worries","1992","66 and older","Other degree","","","",""
"Big worries","1992","66 and older","no degree/no degree yet","","","",""
"Some worries","1992","16-34 y.","lower secondary degree","178","0.391685043774529","0.345548335595413","0.437821751953645"
"Some worries","1992","16-34 y.","secondary school degree","35","0.248641502054828","0.167869255896167","0.329413748213488"
"Some worries","1992","16-34 y.","college entrance qualification","35","0.537450668278466","0.418063123158698","0.656838213398234"
"Some worries","1992","16-34 y.","Other degree","74","0.415223798778618","0.344972694957966","0.485474902599271"
"Some worries","1992","16-34 y.","no degree/no degree yet","58","0.350411788946465","0.273022637491094","0.427800940401836"
"Some worries","1992","35-65 y.","lower secondary degree","","","",""
"Some worries","1992","35-65 y.","secondary school degree","","","",""
"Some worries","1992","35-65 y.","college entrance qualification","","","",""
"Some worries","1992","35-65 y.","Other degree","321","0.407524087817831","0.370992573101394","0.444055602534269"
"Some worries","1992","35-65 y.","no degree/no degree yet","184","0.38841005271949","0.343278062640738","0.433542042798243"
"Some worries","1992","66 and older","lower secondary degree","","","",""
"Some worries","1992","66 and older","secondary school degree","","","",""
"Some worries","1992","66 and older","college entrance qualification","","","",""
"Some worries","1992","66 and older","Other degree","","","",""
"Some worries","1992","66 and older","no degree/no degree yet","","","",""
"No worries","1992","16-34 y.","lower secondary degree","61","0.128387369765812","0.0967691967583432","0.16000554277328"
"No worries","1992","16-34 y.","secondary school degree","","","",""
"No worries","1992","16-34 y.","college entrance qualification","","","",""
"No worries","1992","16-34 y.","Other degree","30","0.12205476383579","0.0753857880698003","0.16872373960178"
"No worries","1992","16-34 y.","no degree/no degree yet","","","",""
"No worries","1992","35-65 y.","lower secondary degree","","","",""
"No worries","1992","35-65 y.","secondary school degree","","","",""
"No worries","1992","35-65 y.","college entrance qualification","","","",""
"No worries","1992","35-65 y.","Other degree","139","0.210467803074414","0.180161466283932","0.240774139864896"
"No worries","1992","35-65 y.","no degree/no degree yet","102","0.21157969111379","0.173759390651111","0.249399991576469"
"No worries","1992","66 and older","lower secondary degree","","","",""
"No worries","1992","66 and older","secondary school degree","","","",""
"No worries","1992","66 and older","college entrance qualification","","","",""
"No worries","1992","66 and older","Other degree","","","",""
"No worries","1992","66 and older","no degree/no degree yet","","","",""
"Big worries","1993","16-34 y.","lower secondary degree","214","0.58274009925473","0.535411806299963","0.630068392209498"
"Big worries","1993","16-34 y.","secondary school degree","58","0.501483150933391","0.412760140492089","0.590206161374693"
"Big worries","1993","16-34 y.","college entrance qualification","42","0.663502120093198","0.555109682125478","0.771894558060918"
"Big worries","1993","16-34 y.","Other degree","92","0.482742569701316","0.411312621644348","0.554172517758285"
"Big worries","1993","16-34 y.","no degree/no degree yet","77","0.514261000629841","0.434543642132676","0.593978359127006"
"Big worries","1993","35-65 y.","lower secondary degree","","","",""
"Big worries","1993","35-65 y.","secondary school degree","","","",""
"Big worries","1993","35-65 y.","college entrance qualification","","","",""
"Big worries","1993","35-65 y.","Other degree","279","0.447920261247603","0.409543396456279","0.486297126038926"
"Big worries","1993","35-65 y.","no degree/no degree yet","200","0.503582136043543","0.455991224712195","0.55117304737489"
"Big worries","1993","66 and older","lower secondary degree","","","",""
"Big worries","1993","66 and older","secondary school degree","","","",""
"Big worries","1993","66 and older","college entrance qualification","","","",""
"Big worries","1993","66 and older","Other degree","","","",""
"Big worries","1993","66 and older","no degree/no degree yet","","","",""
