"plj0047","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","(0) in school","West Germany","18","","",""
"Big worries","1992","(0) in school","East Germany","","","",""
"Big worries","1992","(1a) inadequately completed","West Germany","210","0.392190018369127","0.352248522401029","0.432131514337225"
"Big worries","1992","(1a) inadequately completed","East Germany","","","",""
"Big worries","1992","(1b) general elementary school","West Germany","295","0.418082105028303","0.38294533815806","0.453218871898545"
"Big worries","1992","(1b) general elementary school","East Germany","","","",""
"Big worries","1992","(1c) basic vocational qualification","West Germany","158","0.412400274296072","0.36629917295271","0.458501375639434"
"Big worries","1992","(1c) basic vocational qualification","East Germany","","","",""
"Big worries","1992","(2b) intermediate general qualification","West Germany","35","0.554259090523096","0.436979833641072","0.671538347405121"
"Big worries","1992","(2b) intermediate general qualification","East Germany","","","",""
"Big worries","1992","(2a) intermediate vocational","West Germany","18","","",""
"Big worries","1992","(2a) intermediate vocational","East Germany","","","",""
"Big worries","1992","(2c_gen) general maturity certificate","West Germany","43","0.480148739468653","0.382713770461863","0.577583708475443"
"Big worries","1992","(2c_gen) general maturity certificate","East Germany","","","",""
"Big worries","1992","(2c_voc) vocational maturity certificate","West Germany","40","0.425325527669205","0.325381731367481","0.525269323970928"
"Big worries","1992","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Big worries","1992","(3a) lower tertiary education","West Germany","1","","",""
"Big worries","1992","(3a) lower tertiary education","East Germany","","","",""
"Big worries","1992","(3b) higher tertiary education","West Germany","16","","",""
"Big worries","1992","(3b) higher tertiary education","East Germany","","","",""
"Some worries","1992","(0) in school","West Germany","19","","",""
"Some worries","1992","(0) in school","East Germany","","","",""
"Some worries","1992","(1a) inadequately completed","West Germany","235","0.391856405028078","0.351920945301328","0.431791864754829"
"Some worries","1992","(1a) inadequately completed","East Germany","","","",""
"Some worries","1992","(1b) general elementary school","West Germany","334","0.420011630310018","0.384852311532013","0.455170949088024"
"Some worries","1992","(1b) general elementary school","East Germany","","","",""
"Some worries","1992","(1c) basic vocational qualification","West Germany","188","0.3765153967668","0.331140539431824","0.421890254101776"
"Some worries","1992","(1c) basic vocational qualification","East Germany","","","",""
"Some worries","1992","(2b) intermediate general qualification","West Germany","21","","",""
"Some worries","1992","(2b) intermediate general qualification","East Germany","","","",""
"Some worries","1992","(2a) intermediate vocational","West Germany","12","","",""
"Some worries","1992","(2a) intermediate vocational","East Germany","","","",""
"Some worries","1992","(2c_gen) general maturity certificate","West Germany","49","0.457267250632342","0.360112180962199","0.554422320302486"
"Some worries","1992","(2c_gen) general maturity certificate","East Germany","","","",""
"Some worries","1992","(2c_voc) vocational maturity certificate","West Germany","42","0.379346182335147","0.281255729682767","0.477436634987527"
"Some worries","1992","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Some worries","1992","(3a) lower tertiary education","West Germany","6","","",""
"Some worries","1992","(3a) lower tertiary education","East Germany","","","",""
"Some worries","1992","(3b) higher tertiary education","West Germany","16","","",""
"Some worries","1992","(3b) higher tertiary education","East Germany","","","",""
"No worries","1992","(0) in school","West Germany","6","","",""
"No worries","1992","(0) in school","East Germany","","","",""
"No worries","1992","(1a) inadequately completed","West Germany","129","0.215953576602795","0.182291319364984","0.249615833840606"
"No worries","1992","(1a) inadequately completed","East Germany","","","",""
"No worries","1992","(1b) general elementary school","West Germany","128","0.161906264661679","0.135665391919207","0.188147137404151"
"No worries","1992","(1b) general elementary school","East Germany","","","",""
"No worries","1992","(1c) basic vocational qualification","West Germany","92","0.211084328937128","0.172867528603184","0.249301129271072"
"No worries","1992","(1c) basic vocational qualification","East Germany","","","",""
