"plj0047","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","Schleswig-Holstein","no migration background","","","",""
"Big worries","1992","Schleswig-Holstein","direct migration background","6","","",""
"Big worries","1992","Schleswig-Holstein","indirect migration background","","","",""
"Big worries","1992","Hamburg","no migration background","","","",""
"Big worries","1992","Hamburg","direct migration background","15","","",""
"Big worries","1992","Hamburg","indirect migration background","2","","",""
"Big worries","1992","Lower Saxony","no migration background","","","",""
"Big worries","1992","Lower Saxony","direct migration background","47","0.446110111545681","0.349166285436724","0.543053937654637"
"Big worries","1992","Lower Saxony","indirect migration background","16","","",""
"Big worries","1992","Bremen","no migration background","","","",""
"Big worries","1992","Bremen","direct migration background","4","","",""
"Big worries","1992","Bremen","indirect migration background","2","","",""
"Big worries","1992","North Rhine-Westphalia","no migration background","","","",""
"Big worries","1992","North Rhine-Westphalia","direct migration background","231","0.475970159001322","0.433411481191971","0.518528836810673"
"Big worries","1992","North Rhine-Westphalia","indirect migration background","43","0.483932740352884","0.381815320388757","0.58605016031701"
"Big worries","1992","Hesse","no migration background","","","",""
"Big worries","1992","Hesse","direct migration background","57","0.250978910586998","0.198377974225435","0.303579846948562"
"Big worries","1992","Hesse","indirect migration background","9","","",""
"Big worries","1992","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Big worries","1992","Rhineland-Palatinate,Saarland","direct migration background","31","0.305195387081107","0.213079868023463","0.397310906138752"
"Big worries","1992","Rhineland-Palatinate,Saarland","indirect migration background","4","","",""
"Big worries","1992","Baden-Württemberg","no migration background","1","","",""
"Big worries","1992","Baden-Württemberg","direct migration background","208","0.391507212004119","0.350491878983619","0.432522545024618"
"Big worries","1992","Baden-Württemberg","indirect migration background","34","0.505604218047503","0.396724169909919","0.614484266185088"
"Big worries","1992","Bavaria","no migration background","","","",""
"Big worries","1992","Bavaria","direct migration background","92","0.401687308178808","0.343640148730759","0.459734467626858"
"Big worries","1992","Bavaria","indirect migration background","10","","",""
"Big worries","1992","Berlin","no migration background","","","",""
"Big worries","1992","Berlin","direct migration background","40","0.589693483276201","0.476855833345453","0.702531133206949"
"Big worries","1992","Berlin","indirect migration background","13","","",""
"Big worries","1992","Brandenburg","no migration background","","","",""
"Big worries","1992","Brandenburg","direct migration background","","","",""
"Big worries","1992","Brandenburg","indirect migration background","","","",""
"Big worries","1992","Mecklenburg-Western Pomerania","no migration background","","","",""
"Big worries","1992","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Big worries","1992","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Big worries","1992","Saxony","no migration background","","","",""
"Big worries","1992","Saxony","direct migration background","","","",""
"Big worries","1992","Saxony","indirect migration background","","","",""
"Big worries","1992","Saxony-Anhalt","no migration background","","","",""
"Big worries","1992","Saxony-Anhalt","direct migration background","","","",""
"Big worries","1992","Saxony-Anhalt","indirect migration background","","","",""
"Big worries","1992","Thuringia","no migration background","","","",""
"Big worries","1992","Thuringia","direct migration background","","","",""
"Big worries","1992","Thuringia","indirect migration background","","","",""
"Some worries","1992","Schleswig-Holstein","no migration background","","","",""
"Some worries","1992","Schleswig-Holstein","direct migration background","10","","",""
"Some worries","1992","Schleswig-Holstein","indirect migration background","4","","",""
"Some worries","1992","Hamburg","no migration background","","","",""
"Some worries","1992","Hamburg","direct migration background","12","","",""
"Some worries","1992","Hamburg","indirect migration background","1","","",""
"Some worries","1992","Lower Saxony","no migration background","","","",""
