"plj0047","year","migback","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","no migration background","","","",""
"Big worries","1992","direct migration background","731","0.415972044837029","0.394022163789979","0.43792192588408"
"Big worries","1992","indirect migration background","133","0.473978283821131","0.419011602222093","0.528944965420169"
"Some worries","1992","no migration background","","","",""
"Some worries","1992","direct migration background","848","0.402010173215807","0.380175399262119","0.423844947169496"
"Some worries","1992","indirect migration background","124","0.343798861511963","0.291512410252217","0.396085312771708"
"No worries","1992","no migration background","","","",""
"No worries","1992","direct migration background","358","0.182017781947163","0.164834262413908","0.199201301480419"
"No worries","1992","indirect migration background","60","0.182222854666906","0.139727900282609","0.224717809051204"
"Big worries","1993","no migration background","","","",""
"Big worries","1993","direct migration background","874","0.492501750385421","0.469726348706322","0.51527715206452"
"Big worries","1993","indirect migration background","163","0.534875094638051","0.482694921200171","0.587055268075931"
"Some worries","1993","no migration background","","","",""
"Some worries","1993","direct migration background","762","0.397137824850941","0.374847082804904","0.419428566896978"
"Some worries","1993","indirect migration background","149","0.362470253313948","0.312180333265918","0.412760173361979"
"No worries","1993","no migration background","","","",""
"No worries","1993","direct migration background","215","0.110360424763637","0.0960860001822029","0.124634849345072"
"No worries","1993","indirect migration background","39","0.102654652048001","0.0709031950905664","0.134406109005435"
"Big worries","1994","no migration background","","","",""
"Big worries","1994","direct migration background","780","0.475525851719074","0.452141240747681","0.498910462690467"
"Big worries","1994","indirect migration background","184","0.522937777755572","0.47162684363128","0.574248711879863"
"Some worries","1994","no migration background","","","",""
"Some worries","1994","direct migration background","762","0.417909803819031","0.394814830640396","0.441004776997666"
"Some worries","1994","indirect migration background","145","0.3919458362694","0.341794609591206","0.442097062947594"
"No worries","1994","no migration background","","","",""
"No worries","1994","direct migration background","210","0.106564344461895","0.0921159816322807","0.121012707291509"
"No worries","1994","indirect migration background","35","0.0851163859750278","0.0564490780427559","0.1137836939073"
"Big worries","1995","no migration background","","","",""
"Big worries","1995","direct migration background","659","0.4572641366326","0.432884695846226","0.481643577418974"
"Big worries","1995","indirect migration background","140","0.431732953781129","0.380495834727552","0.482970072834707"
"Some worries","1995","no migration background","","","",""
"Some worries","1995","direct migration background","721","0.406922522141595","0.382881247549381","0.43096379673381"
"Some worries","1995","indirect migration background","178","0.462991853662327","0.411412252631687","0.514571454692968"
"No worries","1995","no migration background","","","",""
"No worries","1995","direct migration background","224","0.135813341225805","0.119047671575123","0.152579010876486"
"No worries","1995","indirect migration background","41","0.105275192556544","0.0735277586002867","0.1370226265128"
"Big worries","1996","no migration background","2721","0.28680648387494","0.277855803721791","0.295757164028088"
"Big worries","1996","direct migration background","937","0.347350567985143","0.328992548552512","0.365708587417773"
"Big worries","1996","indirect migration background","205","0.415826738346689","0.374561452760429","0.45709202393295"
"Some worries","1996","no migration background","5292","0.534340655191905","0.524468746424111","0.5442125639597"
"Some worries","1996","direct migration background","1309","0.497116381695727","0.477838264414525","0.516394498976929"
"Some worries","1996","indirect migration background","276","0.487740372263204","0.445890201995614","0.529590542530794"
"No worries","1996","no migration background","1795","0.178852860933155","0.171268547016686","0.186437174849624"
"No worries","1996","direct migration background","338","0.155533050319131","0.141559572508556","0.169506528129705"
"No worries","1996","indirect migration background","67","0.0964328893901063","0.0717184588091838","0.121147319971029"
"Big worries","1997","no migration background","2834","0.300229572923562","0.291129147480841","0.309329998366284"
"Big worries","1997","direct migration background","880","0.349891812441132","0.331083088936052","0.368700535946212"
"Big worries","1997","indirect migration background","189","0.347593025656175","0.308465103814967","0.386720947497382"
"Some worries","1997","no migration background","5091","0.514817733218872","0.504894884325422","0.524740582112322"
"Some worries","1997","direct migration background","1208","0.469072877888003","0.449392327878786","0.48875342789722"
"Some worries","1997","indirect migration background","285","0.48739300243317","0.44632308139558","0.52846292347076"
"No worries","1997","no migration background","1820","0.184952693857566","0.177244033554158","0.192661354160974"
"No worries","1997","direct migration background","382","0.181035309670865","0.165850342833902","0.196220276507828"
"No worries","1997","indirect migration background","95","0.165013971910655","0.134514528000335","0.195513415820975"
"Big worries","1998","no migration background","3213","0.297965201472078","0.289456402587386","0.306474000356769"
"Big worries","1998","direct migration background","858","0.37169173380696","0.352288956106456","0.391094511507465"
"Big worries","1998","indirect migration background","200","0.34618619296837","0.308055085915109","0.38431730002163"
"Some worries","1998","no migration background","5709","0.51409343177784","0.50479513127197","0.52339173228371"
"Some worries","1998","direct migration background","1138","0.454096206784538","0.43410596426758","0.474086449301497"
"Some worries","1998","indirect migration background","314","0.477102154485411","0.437069755716924","0.517134553253897"
"No worries","1998","no migration background","2177","0.187941366750083","0.180673431498061","0.195209302002104"
"No worries","1998","direct migration background","387","0.174212059408502","0.158983478137217","0.189440640679786"
"No worries","1998","indirect migration background","84","0.17671165254622","0.146140903676284","0.207282401416155"
"Big worries","1999","no migration background","3142","0.295646902445115","0.287071875692317","0.304221929197913"
"Big worries","1999","direct migration background","719","0.323367500901785","0.303887640621023","0.342847361182548"
"Big worries","1999","indirect migration background","223","0.387175627092613","0.34845714514987","0.425894109035357"
"Some worries","1999","no migration background","6157","0.551777011030033","0.542431942996336","0.561122079063731"
"Some worries","1999","direct migration background","1098","0.491447421163303","0.470628046228214","0.512266796098391"
"Some worries","1999","indirect migration background","303","0.481929024556969","0.442211472470567","0.521646576643371"
"No worries","1999","no migration background","1580","0.152576086524852","0.145819191124474","0.159332981925229"
"No worries","1999","direct migration background","398","0.185185077934912","0.169008237304065","0.201361918565759"
"No worries","1999","indirect migration background","82","0.130895348350418","0.104085494581305","0.157705202119531"
"Big worries","2000","no migration background","6216","0.314801308477818","0.308345265275985","0.32125735167965"
"Big worries","2000","direct migration background","1046","0.330051360877248","0.314005299400257","0.346097422354239"
"Big worries","2000","indirect migration background","286","0.362619799044484","0.329714472448762","0.395525125640207"
"Some worries","2000","no migration background","10332","0.509676465925727","0.502727365937514","0.516625565913939"
"Some worries","2000","direct migration background","1554","0.459489151273908","0.442483362838153","0.476494939709662"
"Some worries","2000","indirect migration background","381","0.458357978728347","0.424254417062172","0.492461540394522"
"No worries","2000","no migration background","3332","0.175522225596456","0.170234177020629","0.180810274172283"
"No worries","2000","direct migration background","699","0.210459487848844","0.196549447256178","0.22436952844151"
"No worries","2000","indirect migration background","153","0.179022222227168","0.152782433278032","0.205262011176305"
"Big worries","2001","no migration background","6525","0.349450480869317","0.342510117798355","0.356390843940278"
"Big worries","2001","direct migration background","1014","0.351496875086691","0.334167970840889","0.368825779332494"
"Big worries","2001","indirect migration background","312","0.431685840857307","0.39667818255248","0.466693499162135"
"Some worries","2001","no migration background","8897","0.491294860819588","0.484017844277851","0.498571877361324"
"Some worries","2001","direct migration background","1341","0.45383485000366","0.435764554907113","0.471905145100206"
"Some worries","2001","indirect migration background","326","0.411832599830537","0.377047299553649","0.446617900107424"
"No worries","2001","no migration background","2708","0.159254658311096","0.153928335352172","0.16458098127002"
"No worries","2001","direct migration background","561","0.194668274909649","0.180297197612091","0.209039352207208"
"No worries","2001","indirect migration background","131","0.156481559312156","0.130803405592205","0.182159713032108"
"Big worries","2002","no migration background","5462","0.278709848905978","0.272402377429769","0.285017320382188"
"Big worries","2002","direct migration background","750","0.289997390303062","0.27315100909017","0.306843771515953"
"Big worries","2002","indirect migration background","231","0.30170472967498","0.269451819876028","0.333957639473932"
"Some worries","2002","no migration background","10715","0.545904593187793","0.538900433081486","0.5529087532941"
"Some worries","2002","direct migration background","1452","0.499688411512074","0.481125353296219","0.518251469727928"
