"plj0047","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","no migration background","West Germany","1","","",""
"Big worries","1992","no migration background","East Germany","","","",""
"Big worries","1992","direct migration background","West Germany","731","0.415972044837029","0.394022163789979","0.43792192588408"
"Big worries","1992","direct migration background","East Germany","","","",""
"Big worries","1992","indirect migration background","West Germany","133","0.473978283821131","0.419011602222093","0.528944965420169"
"Big worries","1992","indirect migration background","East Germany","","","",""
"Some worries","1992","no migration background","West Germany","","","",""
"Some worries","1992","no migration background","East Germany","","","",""
"Some worries","1992","direct migration background","West Germany","848","0.402010173215807","0.380175399262119","0.423844947169496"
"Some worries","1992","direct migration background","East Germany","","","",""
"Some worries","1992","indirect migration background","West Germany","124","0.343798861511963","0.291512410252217","0.396085312771708"
"Some worries","1992","indirect migration background","East Germany","","","",""
"No worries","1992","no migration background","West Germany","","","",""
"No worries","1992","no migration background","East Germany","","","",""
"No worries","1992","direct migration background","West Germany","358","0.182017781947163","0.164834262413908","0.199201301480419"
"No worries","1992","direct migration background","East Germany","","","",""
"No worries","1992","indirect migration background","West Germany","60","0.182222854666906","0.139727900282609","0.224717809051204"
"No worries","1992","indirect migration background","East Germany","","","",""
"Big worries","1993","no migration background","West Germany","1","","",""
"Big worries","1993","no migration background","East Germany","","","",""
"Big worries","1993","direct migration background","West Germany","874","0.492501750385421","0.469726348706322","0.51527715206452"
"Big worries","1993","direct migration background","East Germany","","","",""
"Big worries","1993","indirect migration background","West Germany","163","0.534875094638051","0.482694921200171","0.587055268075931"
"Big worries","1993","indirect migration background","East Germany","","","",""
"Some worries","1993","no migration background","West Germany","","","",""
"Some worries","1993","no migration background","East Germany","","","",""
"Some worries","1993","direct migration background","West Germany","762","0.397137824850941","0.374847082804904","0.419428566896978"
"Some worries","1993","direct migration background","East Germany","","","",""
"Some worries","1993","indirect migration background","West Germany","149","0.362470253313948","0.312180333265918","0.412760173361979"
"Some worries","1993","indirect migration background","East Germany","","","",""
"No worries","1993","no migration background","West Germany","","","",""
"No worries","1993","no migration background","East Germany","","","",""
"No worries","1993","direct migration background","West Germany","215","0.110360424763637","0.0960860001822029","0.124634849345072"
"No worries","1993","direct migration background","East Germany","","","",""
"No worries","1993","indirect migration background","West Germany","39","0.102654652048001","0.0709031950905664","0.134406109005435"
"No worries","1993","indirect migration background","East Germany","","","",""
"Big worries","1994","no migration background","West Germany","2","","",""
"Big worries","1994","no migration background","East Germany","","","",""
"Big worries","1994","direct migration background","West Germany","780","0.475525851719074","0.452141240747681","0.498910462690467"
"Big worries","1994","direct migration background","East Germany","","","",""
"Big worries","1994","indirect migration background","West Germany","184","0.522937777755572","0.47162684363128","0.574248711879863"
"Big worries","1994","indirect migration background","East Germany","","","",""
"Some worries","1994","no migration background","West Germany","","","",""
"Some worries","1994","no migration background","East Germany","","","",""
"Some worries","1994","direct migration background","West Germany","762","0.417909803819031","0.394814830640396","0.441004776997666"
"Some worries","1994","direct migration background","East Germany","","","",""
"Some worries","1994","indirect migration background","West Germany","145","0.3919458362694","0.341794609591206","0.442097062947594"
"Some worries","1994","indirect migration background","East Germany","","","",""
"No worries","1994","no migration background","West Germany","","","",""
"No worries","1994","no migration background","East Germany","","","",""
"No worries","1994","direct migration background","West Germany","210","0.106564344461895","0.0921159816322807","0.121012707291509"
"No worries","1994","direct migration background","East Germany","","","",""
"No worries","1994","indirect migration background","West Germany","35","0.0851163859750278","0.0564490780427559","0.1137836939073"
"No worries","1994","indirect migration background","East Germany","","","",""
"Big worries","1995","no migration background","West Germany","1","","",""
"Big worries","1995","no migration background","East Germany","","","",""
"Big worries","1995","direct migration background","West Germany","659","0.4572641366326","0.432884695846226","0.481643577418974"
"Big worries","1995","direct migration background","East Germany","","","",""
"Big worries","1995","indirect migration background","West Germany","140","0.431732953781129","0.380495834727552","0.482970072834707"
"Big worries","1995","indirect migration background","East Germany","","","",""
"Some worries","1995","no migration background","West Germany","1","","",""
"Some worries","1995","no migration background","East Germany","","","",""
"Some worries","1995","direct migration background","West Germany","721","0.406922522141595","0.382881247549381","0.43096379673381"
"Some worries","1995","direct migration background","East Germany","","","",""
"Some worries","1995","indirect migration background","West Germany","178","0.462991853662327","0.411412252631687","0.514571454692968"
"Some worries","1995","indirect migration background","East Germany","","","",""
"No worries","1995","no migration background","West Germany","","","",""
"No worries","1995","no migration background","East Germany","","","",""
"No worries","1995","direct migration background","West Germany","224","0.135813341225805","0.119047671575123","0.152579010876486"
"No worries","1995","direct migration background","East Germany","","","",""
"No worries","1995","indirect migration background","West Germany","41","0.105275192556544","0.0735277586002867","0.1370226265128"
"No worries","1995","indirect migration background","East Germany","","","",""
"Big worries","1996","no migration background","West Germany","1795","0.292503082788797","0.281286736396386","0.303719429181207"
"Big worries","1996","no migration background","East Germany","926","0.266050461654755","0.251387803297481","0.280713120012029"
"Big worries","1996","direct migration background","West Germany","890","0.349547373599866","0.330650901868099","0.368443845331633"
"Big worries","1996","direct migration background","East Germany","47","0.31744041396533","0.239778168825882","0.395102659104778"
"Big worries","1996","indirect migration background","West Germany","199","0.422371232554603","0.38024014186246","0.464502323246746"
"Big worries","1996","indirect migration background","East Germany","6","","",""
"Some worries","1996","no migration background","West Germany","3435","0.537532918323831","0.525239664220476","0.549826172427186"
"Some worries","1996","no migration background","East Germany","1857","0.52270938441071","0.506135694745308","0.539283074076113"
"Some worries","1996","direct migration background","West Germany","1240","0.497008919502274","0.477194466031077","0.51682337297347"
"Some worries","1996","direct migration background","East Germany","69","0.498579511039509","0.415158240599989","0.582000781479029"
"Some worries","1996","indirect migration background","West Germany","263","0.479611454822608","0.436998684682962","0.522224224962254"
"Some worries","1996","indirect migration background","East Germany","13","","",""
"No worries","1996","no migration background","West Germany","1089","0.169963998887372","0.160703148920907","0.179224848853837"
"No worries","1996","no migration background","East Germany","706","0.211240153934535","0.197695801662095","0.224784506206975"
"No worries","1996","direct migration background","West Germany","316","0.15344370689786","0.13916061183349","0.16772680196223"
"No worries","1996","direct migration background","East Germany","22","","",""
"No worries","1996","indirect migration background","West Germany","66","0.0980173126227891","0.0726554219440107","0.123379203301567"
"No worries","1996","indirect migration background","East Germany","1","","",""
"Big worries","1997","no migration background","West Germany","1888","0.308172616562321","0.29675175817958","0.319593474945063"
"Big worries","1997","no migration background","East Germany","946","0.271083122635942","0.256284405991953","0.285881839279931"
