"plj0047","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1992","(Married) couple without C. ","95","0.37961560713678","0.323953566152619","0.435277648120941","1"
"Big worries","1992","1-pers.-HH","36","0.324466693088059","0.24104790992926","0.407885476246858","1"
"Big worries","1992","Couple + C. GT 16 ","196","0.388466932452326","0.34708874264507","0.429845122259583","1"
"Big worries","1992","Couple + C. LE 16 ","235","0.490963758123917","0.449069597147715","0.532857919100119","1"
"Big worries","1992","Couple + C. LE and GT 16","165","0.427722855806019","0.380686024687376","0.474759686924661","1"
"Big worries","1992","Single parent ","43","0.545702679330821","0.4466171224196","0.644788236242042","1"
"No worries","1992","Couple + C. LE 16 ","88","0.148693290468462","0.118877718705733","0.178508862231191","3"
"No worries","1992","Couple + C. GT 16 ","108","0.180208798027911","0.147578269514525","0.212839326541297","3"
"No worries","1992","Single parent ","20","","","","3"
"No worries","1992","(Married) couple without C. ","64","0.199434277249672","0.153603727921889","0.245264826577455","3"
"No worries","1992","1-pers.-HH","33","0.312426888356574","0.229844193652653","0.395009583060495","3"
"No worries","1992","Couple + C. LE and GT 16","66","0.17514494267113","0.139008845323935","0.211281040018325","3"
"Some worries","1992","Couple + C. GT 16 ","229","0.431324269519763","0.389278841171457","0.473369697868068","2"
"Some worries","1992","Single parent ","34","0.322999273098707","0.229940448266259","0.416058097931156","2"
"Some worries","1992","(Married) couple without C. ","133","0.420950115613548","0.364322278850673","0.477577952376423","2"
"Some worries","1992","1-pers.-HH","52","0.363106418555367","0.277421220505402","0.448791616605331","2"
"Some worries","1992","Couple + C. LE 16 ","224","0.360342951407621","0.32010961593564","0.400576286879603","2"
"Some worries","1992","Couple + C. LE and GT 16","194","0.397132201522851","0.350613003263913","0.44365139978179","2"
"Big worries","1993","(Married) couple without C. ","134","0.495726617997822","0.438768402123752","0.552684833871891","1"
"Big worries","1993","1-pers.-HH","48","0.414814266392595","0.327744126470966","0.501884406314224","1"
"Big worries","1993","Couple + C. GT 16 ","229","0.44367433445872","0.401496800104298","0.485851868813141","1"
"Big worries","1993","Couple + C. LE 16 ","264","0.52606981560033","0.48319442336279","0.568945207837871","1"
"Big worries","1993","Couple + C. LE and GT 16","210","0.559324864658746","0.510610955763912","0.608038773553579","1"
"Big worries","1993","Single parent ","35","0.53429054228272","0.428246835462307","0.640334249103133","1"
"No worries","1993","Couple + C. LE 16 ","46","0.0880872586284361","0.0637505177248909","0.112423999531981","3"
"No worries","1993","Couple + C. GT 16 ","78","0.124367378345578","0.0963518580357537","0.152382898655401","3"
"No worries","1993","(Married) couple without C. ","34","0.120991167646074","0.0838397244683924","0.158142610823756","3"
"No worries","1993","1-pers.-HH","20","","","","3"
"No worries","1993","Single parent ","10","","","","3"
