"plj0047","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","Rural Area","Female","45","0.424736334835911","0.336662159512771","0.51281051015905"
"Big worries","1992","Rural Area","Male","40","0.330486975664622","0.251430886527246","0.409543064801998"
"Big worries","1992","Urban Area","Female","359","0.443160037296188","0.411147306861887","0.475172767730488"
"Big worries","1992","Urban Area","Male","421","0.419128875108785","0.389605777999251","0.44865197221832"
"No worries","1992","Rural Area","Female","28","","",""
"No worries","1992","Rural Area","Male","46","0.319315475214958","0.240961405497455","0.397669544932461"
"No worries","1992","Urban Area","Female","160","0.163375635537743","0.139550459198109","0.187200811877377"
"No worries","1992","Urban Area","Male","184","0.180949150595224","0.15791448366463","0.203983817525819"
"Some worries","1992","Rural Area","Female","48","0.403274953206044","0.315868567124253","0.490681339287835"
"Some worries","1992","Rural Area","Male","50","0.35019754912042","0.270024968963069","0.430370129277771"
"Some worries","1992","Urban Area","Female","406","0.39346432716607","0.361982634066795","0.424946020265344"
"Some worries","1992","Urban Area","Male","468","0.39992197429599","0.370610360779703","0.429233587812278"
"Big worries","1993","Rural Area","Female","69","0.605003845426047","0.518259000089091","0.691748690763003"
"Big worries","1993","Rural Area","Male","62","0.487138285941499","0.404342097412674","0.569934474470324"
"Big worries","1993","Urban Area","Female","430","0.53328529658291","0.500619020169091","0.565951572996728"
"Big worries","1993","Urban Area","Male","477","0.462838160749521","0.432606841368741","0.4930694801303"
"No worries","1993","Rural Area","Female","10","","",""
"No worries","1993","Rural Area","Male","24","","",""
"No worries","1993","Urban Area","Female","110","0.120355785895238","0.0990508075090183","0.141660764281458"
"No worries","1993","Urban Area","Male","110","0.0964213520136999","0.0785252051917506","0.114317498835649"
"Some worries","1993","Rural Area","Female","43","0.332905354993157","0.249283019376936","0.416527690609378"
"Some worries","1993","Rural Area","Male","54","0.330901391377395","0.25295815526853","0.408844627486259"
"Some worries","1993","Urban Area","Female","356","0.346358917521852","0.315203975793383","0.377513859250321"
"Some worries","1993","Urban Area","Male","458","0.440740487236779","0.410638989186146","0.470841985287413"
"Big worries","1994","Rural Area","Female","43","0.441329493683068","0.352487802697382","0.530171184668754"
"Big worries","1994","Rural Area","Male","39","0.354093019509149","0.271565858077001","0.436620180941296"
"Big worries","1994","Urban Area","Female","444","0.531785032723907","0.498779136166229","0.564790929281585"
"Big worries","1994","Urban Area","Male","440","0.460870191911825","0.429835513761081","0.491904870062569"
"No worries","1994","Rural Area","Female","20","","",""
"No worries","1994","Rural Area","Male","27","","",""
"No worries","1994","Urban Area","Female","91","0.107946818416316","0.0874209694175217","0.128472667415109"
"No worries","1994","Urban Area","Male","107","0.08688127972224","0.0693449787057458","0.104417580738734"
"Some worries","1994","Rural Area","Female","57","0.419797733582503","0.331496408004387","0.508099059160619"
"Some worries","1994","Rural Area","Male","63","0.461575203305934","0.375547763764547","0.547602642847322"
"Some worries","1994","Urban Area","Female","343","0.360268148859778","0.328513102281185","0.39202319543837"
"Some worries","1994","Urban Area","Male","444","0.452248528365935","0.421260665778629","0.483236390953241"
"Big worries","1995","Rural Area","Female","45","0.418274019725179","0.32811922145693","0.508428817993429"
"Big worries","1995","Rural Area","Male","39","0.340616253977758","0.255107832295878","0.426124675659638"
"Big worries","1995","Urban Area","Female","352","0.480409597272445","0.446255046304348","0.514564148240543"
"Big worries","1995","Urban Area","Male","364","0.447497588947994","0.415191094656986","0.479804083239002"
"No worries","1995","Rural Area","Female","20","","",""
"No worries","1995","Rural Area","Male","30","0.24748846197835","0.169623666475126","0.325353257481575"
"No worries","1995","Urban Area","Female","101","0.115856185040379","0.0939768937294403","0.137735476351318"
"No worries","1995","Urban Area","Male","114","0.12912343358543","0.107335891940073","0.150910975230787"
"Some worries","1995","Rural Area","Female","50","0.448421240239244","0.357524977854112","0.539317502624377"
"Some worries","1995","Rural Area","Male","49","0.411895284043892","0.323092245090654","0.500698322997129"
"Some worries","1995","Urban Area","Female","369","0.403734217687175","0.370192916587907","0.437275518786444"
"Some worries","1995","Urban Area","Male","432","0.423378977466576","0.391276594183112","0.45548136075004"
"Big worries","1996","Rural Area","Female","683","0.33997887545123","0.32038825911544","0.359569491787019"
"Big worries","1996","Rural Area","Male","628","0.31309026612866","0.293377340696841","0.332803191560478"
"Big worries","1996","Urban Area","Female","1360","0.297333287856039","0.283911180956253","0.310755394755825"
"Big worries","1996","Urban Area","Male","1192","0.272365197032885","0.258760111573159","0.285970282492611"
"No worries","1996","Rural Area","Female","339","0.149510768652146","0.134763422923867","0.164258114380426"
"No worries","1996","Rural Area","Male","438","0.188334729935141","0.171715145910712","0.20495431395957"
"No worries","1996","Urban Area","Female","683","0.164521618089188","0.153634740710038","0.175408495468338"
"No worries","1996","Urban Area","Male","740","0.189242870692275","0.17727205103545","0.2012136903491"
"Some worries","1996","Rural Area","Female","1224","0.510510355896624","0.489836701718547","0.531184010074701"
"Some worries","1996","Rural Area","Male","1060","0.4985750039362","0.477321296333636","0.519828711538763"
"Some worries","1996","Urban Area","Female","2412","0.538145094054773","0.523505578342209","0.552784609767337"
"Some worries","1996","Urban Area","Male","2181","0.53839193227484","0.523156502726022","0.553627361823658"
"Big worries","1997","Rural Area","Female","653","0.31752767925849","0.298193697778693","0.336861660738287"
"Big worries","1997","Rural Area","Male","613","0.312989734052126","0.2931851572057","0.332794310898553"
"Big worries","1997","Urban Area","Female","1416","0.312735102357754","0.299002254488652","0.326467950226856"
"Big worries","1997","Urban Area","Male","1220","0.296786830807375","0.282755139650977","0.310818521963774"
"No worries","1997","Rural Area","Female","346","0.152344730604729","0.13741983389683","0.167269627312629"
"No worries","1997","Rural Area","Male","463","0.200372013125731","0.183276527925946","0.217467498325516"
"No worries","1997","Urban Area","Female","692","0.171550875415449","0.160383796033103","0.182717954797795"
"No worries","1997","Urban Area","Male","796","0.204978730991217","0.192579693302464","0.217377768679971"
"Some worries","1997","Rural Area","Female","1228","0.530127590136781","0.509399076645464","0.550856103628098"
"Some worries","1997","Rural Area","Male","1030","0.486638252822143","0.465291403633931","0.507985102010355"
"Some worries","1997","Urban Area","Female","2270","0.515714022226797","0.50091048058637","0.530517563867224"
"Some worries","1997","Urban Area","Male","2056","0.498234438201407","0.482877257194345","0.51359161920847"
"Big worries","1998","Rural Area","Female","727","0.311137785128048","0.292858033143593","0.329417537112503"
"Big worries","1998","Rural Area","Male","702","0.316213884994887","0.297429565403034","0.334998204586741"
"Big worries","1998","Urban Area","Female","1495","0.308407132854812","0.295348766318467","0.321465499391157"
"Big worries","1998","Urban Area","Male","1347","0.306344028987181","0.29281073399637","0.319877323977992"
"No worries","1998","Rural Area","Female","390","0.154809233549298","0.140526756284091","0.169091710814505"
"No worries","1998","Rural Area","Male","497","0.188127269041558","0.172339719927438","0.203914818155677"
"No worries","1998","Urban Area","Female","815","0.173203827504564","0.162503936192066","0.183903718817061"
"No worries","1998","Urban Area","Male","946","0.212527691968499","0.200517438247095","0.224537945689903"
"Some worries","1998","Rural Area","Female","1347","0.534052981322654","0.514356521258354","0.553749441386953"
"Some worries","1998","Rural Area","Male","1155","0.495658845963555","0.475461305057075","0.515856386870034"
"Some worries","1998","Urban Area","Female","2495","0.518389039640624","0.504261143900265","0.532516935380983"
"Some worries","1998","Urban Area","Male","2164","0.48112827904432","0.466459727985889","0.49579683010275"
"Big worries","1999","Rural Area","Female","743","0.313955539324864","0.295495443297258","0.33241563535247"
"Big worries","1999","Rural Area","Male","591","0.267940215156242","0.249780994133042","0.286099436179441"
"Big worries","1999","Urban Area","Female","1502","0.321178451677736","0.307765039861441","0.33459186349403"
"Big worries","1999","Urban Area","Male","1248","0.290624483698646","0.277106627120217","0.304142340277074"
"No worries","1999","Rural Area","Female","298","0.139287217444918","0.12551485296938","0.153059581920457"
"No worries","1999","Rural Area","Male","399","0.171165517124152","0.155721970887498","0.186609063360806"
"No worries","1999","Urban Area","Female","620","0.135650203276147","0.125813643399582","0.145486763152713"
"No worries","1999","Urban Area","Male","743","0.179765125321656","0.16833303956075","0.191197211082562"
"Some worries","1999","Rural Area","Female","1387","0.546757243230218","0.526956273558752","0.566558212901684"
"Some worries","1999","Rural Area","Male","1295","0.560894267719606","0.540545878181952","0.58124265725726"
"Some worries","1999","Urban Area","Female","2533","0.543171345046117","0.528861552341479","0.557481137750756"
"Some worries","1999","Urban Area","Male","2343","0.529610390979698","0.514750666878779","0.544470115080616"
"Big worries","2000","Rural Area","Female","1303","0.298854912519429","0.285084612864186","0.312625212174672"
"Big worries","2000","Rural Area","Male","1084","0.271056357096494","0.257251887872151","0.284860826320837"
"Big worries","2000","Urban Area","Female","2895","0.350535207210705","0.340220525977711","0.360849888443699"
"Big worries","2000","Urban Area","Male","2266","0.313885562843931","0.303418380130945","0.324352745556917"
"No worries","2000","Rural Area","Female","617","0.158469251803679","0.147483829875254","0.169454673732104"
"No worries","2000","Rural Area","Male","752","0.193922294330923","0.181643795787948","0.206200792873898"
"No worries","2000","Urban Area","Female","1326","0.168723303313049","0.160627265646504","0.176819340979593"
"No worries","2000","Urban Area","Male","1489","0.196526879978691","0.187564104616142","0.20548965534124"
"Some worries","2000","Rural Area","Female","2325","0.542675835676893","0.527689634431763","0.557662036922022"
"Some worries","2000","Rural Area","Male","2147","0.535021348572583","0.51953157745704","0.550511119688126"
"Some worries","2000","Urban Area","Female","3999","0.480741489476246","0.469940593180887","0.491542385771606"
"Some worries","2000","Urban Area","Male","3796","0.489587557177378","0.478312424311913","0.500862690042843"
"Big worries","2001","Rural Area","Female","1460","0.367891564604894","0.352625243623835","0.383157885585952"
"Big worries","2001","Rural Area","Male","1186","0.318009071088404","0.302855202910416","0.333162939266392"
"Big worries","2001","Urban Area","Female","2886","0.373682020618005","0.362741254080318","0.384622787155692"
"Big worries","2001","Urban Area","Male","2319","0.33658574798942","0.325389691501224","0.347781804477617"
"No worries","2001","Rural Area","Female","478","0.133267433248552","0.122508152113792","0.144026714383312"
"No worries","2001","Rural Area","Male","617","0.178145330761801","0.165694475425184","0.190596186098417"
"No worries","2001","Urban Area","Female","1089","0.15452870773774","0.14635435772944","0.162703057746039"
"No worries","2001","Urban Area","Male","1216","0.181291220424339","0.172163172088529","0.19041926876015"
"Some worries","2001","Rural Area","Female","1895","0.498841002146554","0.483012219377385","0.514669784915724"
"Some worries","2001","Rural Area","Male","1825","0.503845598149795","0.487576195389585","0.520115000910006"
