"plj0047","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","16-34 y.","Not Employed","146","0.487324338939022","0.4323007567039","0.542347921174145"
"Big worries","1992","16-34 y.","Employed","290","0.456853692313124","0.419792845262387","0.493914539363861"
"Big worries","1992","35-65 y.","Not Employed","127","0.431408434020775","0.377562745714467","0.485254122327082"
"Big worries","1992","35-65 y.","Employed","294","0.378879914034263","0.34695535853448","0.410804469534046"
"Big worries","1992","66 and older","Not Employed","8","","",""
"Big worries","1992","66 and older","Employed","","","",""
"Some worries","1992","16-34 y.","Not Employed","126","0.372675990412656","0.319449219245953","0.42590276157936"
"Some worries","1992","16-34 y.","Employed","290","0.397319633439815","0.360912885186189","0.433726381693441"
"Some worries","1992","35-65 y.","Not Employed","138","0.381451835071143","0.328642217050123","0.434261453092164"
"Some worries","1992","35-65 y.","Employed","402","0.404343891020099","0.372047088781888","0.436640693258309"
"Some worries","1992","66 and older","Not Employed","15","","",""
"Some worries","1992","66 and older","Employed","1","","",""
"No worries","1992","16-34 y.","Not Employed","45","0.139999670648321","0.101802492895965","0.178196848400678"
"No worries","1992","16-34 y.","Employed","114","0.145826674247061","0.119568783077318","0.172084565416804"
"No worries","1992","35-65 y.","Not Employed","60","0.187139730908082","0.144736655209881","0.229542806606283"
"No worries","1992","35-65 y.","Employed","191","0.216776194945638","0.189659608674902","0.243892781216375"
"No worries","1992","66 and older","Not Employed","6","","",""
"No worries","1992","66 and older","Employed","2","","",""
"Big worries","1993","16-34 y.","Not Employed","179","0.559403369065811","0.505177904683704","0.613628833447919"
"Big worries","1993","16-34 y.","Employed","342","0.540960835959418","0.504019101228963","0.577902570689874"
"Big worries","1993","35-65 y.","Not Employed","161","0.507899480587364","0.453123659300354","0.562675301874374"
"Big worries","1993","35-65 y.","Employed","346","0.447108275977881","0.41311926079755","0.481097291158212"
"Big worries","1993","66 and older","Not Employed","10","","",""
"Big worries","1993","66 and older","Employed","","","",""
"Some worries","1993","16-34 y.","Not Employed","115","0.356602603417807","0.304284491864775","0.40892071497084"
"Some worries","1993","16-34 y.","Employed","288","0.373346530876075","0.337489090298103","0.409203971454048"
"Some worries","1993","35-65 y.","Not Employed","120","0.369254093700394","0.316377559501592","0.422130627899196"
"Some worries","1993","35-65 y.","Employed","364","0.422095669572876","0.38833231380832","0.455859025337433"
"Some worries","1993","66 and older","Not Employed","23","","",""
"Some worries","1993","66 and older","Employed","1","","",""
"No worries","1993","16-34 y.","Not Employed","28","","",""
"No worries","1993","16-34 y.","Employed","69","0.085692633164506","0.0649421909384186","0.106443075390593"
"No worries","1993","35-65 y.","Not Employed","39","0.122846425712242","0.0868804221432427","0.158812429281241"
"No worries","1993","35-65 y.","Employed","112","0.130796054449243","0.107746085299282","0.153846023599203"
"No worries","1993","66 and older","Not Employed","5","","",""
"No worries","1993","66 and older","Employed","1","","",""
