"plj0047","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","Schleswig-Holstein","lower secondary degree","","","",""
"Big worries","1992","Schleswig-Holstein","secondary school degree","","","",""
"Big worries","1992","Schleswig-Holstein","college entrance qualification","","","",""
"Big worries","1992","Schleswig-Holstein","Other degree","","","",""
"Big worries","1992","Schleswig-Holstein","no degree/no degree yet","","","",""
"Big worries","1992","Hamburg","lower secondary degree","","","",""
"Big worries","1992","Hamburg","secondary school degree","","","",""
"Big worries","1992","Hamburg","college entrance qualification","","","",""
"Big worries","1992","Hamburg","Other degree","","","",""
"Big worries","1992","Hamburg","no degree/no degree yet","","","",""
"Big worries","1992","Lower Saxony","lower secondary degree","","","",""
"Big worries","1992","Lower Saxony","secondary school degree","","","",""
"Big worries","1992","Lower Saxony","college entrance qualification","","","",""
"Big worries","1992","Lower Saxony","Other degree","","","",""
"Big worries","1992","Lower Saxony","no degree/no degree yet","","","",""
"Big worries","1992","Bremen","lower secondary degree","","","",""
"Big worries","1992","Bremen","secondary school degree","","","",""
"Big worries","1992","Bremen","college entrance qualification","","","",""
"Big worries","1992","Bremen","Other degree","","","",""
"Big worries","1992","Bremen","no degree/no degree yet","","","",""
"Big worries","1992","North Rhine-Westphalia","lower secondary degree","61","0.549999673538632","0.460237219441666","0.639762127635599"
"Big worries","1992","North Rhine-Westphalia","secondary school degree","","","",""
"Big worries","1992","North Rhine-Westphalia","college entrance qualification","","","",""
"Big worries","1992","North Rhine-Westphalia","Other degree","89","0.424699518312924","0.360397676091706","0.489001360534142"
"Big worries","1992","North Rhine-Westphalia","no degree/no degree yet","79","0.473020772717208","0.400285401721128","0.545756143713288"
"Big worries","1992","Hesse","lower secondary degree","","","",""
"Big worries","1992","Hesse","secondary school degree","","","",""
"Big worries","1992","Hesse","college entrance qualification","","","",""
"Big worries","1992","Hesse","Other degree","","","",""
"Big worries","1992","Hesse","no degree/no degree yet","","","",""
"Big worries","1992","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"Big worries","1992","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"Big worries","1992","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"Big worries","1992","Rhineland-Palatinate,Saarland","Other degree","","","",""
"Big worries","1992","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Big worries","1992","Baden-Württemberg","lower secondary degree","63","0.517445442882583","0.432839438445252","0.602051447319915"
"Big worries","1992","Baden-Württemberg","secondary school degree","","","",""
"Big worries","1992","Baden-Württemberg","college entrance qualification","","","",""
"Big worries","1992","Baden-Württemberg","Other degree","95","0.397427429002392","0.336887092818658","0.457967765186125"
"Big worries","1992","Baden-Württemberg","no degree/no degree yet","65","0.38248556211339","0.311488084465274","0.453483039761506"
"Big worries","1992","Bavaria","lower secondary degree","","","",""
"Big worries","1992","Bavaria","secondary school degree","","","",""
"Big worries","1992","Bavaria","college entrance qualification","","","",""
"Big worries","1992","Bavaria","Other degree","52","0.463185274847884","0.382023100717624","0.544347448978143"
"Big worries","1992","Bavaria","no degree/no degree yet","","","",""
"Big worries","1992","Berlin","lower secondary degree","","","",""
"Big worries","1992","Berlin","secondary school degree","","","",""
"Big worries","1992","Berlin","college entrance qualification","","","",""
"Big worries","1992","Berlin","Other degree","","","",""
"Big worries","1992","Berlin","no degree/no degree yet","","","",""
"Big worries","1992","Brandenburg","lower secondary degree","","","",""
"Big worries","1992","Brandenburg","secondary school degree","","","",""
"Big worries","1992","Brandenburg","college entrance qualification","","","",""
"Big worries","1992","Brandenburg","Other degree","","","",""
"Big worries","1992","Brandenburg","no degree/no degree yet","","","",""
"Big worries","1992","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
