"plj0047","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","Full Time","Female","129","0.46094893443174","0.409880927290928","0.512016941572552"
"Big worries","1992","Full Time","Male","298","0.360513770918422","0.328273044285645","0.3927544975512"
"Big worries","1992","Not Working","Female","179","0.413329801889955","0.367730892283412","0.458928711496498"
"Big worries","1992","Not Working","Male","102","0.533498846316931","0.46802184782459","0.598975844809272"
"Big worries","1992","Part Time","Female","96","0.465147101316695","0.400964630066912","0.529329572566478"
"Big worries","1992","Part Time","Male","61","0.476480689021","0.391916848810322","0.561044529231678"
"No worries","1992","Full Time","Female","66","0.138152057547917","0.10280106991408","0.173503045181755"
"No worries","1992","Full Time","Male","174","0.224511262714641","0.196493393270309","0.252529132158973"
"No worries","1992","Not Working","Female","74","0.174059828500189","0.138949680962899","0.209169976037478"
"No worries","1992","Not Working","Male","37","0.14730438543615","0.100788583518165","0.193820187354135"
"No worries","1992","Part Time","Female","48","0.184748023304344","0.134809013252764","0.234687033355925"
"No worries","1992","Part Time","Male","19","","",""
"Some worries","1992","Full Time","Female","171","0.400899008020343","0.350690761013685","0.451107255027001"
"Some worries","1992","Full Time","Male","380","0.414974966366937","0.381890322207832","0.448059610526041"
"Some worries","1992","Not Working","Female","195","0.412610369609856","0.367023235473737","0.458197503745975"
"Some worries","1992","Not Working","Male","84","0.319196768246919","0.258013072496273","0.380380463997564"
"Some worries","1992","Part Time","Female","88","0.350104875378961","0.288725167476403","0.411484583281519"
"Some worries","1992","Part Time","Male","54","0.404074082343432","0.320989139305908","0.487159025380955"
"Big worries","1993","Full Time","Female","145","0.494905331921774","0.440797687471768","0.549012976371779"
"Big worries","1993","Full Time","Male","346","0.436876322110497","0.402484447445943","0.47126819677505"
"Big worries","1993","Not Working","Female","230","0.54153364440668","0.495393862097912","0.587673426715449"
"Big worries","1993","Not Working","Male","120","0.503130647896521","0.438792939239868","0.567468356553173"
"Big worries","1993","Part Time","Female","124","0.602619400560178","0.540964827765749","0.664273973354607"
"Big worries","1993","Part Time","Male","73","0.538404745237624","0.459668837671129","0.617140652804119"
"No worries","1993","Full Time","Female","42","0.111881766417284","0.0777682711366591","0.145995261697908"
"No worries","1993","Full Time","Male","97","0.124732631821243","0.101822103036791","0.147643160605695"
"No worries","1993","Not Working","Female","53","0.123221157308063","0.0927845138819803","0.153657800734147"
"No worries","1993","Not Working","Male","19","","",""
"No worries","1993","Part Time","Female","25","","",""
"No worries","1993","Part Time","Male","18","","",""
"Some worries","1993","Full Time","Female","141","0.393212901660943","0.340350947018498","0.446074856303387"
