"plj0047","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","(0) in school","Male","10","","",""
"Big worries","1992","(0) in school","Female","8","","",""
"Big worries","1992","(1a) inadequately completed","Male","80","0.354687045632995","0.293649094849739","0.415724996416252"
"Big worries","1992","(1a) inadequately completed","Female","130","0.420480334229988","0.367854781009876","0.4731058874501"
"Big worries","1992","(1b) general elementary school","Male","154","0.397877247417561","0.350208070748989","0.445546424086133"
"Big worries","1992","(1b) general elementary school","Female","141","0.441932817706099","0.390053037441337","0.493812597970862"
"Big worries","1992","(1c) basic vocational qualification","Male","109","0.396358449344358","0.341191592199651","0.451525306489064"
"Big worries","1992","(1c) basic vocational qualification","Female","49","0.447028112175908","0.363468275767679","0.530587948584138"
"Big worries","1992","(2b) intermediate general qualification","Male","21","","",""
"Big worries","1992","(2b) intermediate general qualification","Female","14","","",""
"Big worries","1992","(2a) intermediate vocational","Male","8","","",""
"Big worries","1992","(2a) intermediate vocational","Female","10","","",""
"Big worries","1992","(2c_gen) general maturity certificate","Male","25","","",""
"Big worries","1992","(2c_gen) general maturity certificate","Female","18","","",""
"Big worries","1992","(2c_voc) vocational maturity certificate","Male","27","","",""
"Big worries","1992","(2c_voc) vocational maturity certificate","Female","13","","",""
"Big worries","1992","(3a) lower tertiary education","Male","","","",""
"Big worries","1992","(3a) lower tertiary education","Female","1","","",""
"Big worries","1992","(3b) higher tertiary education","Male","12","","",""
"Big worries","1992","(3b) higher tertiary education","Female","4","","",""
"Some worries","1992","(0) in school","Male","13","","",""
"Some worries","1992","(0) in school","Female","6","","",""
"Some worries","1992","(1a) inadequately completed","Male","93","0.363412878600424","0.302047817559681","0.424777939641167"
"Some worries","1992","(1a) inadequately completed","Female","142","0.413312740036418","0.360815984222094","0.465809495850743"
"Some worries","1992","(1b) general elementary school","Male","187","0.442454769896139","0.39408265536805","0.490826884424228"
"Some worries","1992","(1b) general elementary school","Female","147","0.393518750025048","0.342483744787983","0.444553755262114"
"Some worries","1992","(1c) basic vocational qualification","Male","126","0.374376191906031","0.319793447957113","0.42895893585495"
"Some worries","1992","(1c) basic vocational qualification","Female","62","0.381133078316963","0.299509506897962","0.462756649735963"
