"plj0047","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1992","1-pers.-HH","no migration background","","","","","1"
"Big worries","1992","1-pers.-HH","direct migration background","29","","","","1"
"Big worries","1992","1-pers.-HH","indirect migration background","7","","","","1"
"Big worries","1992","(Married) couple without C. ","no migration background","","","","","1"
"Big worries","1992","(Married) couple without C. ","direct migration background","88","0.375329503903063","0.318204610919912","0.432454396886215","1"
"Big worries","1992","(Married) couple without C. ","indirect migration background","7","","","","1"
"Big worries","1992","Single parent ","no migration background","","","","","1"
"Big worries","1992","Single parent ","direct migration background","37","0.587550279008483","0.476139942801178","0.698960615215788","1"
"Big worries","1992","Single parent ","indirect migration background","6","","","","1"
"Big worries","1992","Couple + C. LE 16 ","no migration background","","","","","1"
"Big worries","1992","Couple + C. LE 16 ","direct migration background","227","0.496786509643317","0.453894748958786","0.539678270327847","1"
"Big worries","1992","Couple + C. LE 16 ","indirect migration background","8","","","","1"
"Big worries","1992","Couple + C. GT 16 ","no migration background","1","","","","1"
"Big worries","1992","Couple + C. GT 16 ","direct migration background","137","0.361699296725228","0.314374692386974","0.409023901063482","1"
"Big worries","1992","Couple + C. GT 16 ","indirect migration background","58","0.463694024832337","0.37988308621465","0.547504963450024","1"
"Big worries","1992","Couple + C. LE and GT 16","no migration background","","","","","1"
"Big worries","1992","Couple + C. LE and GT 16","direct migration background","124","0.401750164886528","0.349791933023485","0.453708396749571","1"
"Big worries","1992","Couple + C. LE and GT 16","indirect migration background","41","0.545299891561971","0.438175275259922","0.65242450786402","1"
"No worries","1992","(Married) couple without C. ","indirect migration background","1","","","","3"
"No worries","1992","(Married) couple without C. ","direct migration background","63","0.203441288715958","0.155949120776862","0.250933456655055","3"
"No worries","1992","Couple + C. LE and GT 16","indirect migration background","12","","","","3"
"No worries","1992","Couple + C. GT 16 ","indirect migration background","27","","","","3"
"No worries","1992","(Married) couple without C. ","no migration background","","","","","3"
"No worries","1992","Couple + C. LE and GT 16","direct migration background","54","0.181934211001409","0.141047108086262","0.222821313916556","3"
"No worries","1992","Couple + C. LE and GT 16","no migration background","","","","","3"
"No worries","1992","1-pers.-HH","indirect migration background","2","","","","3"
"No worries","1992","1-pers.-HH","no migration background","","","","","3"
"No worries","1992","1-pers.-HH","direct migration background","31","0.321345865039974","0.232861444752688","0.40983028532726","3"
"No worries","1992","Single parent ","no migration background","","","","","3"
"No worries","1992","Single parent ","direct migration background","12","","","","3"
"No worries","1992","Single parent ","indirect migration background","8","","","","3"
"No worries","1992","Couple + C. LE 16 ","no migration background","","","","","3"
"No worries","1992","Couple + C. LE 16 ","direct migration background","81","0.139186767398152","0.109492933079488","0.168880601716815","3"
"No worries","1992","Couple + C. LE 16 ","indirect migration background","7","","","","3"
"No worries","1992","Couple + C. GT 16 ","no migration background","","","","","3"
"No worries","1992","Couple + C. GT 16 ","direct migration background","81","0.186762090142163","0.148377786280664","0.225146394003662","3"
"Some worries","1992","Couple + C. LE 16 ","no migration background","","","","","2"
"Some worries","1992","Single parent ","indirect migration background","8","","","","2"
"Some worries","1992","Single parent ","direct migration background","26","","","","2"
"Some worries","1992","Single parent ","no migration background","","","","","2"
"Some worries","1992","(Married) couple without C. ","indirect migration background","8","","","","2"
"Some worries","1992","(Married) couple without C. ","direct migration background","125","0.421229207380978","0.362977844381697","0.47948057038026","2"
"Some worries","1992","Couple + C. LE and GT 16","indirect migration background","30","0.310289834257754","0.210766221641001","0.409813446874508","2"
"Some worries","1992","(Married) couple without C. ","no migration background","","","","","2"
"Some worries","1992","Couple + C. LE and GT 16","direct migration background","164","0.416315624112063","0.364071743644576","0.46855950457955","2"
"Some worries","1992","Couple + C. LE and GT 16","no migration background","","","","","2"
"Some worries","1992","Couple + C. GT 16 ","indirect migration background","51","0.374335291437677","0.29299984536451","0.455670737510843","2"
"Some worries","1992","1-pers.-HH","indirect migration background","5","","","","2"
"Some worries","1992","1-pers.-HH","no migration background","","","","","2"
"Some worries","1992","1-pers.-HH","direct migration background","47","0.391686934969933","0.299198098276454","0.484175771663412","2"
"Some worries","1992","Couple + C. LE 16 ","direct migration background","214","0.364026722958532","0.322750599167938","0.405302846749126","2"
"Some worries","1992","Couple + C. LE 16 ","indirect migration background","10","","","","2"
"Some worries","1992","Couple + C. GT 16 ","no migration background","","","","","2"
"Some worries","1992","Couple + C. GT 16 ","direct migration background","178","0.451538613132609","0.402524519714671","0.500552706550548","2"
"Big worries","1993","1-pers.-HH","no migration background","","","","","1"
"Big worries","1993","1-pers.-HH","direct migration background","39","0.402482308563012","0.307776141425151","0.497188475700873","1"
"Big worries","1993","1-pers.-HH","indirect migration background","9","","","","1"
"Big worries","1993","(Married) couple without C. ","no migration background","","","","","1"
"Big worries","1993","(Married) couple without C. ","direct migration background","122","0.485962266006587","0.426345970848092","0.545578561165083","1"
"Big worries","1993","(Married) couple without C. ","indirect migration background","12","","","","1"
"Big worries","1993","Single parent ","no migration background","","","","","1"
"Big worries","1993","Single parent ","direct migration background","30","0.512744195176789","0.39215594027615","0.633332450077428","1"
"Big worries","1993","Single parent ","indirect migration background","5","","","","1"
"Big worries","1993","Couple + C. LE 16 ","no migration background","","","","","1"
"Big worries","1993","Couple + C. LE 16 ","direct migration background","252","0.531345401043853","0.487161408637502","0.575529393450205","1"
"Big worries","1993","Couple + C. LE 16 ","indirect migration background","12","","","","1"
"Big worries","1993","Couple + C. GT 16 ","no migration background","","","","","1"
"Big worries","1993","Couple + C. GT 16 ","direct migration background","172","0.439957172879537","0.391373345430241","0.488541000328833","1"
"Big worries","1993","Couple + C. GT 16 ","indirect migration background","57","0.455664383199587","0.370703886430475","0.540624879968699","1"
"Big worries","1993","Couple + C. LE and GT 16","no migration background","1","","","","1"
"Big worries","1993","Couple + C. LE and GT 16","direct migration background","152","0.536458146209757","0.480029469934832","0.592886822484681","1"
"Big worries","1993","Couple + C. LE and GT 16","indirect migration background","57","0.630845364338279","0.535301968201517","0.72638876047504","1"
"No worries","1993","(Married) couple without C. ","indirect migration background","3","","","","3"
"No worries","1993","(Married) couple without C. ","direct migration background","31","0.125493027122435","0.0859784221202522","0.165007632124617","3"
"No worries","1993","Couple + C. LE and GT 16","indirect migration background","10","","","","3"
"No worries","1993","Couple + C. GT 16 ","indirect migration background","16","","","","3"
"No worries","1993","(Married) couple without C. ","no migration background","","","","","3"
"No worries","1993","Couple + C. LE and GT 16","direct migration background","29","","","","3"
"No worries","1993","Couple + C. LE and GT 16","no migration background","","","","","3"
"No worries","1993","1-pers.-HH","no migration background","","","","","3"
"No worries","1993","1-pers.-HH","indirect migration background","3","","","","3"
"No worries","1993","1-pers.-HH","direct migration background","17","","","","3"
"No worries","1993","Single parent ","no migration background","","","","","3"
"No worries","1993","Single parent ","direct migration background","6","","","","3"
"No worries","1993","Single parent ","indirect migration background","4","","","","3"
"No worries","1993","Couple + C. LE 16 ","no migration background","","","","","3"
"No worries","1993","Couple + C. LE 16 ","direct migration background","43","0.0806247610540842","0.0565184546294624","0.104731067478706","3"
"No worries","1993","Couple + C. LE 16 ","indirect migration background","3","","","","3"
"No worries","1993","Couple + C. GT 16 ","no migration background","","","","","3"
"No worries","1993","Couple + C. GT 16 ","direct migration background","62","0.132242466712562","0.0990865857480248","0.1653983476771","3"
"Some worries","1993","Couple + C. LE 16 ","no migration background","","","","","2"
"Some worries","1993","Single parent ","indirect migration background","10","","","","2"
"Some worries","1993","Single parent ","direct migration background","30","0.434793043508617","0.315195801141914","0.554390285875319","2"
"Some worries","1993","(Married) couple without C. ","indirect migration background","11","","","","2"
"Some worries","1993","Single parent ","no migration background","","","","","2"
"Some worries","1993","(Married) couple without C. ","direct migration background","117","0.388544706870978","0.330405505491438","0.446683908250518","2"
"Some worries","1993","(Married) couple without C. ","no migration background","","","","","2"
"Some worries","1993","Couple + C. LE and GT 16","indirect migration background","31","0.289946625922786","0.200112865291186","0.379780386554385","2"
"Some worries","1993","Couple + C. LE and GT 16","direct migration background","119","0.352799040410647","0.298727251560004","0.40687082926129","2"
"Some worries","1993","1-pers.-HH","indirect migration background","8","","","","2"
"Some worries","1993","Couple + C. LE and GT 16","no migration background","","","","","2"
"Some worries","1993","Couple + C. GT 16 ","indirect migration background","59","0.445370064915002","0.360584232185975","0.530155897644028","2"
"Some worries","1993","1-pers.-HH","direct migration background","47","0.437126245483204","0.341332220915862","0.532920270050546","2"
"Some worries","1993","1-pers.-HH","no migration background","","","","","2"
"Some worries","1993","Couple + C. LE 16 ","direct migration background","195","0.388029837902062","0.34488312290362","0.431176552900505","2"
"Some worries","1993","Couple + C. LE 16 ","indirect migration background","16","","","","2"
"Some worries","1993","Couple + C. GT 16 ","no migration background","","","","","2"
"Some worries","1993","Couple + C. GT 16 ","direct migration background","167","0.4278003604079","0.379375289231484","0.476225431584317","2"
"Big worries","1994","1-pers.-HH","no migration background","","","","","1"
"Big worries","1994","1-pers.-HH","direct migration background","36","0.394183160614984","0.294327225854646","0.494039095375322","1"
"Big worries","1994","1-pers.-HH","indirect migration background","10","","","","1"
"Big worries","1994","(Married) couple without C. ","no migration background","","","","","1"
"Big worries","1994","(Married) couple without C. ","direct migration background","114","0.429588379096203","0.371812843320932","0.487363914871474","1"
"Big worries","1994","(Married) couple without C. ","indirect migration background","25","","","","1"
"Big worries","1994","Single parent ","no migration background","","","","","1"
"Big worries","1994","Single parent ","direct migration background","32","0.619240219160321","0.495338538576212","0.74314189974443","1"
"Big worries","1994","Single parent ","indirect migration background","4","","","","1"
"Big worries","1994","Couple + C. LE 16 ","no migration background","","","","","1"
"Big worries","1994","Couple + C. LE 16 ","direct migration background","233","0.53928381776937","0.494220351992551","0.584347283546188","1"
"Big worries","1994","Couple + C. LE 16 ","indirect migration background","15","","","","1"
"Big worries","1994","Couple + C. GT 16 ","no migration background","","","","","1"
"Big worries","1994","Couple + C. GT 16 ","direct migration background","156","0.446952792124711","0.397160670315794","0.496744913933628","1"
