"plj0047","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","1-pers.-HH","Urban Area","34","0.335550173474275","0.246082523042654","0.425017823905896"
"Big worries","1992","1-pers.-HH","Rural Area","2","","",""
"Big worries","1992","(Married) couple without C. ","Urban Area","82","0.361517786446058","0.303997646988915","0.4190379259032"
"Big worries","1992","(Married) couple without C. ","Rural Area","13","","",""
"Big worries","1992","Single parent ","Urban Area","39","0.507396561401926","0.402342960286337","0.612450162517515"
"Big worries","1992","Single parent ","Rural Area","4","","",""
"Big worries","1992","Couple + C. LE 16 ","Urban Area","213","0.504244428991106","0.459793144781038","0.548695713201173"
"Big worries","1992","Couple + C. LE 16 ","Rural Area","22","","",""
"Big worries","1992","Couple + C. GT 16 ","Urban Area","182","0.408760853867797","0.364827759606273","0.452693948129321"
"Big worries","1992","Couple + C. GT 16 ","Rural Area","14","","",""
"Big worries","1992","Couple + C. LE and GT 16","Urban Area","144","0.437759118270095","0.386793627555076","0.488724608985113"
"Big worries","1992","Couple + C. LE and GT 16","Rural Area","21","","",""
"Some worries","1992","1-pers.-HH","Urban Area","47","0.380881501292339","0.288870865306649","0.472892137278029"
"Some worries","1992","1-pers.-HH","Rural Area","5","","",""
"Some worries","1992","(Married) couple without C. ","Urban Area","124","0.430134681543775","0.370860026129023","0.489409336958526"
"Some worries","1992","(Married) couple without C. ","Rural Area","9","","",""
"Some worries","1992","Single parent ","Urban Area","31","0.352775948458628","0.252368652199666","0.453183244717591"
"Some worries","1992","Single parent ","Rural Area","3","","",""
"Some worries","1992","Couple + C. LE 16 ","Urban Area","199","0.352812885523418","0.310329696836524","0.395296074210312"
"Some worries","1992","Couple + C. LE 16 ","Rural Area","25","","",""
"Some worries","1992","Couple + C. GT 16 ","Urban Area","208","0.418227226806934","0.374145520151932","0.462308933461936"
"Some worries","1992","Couple + C. GT 16 ","Rural Area","21","","",""
"Some worries","1992","Couple + C. LE and GT 16","Urban Area","169","0.404269347468095","0.353854578734955","0.454684116201234"
"Some worries","1992","Couple + C. LE and GT 16","Rural Area","25","","",""
"No worries","1992","1-pers.-HH","Urban Area","26","","",""
"No worries","1992","1-pers.-HH","Rural Area","7","","",""
"No worries","1992","(Married) couple without C. ","Urban Area","62","0.208347532010167","0.15972448630316","0.256970577717175"
"No worries","1992","(Married) couple without C. ","Rural Area","2","","",""
"No worries","1992","Single parent ","Urban Area","17","","",""
"No worries","1992","Single parent ","Rural Area","3","","",""
"No worries","1992","Couple + C. LE 16 ","Urban Area","74","0.142942685485477","0.111824385886928","0.174060985084025"
"No worries","1992","Couple + C. LE 16 ","Rural Area","14","","",""
"No worries","1992","Couple + C. GT 16 ","Urban Area","91","0.173011919325269","0.139208300964211","0.206815537686327"
"No worries","1992","Couple + C. GT 16 ","Rural Area","17","","",""
"No worries","1992","Couple + C. LE and GT 16","Urban Area","51","0.157971534261811","0.120504423512948","0.195438645010673"
"No worries","1992","Couple + C. LE and GT 16","Rural Area","15","","",""
"Big worries","1993","1-pers.-HH","Urban Area","39","0.384940177602254","0.292744300015429","0.47713605518908"
"Big worries","1993","1-pers.-HH","Rural Area","9","","",""
"Big worries","1993","(Married) couple without C. ","Urban Area","119","0.470412247894321","0.411204976864501","0.529619518924141"
"Big worries","1993","(Married) couple without C. ","Rural Area","15","","",""
"Big worries","1993","Single parent ","Urban Area","34","0.579799030202393","0.468090914333628","0.691507146071159"
"Big worries","1993","Single parent ","Rural Area","1","","",""
"Big worries","1993","Couple + C. LE 16 ","Urban Area","228","0.523433886435498","0.477390064017376","0.56947770885362"
