"plj0047","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1992","1-pers.-HH","in school","","","","","1"
"Big worries","1992","1-pers.-HH","inadequately","10","","","","1"
"Big worries","1992","1-pers.-HH","general elemantary","10","","","","1"
"Big worries","1992","1-pers.-HH","middle vocational","10","","","","1"
"Big worries","1992","1-pers.-HH","vocational + Abi","2","","","","1"
"Big worries","1992","1-pers.-HH","higher vocational","3","","","","1"
"Big worries","1992","1-pers.-HH","higher education","1","","","","1"
"Big worries","1992","(Married) couple without C. ","in school","","","","","1"
"Big worries","1992","(Married) couple without C. ","inadequately","13","","","","1"
"Big worries","1992","(Married) couple without C. ","general elemantary","47","0.46881604251615","0.374262041725306","0.563370043306994","1"
"Big worries","1992","(Married) couple without C. ","middle vocational","26","","","","1"
"Big worries","1992","(Married) couple without C. ","vocational + Abi","4","","","","1"
"Big worries","1992","(Married) couple without C. ","higher vocational","1","","","","1"
"Big worries","1992","(Married) couple without C. ","higher education","3","","","","1"
"Big worries","1992","Single parent ","in school","1","","","","1"
"Big worries","1992","Single parent ","inadequately","8","","","","1"
"Big worries","1992","Single parent ","general elemantary","13","","","","1"
"Big worries","1992","Single parent ","middle vocational","16","","","","1"
"Big worries","1992","Single parent ","vocational + Abi","2","","","","1"
"Big worries","1992","Single parent ","higher vocational","1","","","","1"
"Big worries","1992","Single parent ","higher education","1","","","","1"
"Big worries","1992","Couple + C. LE 16 ","in school","","","","","1"
"Big worries","1992","Couple + C. LE 16 ","inadequately","44","0.565964843302558","0.465770928508821","0.666158758096295","1"
"Big worries","1992","Couple + C. LE 16 ","general elemantary","91","0.483369835111771","0.415294063808981","0.551445606414561","1"
"Big worries","1992","Couple + C. LE 16 ","middle vocational","74","0.478284580039864","0.405106400426203","0.551462759653525","1"
"Big worries","1992","Couple + C. LE 16 ","vocational + Abi","11","","","","1"
"Big worries","1992","Couple + C. LE 16 ","higher vocational","4","","","","1"
"Big worries","1992","Couple + C. LE 16 ","higher education","3","","","","1"
"Big worries","1992","Couple + C. GT 16 ","in school","6","","","","1"
"Big worries","1992","Couple + C. GT 16 ","inadequately","49","0.362591922768278","0.280888525612408","0.444295319924149","1"
"Big worries","1992","Couple + C. GT 16 ","general elemantary","68","0.387872404516468","0.318034257448563","0.457710551584372","1"
"Big worries","1992","Couple + C. GT 16 ","middle vocational","52","0.372125033000445","0.295533034282847","0.448717031718042","1"
"Big worries","1992","Couple + C. GT 16 ","vocational + Abi","11","","","","1"
"Big worries","1992","Couple + C. GT 16 ","higher vocational","","","","","1"
"Big worries","1992","Couple + C. GT 16 ","higher education","6","","","","1"
"Big worries","1992","Couple + C. LE and GT 16","in school","11","","","","1"
"Big worries","1992","Couple + C. LE and GT 16","inadequately","39","0.432933001195669","0.339050698100727","0.526815304290611","1"
"Big worries","1992","Couple + C. LE and GT 16","general elemantary","65","0.440951343173113","0.365193734407658","0.516708951938569","1"
"Big worries","1992","Couple + C. LE and GT 16","middle vocational","38","0.396980382953411","0.299613230884093","0.494347535022728","1"
"Big worries","1992","Couple + C. LE and GT 16","vocational + Abi","2","","","","1"
"Big worries","1992","Couple + C. LE and GT 16","higher vocational","","","","","1"
"Big worries","1992","Couple + C. LE and GT 16","higher education","3","","","","1"
"No worries","1992","Couple + C. GT 16 ","inadequately","29","","","","3"
"No worries","1992","Couple + C. GT 16 ","higher vocational","","","","","3"
"No worries","1992","Couple + C. LE and GT 16","middle vocational","12","","","","3"
"No worries","1992","Single parent ","inadequately","4","","","","3"
"No worries","1992","(Married) couple without C. ","in school","","","","","3"
"No worries","1992","1-pers.-HH","general elemantary","12","","","","3"
"No worries","1992","Single parent ","higher vocational","","","","","3"
"No worries","1992","1-pers.-HH","higher education","","","","","3"
"No worries","1992","(Married) couple without C. ","vocational + Abi","3","","","","3"
"No worries","1992","1-pers.-HH","higher vocational","","","","","3"
"No worries","1992","(Married) couple without C. ","middle vocational","25","","","","3"
"No worries","1992","Couple + C. LE 16 ","middle vocational","26","","","","3"
"No worries","1992","Single parent ","general elemantary","5","","","","3"
"No worries","1992","Couple + C. GT 16 ","in school","3","","","","3"
"No worries","1992","Single parent ","higher education","","","","","3"
"No worries","1992","Couple + C. LE 16 ","in school","","","","","3"
"No worries","1992","Couple + C. LE 16 ","vocational + Abi","3","","","","3"
"No worries","1992","Couple + C. LE and GT 16","higher education","","","","","3"
"No worries","1992","Couple + C. GT 16 ","general elemantary","35","0.163996454678464","0.11092651706723","0.217066392289698","3"
"No worries","1992","Couple + C. GT 16 ","higher education","","","","","3"
"No worries","1992","Couple + C. LE and GT 16","in school","2","","","","3"
"No worries","1992","Single parent ","in school","1","","","","3"
"No worries","1992","1-pers.-HH","in school","","","","","3"
"No worries","1992","1-pers.-HH","inadequately","8","","","","3"
"No worries","1992","1-pers.-HH","middle vocational","11","","","","3"
"No worries","1992","1-pers.-HH","vocational + Abi","2","","","","3"
"No worries","1992","(Married) couple without C. ","inadequately","12","","","","3"
"No worries","1992","(Married) couple without C. ","general elemantary","20","","","","3"
"No worries","1992","Single parent ","middle vocational","10","","","","3"
"No worries","1992","Single parent ","vocational + Abi","","","","","3"
"No worries","1992","Couple + C. LE 16 ","inadequately","24","","","","3"
"No worries","1992","Couple + C. LE 16 ","general elemantary","30","0.124544832120323","0.0795624211107366","0.16952724312991","3"
"No worries","1992","Couple + C. GT 16 ","middle vocational","37","0.225347952421918","0.159144213044042","0.291551691799794","3"
"No worries","1992","Couple + C. GT 16 ","vocational + Abi","","","","","3"
"No worries","1992","Couple + C. LE and GT 16","inadequately","23","","","","3"
"No worries","1992","Couple + C. LE and GT 16","general elemantary","21","","","","3"
"No worries","1992","(Married) couple without C. ","higher vocational","","","","","3"
"No worries","1992","(Married) couple without C. ","higher education","1","","","","3"
"No worries","1992","Couple + C. LE 16 ","higher vocational","1","","","","3"
"No worries","1992","Couple + C. LE 16 ","higher education","3","","","","3"
"No worries","1992","Couple + C. LE and GT 16","vocational + Abi","3","","","","3"
"No worries","1992","Couple + C. LE and GT 16","higher vocational","","","","","3"
"Some worries","1992","Couple + C. GT 16 ","general elemantary","84","0.448131140805068","0.376854406380032","0.519407875230104","2"
"Some worries","1992","Couple + C. LE and GT 16","vocational + Abi","6","","","","2"
"Some worries","1992","Couple + C. GT 16 ","higher education","3","","","","2"
"Some worries","1992","1-pers.-HH","middle vocational","18","","","","2"
"Some worries","1992","Couple + C. GT 16 ","inadequately","55","0.424760235989013","0.340752622570263","0.508767849407763","2"
"Some worries","1992","(Married) couple without C. ","in school","","","","","2"
"Some worries","1992","(Married) couple without C. ","inadequately","34","0.612571892141415","0.488264721771854","0.736879062510977","2"
"Some worries","1992","Single parent ","general elemantary","14","","","","2"
"Some worries","1992","Single parent ","higher education","","","","","2"
"Some worries","1992","Couple + C. LE 16 ","vocational + Abi","11","","","","2"
"Some worries","1992","(Married) couple without C. ","higher vocational","3","","","","2"
"Some worries","1992","1-pers.-HH","higher education","3","","","","2"
"Some worries","1992","(Married) couple without C. ","vocational + Abi","10","","","","2"
"Some worries","1992","Single parent ","middle vocational","8","","","","2"
"Some worries","1992","1-pers.-HH","higher vocational","","","","","2"
"Some worries","1992","Couple + C. LE 16 ","in school","","","","","2"
"Some worries","1992","Couple + C. LE 16 ","inadequately","26","","","","2"
"Some worries","1992","(Married) couple without C. ","middle vocational","37","0.339744992594874","0.240789674543576","0.438700310646172","2"
"Some worries","1992","Couple + C. LE 16 ","higher vocational","2","","","","2"
"Some worries","1992","1-pers.-HH","general elemantary","17","","","","2"
"Some worries","1992","Couple + C. GT 16 ","middle vocational","64","0.402527014577638","0.324820213929075","0.4802338152262","2"
"Some worries","1992","Single parent ","higher vocational","","","","","2"
"Some worries","1992","Couple + C. GT 16 ","higher vocational","1","","","","2"
"Some worries","1992","Couple + C. LE and GT 16","in school","8","","","","2"
"Some worries","1992","Couple + C. LE and GT 16","inadequately","45","0.388555972631137","0.296200773241642","0.480911172020633","2"
"Some worries","1992","Couple + C. LE 16 ","middle vocational","79","0.369552282390112","0.298841757938913","0.44026280684131","2"
"Some worries","1992","Couple + C. LE and GT 16","middle vocational","47","0.389944431050093","0.292882643995849","0.487006218104337","2"
"Some worries","1992","Single parent ","inadequately","7","","","","2"
"Some worries","1992","Couple + C. LE and GT 16","higher education","2","","","","2"
"Some worries","1992","Single parent ","in school","1","","","","2"
"Some worries","1992","Couple + C. GT 16 ","in school","6","","","","2"
"Some worries","1992","1-pers.-HH","in school","1","","","","2"
"Some worries","1992","1-pers.-HH","inadequately","10","","","","2"
"Some worries","1992","1-pers.-HH","vocational + Abi","2","","","","2"
"Some worries","1992","(Married) couple without C. ","general elemantary","40","0.394286090620037","0.301689349161237","0.486882832078836","2"
"Some worries","1992","Single parent ","vocational + Abi","1","","","","2"
"Some worries","1992","Couple + C. LE 16 ","general elemantary","86","0.392085332767906","0.325577234869454","0.458593430666357","2"
"Some worries","1992","Couple + C. GT 16 ","vocational + Abi","8","","","","2"
"Some worries","1992","Couple + C. LE and GT 16","general elemantary","79","0.401001737843745","0.326220607138376","0.475782868549115","2"
"Some worries","1992","(Married) couple without C. ","higher education","3","","","","2"
"Some worries","1992","Couple + C. LE 16 ","higher education","9","","","","2"
"Some worries","1992","Couple + C. LE and GT 16","higher vocational","","","","","2"
"Big worries","1993","1-pers.-HH","in school","","","","","1"
"Big worries","1993","1-pers.-HH","inadequately","11","","","","1"
"Big worries","1993","1-pers.-HH","general elemantary","12","","","","1"
"Big worries","1993","1-pers.-HH","middle vocational","16","","","","1"
"Big worries","1993","1-pers.-HH","vocational + Abi","2","","","","1"
"Big worries","1993","1-pers.-HH","higher vocational","3","","","","1"
"Big worries","1993","1-pers.-HH","higher education","3","","","","1"
"Big worries","1993","(Married) couple without C. ","in school","","","","","1"
"Big worries","1993","(Married) couple without C. ","inadequately","21","","","","1"
