"plj0047","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1992","no migration background","Urban Area","","","","","1"
"Big worries","1992","no migration background","Rural Area","1","","","","1"
"Big worries","1992","direct migration background","Urban Area","655","0.420180519429979","0.396854092197148","0.44350694666281","1"
"Big worries","1992","direct migration background","Rural Area","76","0.380794203470758","0.316187007116551","0.445401399824965","1"
"Big worries","1992","indirect migration background","Urban Area","125","0.497766957183777","0.438992129280853","0.556541785086701","1"
"Big worries","1992","indirect migration background","Rural Area","8","","","","1"
"No worries","1992","direct migration background","Urban Area","298","0.174114165583295","0.156193219670354","0.192035111496236","3"
"No worries","1992","indirect migration background","Rural Area","14","","","","3"
"No worries","1992","no migration background","Urban Area","","","","","3"
"No worries","1992","no migration background","Rural Area","","","","","3"
"No worries","1992","direct migration background","Rural Area","60","0.248082612927441","0.190617872205155","0.305547353649727","3"
"No worries","1992","indirect migration background","Urban Area","46","0.165207319063377","0.121552755446526","0.208861882680228","3"
"Some worries","1992","direct migration background","Rural Area","81","0.371123183601801","0.306845523469986","0.435400843733616","2"
"Some worries","1992","direct migration background","Urban Area","767","0.405705314986726","0.382499857258346","0.428910772715106","2"
"Some worries","1992","indirect migration background","Rural Area","17","","","","2"
"Some worries","1992","no migration background","Urban Area","","","","","2"
"Some worries","1992","no migration background","Rural Area","","","","","2"
"Some worries","1992","indirect migration background","Urban Area","107","0.337025723752846","0.281460181486605","0.392591266019087","2"
"Big worries","1993","no migration background","Urban Area","1","","","","1"
"Big worries","1993","no migration background","Rural Area","","","","","1"
"Big worries","1993","direct migration background","Urban Area","763","0.485837371223782","0.461633387339495","0.510041355108069","1"
"Big worries","1993","direct migration background","Rural Area","111","0.551666137009246","0.484878323801908","0.618453950216585","1"
"Big worries","1993","indirect migration background","Urban Area","143","0.541572892391586","0.485376527492422","0.59776925729075","1"
"Big worries","1993","indirect migration background","Rural Area","20","","","","1"
"No worries","1993","direct migration background","Urban Area","185","0.106889709768276","0.091926952253277","0.121852467283275","3"
"No worries","1993","no migration background","Rural Area","","","","","3"
"No worries","1993","indirect migration background","Rural Area","4","","","","3"
"No worries","1993","no migration background","Urban Area","","","","","3"
"No worries","1993","direct migration background","Rural Area","30","0.14117240572484","0.0944111471032861","0.187933664346395","3"
"No worries","1993","indirect migration background","Urban Area","35","0.107693954644987","0.07273187967606","0.142656029613915","3"
"Some worries","1993","direct migration background","Rural Area","72","0.307161457265913","0.245209123826632","0.369113790705194","2"
"Some worries","1993","direct migration background","Urban Area","690","0.407272919007942","0.383479256675863","0.431066581340021","2"
"Some worries","1993","no migration background","Urban Area","","","","","2"
"Some worries","1993","no migration background","Rural Area","","","","","2"
"Some worries","1993","indirect migration background","Rural Area","25","","","","2"
"Some worries","1993","indirect migration background","Urban Area","124","0.350733152963427","0.296913035293043","0.404553270633811","2"
"Big worries","1994","no migration background","Urban Area","2","","","","1"
"Big worries","1994","no migration background","Rural Area","","","","","1"
"Big worries","1994","direct migration background","Urban Area","718","0.484072771134337","0.45921787715759","0.508927665111084","1"
"Big worries","1994","direct migration background","Rural Area","62","0.39208772281993","0.324255877510237","0.459919568129622","1"
"Big worries","1994","indirect migration background","Urban Area","164","0.543003812189413","0.487905157520593","0.598102466858232","1"
"Big worries","1994","indirect migration background","Rural Area","20","","","","1"
"No worries","1994","direct migration background","Urban Area","171","0.0998739930476251","0.0849618443757283","0.114786141719522","3"
"No worries","1994","no migration background","Rural Area","","","","","3"
"No worries","1994","indirect migration background","Rural Area","8","","","","3"
"No worries","1994","no migration background","Urban Area","","","","","3"
"No worries","1994","direct migration background","Rural Area","39","0.171877982810644","0.119460176404109","0.224295789217179","3"
"No worries","1994","indirect migration background","Urban Area","27","","","","3"
