"plj0047","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","16-34 y.","West Germany","436","0.467556554975209","0.436800804369133","0.498312305581286"
"Big worries","1992","16-34 y.","East Germany","","","",""
"Big worries","1992","35-65 y.","West Germany","421","0.392802457511481","0.365307764068412","0.42029715095455"
"Big worries","1992","35-65 y.","East Germany","","","",""
"Big worries","1992","66 and older","West Germany","","","",""
"Big worries","1992","66 and older","East Germany","","","",""
"Some worries","1992","16-34 y.","West Germany","416","0.388663514977631","0.358616622835864","0.418710407119398"
"Some worries","1992","16-34 y.","East Germany","","","",""
"Some worries","1992","35-65 y.","West Germany","540","0.398276412927929","0.370715881180086","0.425836944675773"
"Some worries","1992","35-65 y.","East Germany","","","",""
"Some worries","1992","66 and older","West Germany","","","",""
"Some worries","1992","66 and older","East Germany","","","",""
"No worries","1992","16-34 y.","West Germany","159","0.14377993004716","0.122152030240666","0.165407829853654"
"No worries","1992","16-34 y.","East Germany","","","",""
"No worries","1992","35-65 y.","West Germany","251","0.20892112956059","0.186033655974491","0.231808603146688"
"No worries","1992","35-65 y.","East Germany","","","",""
"No worries","1992","66 and older","West Germany","","","",""
"No worries","1992","66 and older","East Germany","","","",""
"Big worries","1993","16-34 y.","West Germany","521","0.547314022750707","0.516782249491172","0.577845796010243"
"Big worries","1993","16-34 y.","East Germany","","","",""
"Big worries","1993","35-65 y.","West Germany","507","0.46357386203182","0.434651785225835","0.492495938837805"
"Big worries","1993","35-65 y.","East Germany","","","",""
"Big worries","1993","66 and older","West Germany","","","",""
"Big worries","1993","66 and older","East Germany","","","",""
"Some worries","1993","16-34 y.","West Germany","403","0.367578489243807","0.338004250065062","0.397152728422552"
"Some worries","1993","16-34 y.","East Germany","","","",""
"Some worries","1993","35-65 y.","West Germany","484","0.407783278161268","0.379281623185313","0.436284933137223"
"Some worries","1993","35-65 y.","East Germany","","","",""
"Some worries","1993","66 and older","West Germany","","","",""
"Some worries","1993","66 and older","East Germany","","","",""
"No worries","1993","16-34 y.","West Germany","97","0.0851074880054858","0.0679914145098988","0.102223561501073"
"No worries","1993","16-34 y.","East Germany","","","",""
"No worries","1993","35-65 y.","West Germany","151","0.128642859806912","0.109224793520429","0.148060926093395"
"No worries","1993","35-65 y.","East Germany","","","",""
"No worries","1993","66 and older","West Germany","","","",""
"No worries","1993","66 and older","East Germany","","","",""
"Big worries","1994","16-34 y.","West Germany","484","0.511869374678381","0.480589774832416","0.543148974524345"
"Big worries","1994","16-34 y.","East Germany","","","",""
"Big worries","1994","35-65 y.","West Germany","467","0.469384781335925","0.439757677794519","0.49901188487733"
"Big worries","1994","35-65 y.","East Germany","","","",""
"Big worries","1994","66 and older","West Germany","","","",""
"Big worries","1994","66 and older","East Germany","","","",""
"Some worries","1994","16-34 y.","West Germany","405","0.401490973622902","0.370815813913615","0.432166133332189"
"Some worries","1994","16-34 y.","East Germany","","","",""
"Some worries","1994","35-65 y.","West Germany","479","0.41469247317774","0.385444890793208","0.443940055562273"
"Some worries","1994","35-65 y.","East Germany","","","",""
"Some worries","1994","66 and older","West Germany","","","",""
"Some worries","1994","66 and older","East Germany","","","",""
"No worries","1994","16-34 y.","West Germany","92","0.086639651698717","0.0690363953683","0.104242908029134"
"No worries","1994","16-34 y.","East Germany","","","",""
"No worries","1994","35-65 y.","West Germany","144","0.115922745486335","0.096917902767008","0.134927588205662"
"No worries","1994","35-65 y.","East Germany","","","",""
"No worries","1994","66 and older","West Germany","","","",""
"No worries","1994","66 and older","East Germany","","","",""
"Big worries","1995","16-34 y.","West Germany","390","0.477194839807039","0.444635043604273","0.509754636009806"
"Big worries","1995","16-34 y.","East Germany","","","",""
"Big worries","1995","35-65 y.","West Germany","394","0.439088286617147","0.40846684107901","0.469709732155284"
"Big worries","1995","35-65 y.","East Germany","","","",""
"Big worries","1995","66 and older","West Germany","","","",""
"Big worries","1995","66 and older","East Germany","","","",""
"Some worries","1995","16-34 y.","West Germany","415","0.422031174616292","0.389836180572258","0.454226168660326"
"Some worries","1995","16-34 y.","East Germany","","","",""
"Some worries","1995","35-65 y.","West Germany","458","0.407551226002568","0.377231937022163","0.437870514982972"
"Some worries","1995","35-65 y.","East Germany","","","",""
"Some worries","1995","66 and older","West Germany","","","",""
"Some worries","1995","66 and older","East Germany","","","",""
"No worries","1995","16-34 y.","West Germany","99","0.100773985576668","0.0811506638345806","0.120397307318756"
"No worries","1995","16-34 y.","East Germany","","","",""
"No worries","1995","35-65 y.","West Germany","157","0.153360487380286","0.131126952582189","0.175594022178382"
"No worries","1995","35-65 y.","East Germany","","","",""
"No worries","1995","66 and older","West Germany","","","",""
"No worries","1995","66 and older","East Germany","","","",""
"Big worries","1996","16-34 y.","West Germany","1123","0.307174702723549","0.291999360064986","0.322350045382112"
"Big worries","1996","16-34 y.","East Germany","329","0.272595771279958","0.247199461834557","0.297992080725359"
"Big worries","1996","35-65 y.","West Germany","1407","0.297024893320615","0.283845739582207","0.310204047059024"
"Big worries","1996","35-65 y.","East Germany","528","0.25930426747991","0.24031448326957","0.27829405169025"
"Big worries","1996","66 and older","West Germany","354","0.321403933971575","0.29411396180622","0.348693906136931"
"Big worries","1996","66 and older","East Germany","122","0.288091633281259","0.244780373390323","0.331402893172196"
"Some worries","1996","16-34 y.","West Germany","1908","0.549336287958098","0.53296890087147","0.565703675044725"
"Some worries","1996","16-34 y.","East Germany","622","0.529332449339101","0.500865263920937","0.557799634757266"
"Some worries","1996","35-65 y.","West Germany","2499","0.542539291829087","0.52817071932459","0.556907864333584"
"Some worries","1996","35-65 y.","East Germany","1108","0.530330374438301","0.508704943803789","0.551955805072814"
"Some worries","1996","66 and older","West Germany","531","0.465712215102949","0.436563577083521","0.494860853122377"
