"plj0047","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","Full Time","(Married) couple without C. ","54","0.376497190481057","0.302792670133653","0.450201710828462"
"Big worries","1992","Full Time","1-pers.-HH","23","","",""
"Big worries","1992","Full Time","Couple + C. GT 16 ","94","0.372002206112199","0.314026736246004","0.429977675978393"
"Big worries","1992","Full Time","Couple + C. LE 16 ","120","0.416313364466648","0.361439279008811","0.471187449924485"
"Big worries","1992","Full Time","Couple + C. LE and GT 16","78","0.400164887300615","0.336005602603382","0.464324171997848"
"Big worries","1992","Full Time","Single parent ","17","","",""
"Big worries","1992","Not Working","(Married) couple without C. ","25","","",""
"Big worries","1992","Not Working","1-pers.-HH","6","","",""
"Big worries","1992","Not Working","Couple + C. GT 16 ","73","0.4057687641242","0.334624549301193","0.476912978947207"
"Big worries","1992","Not Working","Couple + C. LE 16 ","67","0.588902245635308","0.507105721655348","0.670698769615269"
"Big worries","1992","Not Working","Couple + C. LE and GT 16","57","0.429161399150264","0.344078279051219","0.514244519249309"
"Big worries","1992","Not Working","Single parent ","13","","",""
"Big worries","1992","Part Time","(Married) couple without C. ","16","","",""
"Big worries","1992","Part Time","1-pers.-HH","7","","",""
"Big worries","1992","Part Time","Couple + C. GT 16 ","29","","",""
"Big worries","1992","Part Time","Couple + C. LE 16 ","48","0.559962601473517","0.461683911533803","0.658241291413231"
"Big worries","1992","Part Time","Couple + C. LE and GT 16","30","0.503385063584652","0.387085263576323","0.619684863592981"
"Big worries","1992","Part Time","Single parent ","13","","",""
"No worries","1992","Full Time","(Married) couple without C. ","37","0.192338074407918","0.132380854966474","0.252295293849362"
"No worries","1992","Full Time","1-pers.-HH","26","","",""
"No worries","1992","Full Time","Couple + C. GT 16 ","52","0.168987452457979","0.124038095780735","0.213936809135222"
"No worries","1992","Full Time","Couple + C. LE 16 ","55","0.172303342145662","0.130264601670705","0.214342082620619"
"No worries","1992","Full Time","Couple + C. LE and GT 16","38","0.187642643395188","0.136514100981333","0.238771185809043"
"No worries","1992","Full Time","Single parent ","13","","",""
"No worries","1992","Not Working","(Married) couple without C. ","18","","",""
"No worries","1992","Not Working","1-pers.-HH","5","","",""
