"plj0047","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","Full Time","West Germany","427","0.389736892652333","0.362348360090014","0.417125425214652"
"Big worries","1992","Full Time","East Germany","","","",""
"Big worries","1992","Part Time","West Germany","157","0.46953826631312","0.41840893951886","0.520667593107379"
"Big worries","1992","Part Time","East Germany","","","",""
"Big worries","1992","Not Working","West Germany","281","0.456825376443045","0.419134895663329","0.494515857222761"
"Big worries","1992","Not Working","East Germany","","","",""
"Some worries","1992","Full Time","West Germany","551","0.410879354532448","0.383249173647233","0.438509535417663"
"Some worries","1992","Full Time","East Germany","","","",""
"Some worries","1992","Part Time","West Germany","142","0.371015084810451","0.321524401838827","0.420505767782075"
"Some worries","1992","Part Time","East Germany","","","",""
"Some worries","1992","Not Working","West Germany","279","0.378799014266814","0.342095527862977","0.415502500670651"
"Some worries","1992","Not Working","East Germany","","","",""
"No worries","1992","Full Time","West Germany","240","0.199383752815219","0.176945887879022","0.221821617751417"
"No worries","1992","Full Time","East Germany","","","",""
"No worries","1992","Part Time","West Germany","67","0.15944664887643","0.121940895952348","0.196952401800511"
"No worries","1992","Part Time","East Germany","","","",""
"No worries","1992","Not Working","West Germany","111","0.164375609290141","0.136333474485551","0.192417744094731"
"No worries","1992","Not Working","East Germany","","","",""
"Big worries","1993","Full Time","West Germany","491","0.453121251376322","0.424058356422873","0.482184146329771"
"Big worries","1993","Full Time","East Germany","","","",""
"Big worries","1993","Part Time","West Germany","197","0.574554030155925","0.52585860715783","0.62324945315402"
"Big worries","1993","Part Time","East Germany","","","",""
"Big worries","1993","Not Working","West Germany","350","0.527317386777911","0.489792923063408","0.564841850492413"
"Big worries","1993","Not Working","East Germany","","","",""
"Some worries","1993","Full Time","West Germany","497","0.425743651900326","0.396875889246887","0.454611414553766"
"Some worries","1993","Full Time","East Germany","","","",""
"Some worries","1993","Part Time","West Germany","156","0.337687289132909","0.291108370708286","0.384266207557533"
"Some worries","1993","Part Time","East Germany","","","",""
"Some worries","1993","Not Working","West Germany","258","0.36990248189258","0.33361631098308","0.40618865280208"
"Some worries","1993","Not Working","East Germany","","","",""
"No worries","1993","Full Time","West Germany","139","0.121135096723351","0.102085657782089","0.140184535664613"
"No worries","1993","Full Time","East Germany","","","",""
"No worries","1993","Part Time","West Germany","43","0.0877586807111656","0.0598910266542846","0.115626334768047"
"No worries","1993","Part Time","East Germany","","","",""
