"plj0047","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1992","Schleswig-Holstein","1-pers.-HH","1","","","","1"
"Big worries","1992","Schleswig-Holstein","(Married) couple without C. ","","","","","1"
"Big worries","1992","Schleswig-Holstein","Single parent ","","","","","1"
"Big worries","1992","Schleswig-Holstein","Couple + C. LE 16 ","3","","","","1"
"Big worries","1992","Schleswig-Holstein","Couple + C. GT 16 ","1","","","","1"
"Big worries","1992","Schleswig-Holstein","Couple + C. LE and GT 16","1","","","","1"
"Big worries","1992","Hamburg","1-pers.-HH","1","","","","1"
"Big worries","1992","Hamburg","(Married) couple without C. ","7","","","","1"
"Big worries","1992","Hamburg","Single parent ","3","","","","1"
"Big worries","1992","Hamburg","Couple + C. LE 16 ","2","","","","1"
"Big worries","1992","Hamburg","Couple + C. GT 16 ","2","","","","1"
"Big worries","1992","Hamburg","Couple + C. LE and GT 16","2","","","","1"
"Big worries","1992","Lower Saxony","1-pers.-HH","3","","","","1"
"Big worries","1992","Lower Saxony","(Married) couple without C. ","3","","","","1"
"Big worries","1992","Lower Saxony","Single parent ","","","","","1"
"Big worries","1992","Lower Saxony","Couple + C. LE 16 ","13","","","","1"
"Big worries","1992","Lower Saxony","Couple + C. GT 16 ","22","","","","1"
"Big worries","1992","Lower Saxony","Couple + C. LE and GT 16","17","","","","1"
"Big worries","1992","Bremen","1-pers.-HH","2","","","","1"
"Big worries","1992","Bremen","(Married) couple without C. ","","","","","1"
"Big worries","1992","Bremen","Single parent ","","","","","1"
"Big worries","1992","Bremen","Couple + C. LE 16 ","1","","","","1"
"Big worries","1992","Bremen","Couple + C. GT 16 ","3","","","","1"
"Big worries","1992","Bremen","Couple + C. LE and GT 16","","","","","1"
"Big worries","1992","North Rhine-Westphalia","1-pers.-HH","7","","","","1"
"Big worries","1992","North Rhine-Westphalia","(Married) couple without C. ","32","0.488454060847","0.382188433331903","0.594719688362097","1"
"Big worries","1992","North Rhine-Westphalia","Single parent ","12","","","","1"
"Big worries","1992","North Rhine-Westphalia","Couple + C. LE 16 ","60","0.448182670189134","0.364602387754149","0.531762952624119","1"
"Big worries","1992","North Rhine-Westphalia","Couple + C. GT 16 ","65","0.500374779426164","0.422163723892647","0.578585834959681","1"
"Big worries","1992","North Rhine-Westphalia","Couple + C. LE and GT 16","64","0.568141984951283","0.479883932442343","0.656400037460223","1"
"Big worries","1992","Hesse","1-pers.-HH","3","","","","1"
"Big worries","1992","Hesse","(Married) couple without C. ","5","","","","1"
"Big worries","1992","Hesse","Single parent ","2","","","","1"
"Big worries","1992","Hesse","Couple + C. LE 16 ","33","0.409967447783592","0.308916575163344","0.511018320403839","1"
"Big worries","1992","Hesse","Couple + C. GT 16 ","7","","","","1"
"Big worries","1992","Hesse","Couple + C. LE and GT 16","13","","","","1"
"Big worries","1992","Rhineland-Palatinate,Saarland","1-pers.-HH","2","","","","1"
"Big worries","1992","Rhineland-Palatinate,Saarland","(Married) couple without C. ","5","","","","1"
"Big worries","1992","Rhineland-Palatinate,Saarland","Single parent ","3","","","","1"
"Big worries","1992","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","10","","","","1"
"Big worries","1992","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","7","","","","1"
"Big worries","1992","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","6","","","","1"
"Big worries","1992","Baden-Württemberg","1-pers.-HH","9","","","","1"
"Big worries","1992","Baden-Württemberg","(Married) couple without C. ","20","","","","1"
"Big worries","1992","Baden-Württemberg","Single parent ","13","","","","1"
"Big worries","1992","Baden-Württemberg","Couple + C. LE 16 ","69","0.483354818710269","0.405680268565984","0.561029368854554","1"
"Big worries","1992","Baden-Württemberg","Couple + C. GT 16 ","59","0.419039740330524","0.340858385097011","0.497221095564038","1"
"Big worries","1992","Baden-Württemberg","Couple + C. LE and GT 16","33","0.289875085372635","0.202677543704235","0.377072627041036","1"
"Big worries","1992","Bavaria","1-pers.-HH","6","","","","1"
"Big worries","1992","Bavaria","(Married) couple without C. ","19","","","","1"
"Big worries","1992","Bavaria","Single parent ","4","","","","1"
"Big worries","1992","Bavaria","Couple + C. LE 16 ","24","","","","1"
"Big worries","1992","Bavaria","Couple + C. GT 16 ","20","","","","1"
"Big worries","1992","Bavaria","Couple + C. LE and GT 16","23","","","","1"
"Big worries","1992","Berlin","1-pers.-HH","2","","","","1"
"Big worries","1992","Berlin","(Married) couple without C. ","4","","","","1"
"Big worries","1992","Berlin","Single parent ","6","","","","1"
"Big worries","1992","Berlin","Couple + C. LE 16 ","20","","","","1"
"Big worries","1992","Berlin","Couple + C. GT 16 ","10","","","","1"
"Big worries","1992","Berlin","Couple + C. LE and GT 16","6","","","","1"
"Big worries","1992","Brandenburg","1-pers.-HH","","","","","1"
"Big worries","1992","Brandenburg","(Married) couple without C. ","","","","","1"
"Big worries","1992","Brandenburg","Single parent ","","","","","1"
"Big worries","1992","Brandenburg","Couple + C. LE 16 ","","","","","1"
"Big worries","1992","Brandenburg","Couple + C. GT 16 ","","","","","1"
"Big worries","1992","Brandenburg","Couple + C. LE and GT 16","","","","","1"
"Big worries","1992","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","1"
"Big worries","1992","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","1"
"Big worries","1992","Mecklenburg-Western Pomerania","Single parent ","","","","","1"
"Big worries","1992","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","1"
"Big worries","1992","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","1"
"Big worries","1992","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","1"
"Big worries","1992","Saxony","1-pers.-HH","","","","","1"
"Big worries","1992","Saxony","(Married) couple without C. ","","","","","1"
"Big worries","1992","Saxony","Single parent ","","","","","1"
"Big worries","1992","Saxony","Couple + C. LE 16 ","","","","","1"
"Big worries","1992","Saxony","Couple + C. GT 16 ","","","","","1"
"Big worries","1992","Saxony","Couple + C. LE and GT 16","","","","","1"
"Big worries","1992","Saxony-Anhalt","1-pers.-HH","","","","","1"
"Big worries","1992","Saxony-Anhalt","(Married) couple without C. ","","","","","1"
"Big worries","1992","Saxony-Anhalt","Single parent ","","","","","1"
"Big worries","1992","Saxony-Anhalt","Couple + C. LE 16 ","","","","","1"
"Big worries","1992","Saxony-Anhalt","Couple + C. GT 16 ","","","","","1"
"Big worries","1992","Saxony-Anhalt","Couple + C. LE and GT 16","","","","","1"
