"plj0047","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","16-34 y.","(0) in school","","","",""
"Big worries","1992","16-34 y.","(1a) inadequately completed","43","0.410750297306222","0.318392520270503","0.50310807434194"
"Big worries","1992","16-34 y.","(1b) general elementary school","163","0.46964344386633","0.417872976469835","0.521413911262825"
"Big worries","1992","16-34 y.","(1c) basic vocational qualification","83","0.439312403923873","0.371373526351756","0.507251281495989"
"Big worries","1992","16-34 y.","(2b) intermediate general qualification","33","0.500437411855036","0.380713602193553","0.620161221516519"
"Big worries","1992","16-34 y.","(2a) intermediate vocational","","","",""
"Big worries","1992","16-34 y.","(2c_gen) general maturity certificate","32","0.509097703761856","0.393624838112678","0.624570569411035"
"Big worries","1992","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1992","16-34 y.","(3a) lower tertiary education","","","",""
"Big worries","1992","16-34 y.","(3b) higher tertiary education","","","",""
"Big worries","1992","35-65 y.","(0) in school","","","",""
"Big worries","1992","35-65 y.","(1a) inadequately completed","161","0.386596105322231","0.341452490550984","0.431739720093479"
"Big worries","1992","35-65 y.","(1b) general elementary school","131","0.375161828155239","0.327415207238357","0.422908449072122"
"Big worries","1992","35-65 y.","(1c) basic vocational qualification","74","0.39558697727853","0.332255699644438","0.458918254912621"
"Big worries","1992","35-65 y.","(2b) intermediate general qualification","","","",""
"Big worries","1992","35-65 y.","(2a) intermediate vocational","","","",""
"Big worries","1992","35-65 y.","(2c_gen) general maturity certificate","","","",""
"Big worries","1992","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1992","35-65 y.","(3a) lower tertiary education","","","",""
"Big worries","1992","35-65 y.","(3b) higher tertiary education","","","",""
"Big worries","1992","66 and older","(0) in school","","","",""
"Big worries","1992","66 and older","(1a) inadequately completed","","","",""
"Big worries","1992","66 and older","(1b) general elementary school","","","",""
"Big worries","1992","66 and older","(1c) basic vocational qualification","","","",""
"Big worries","1992","66 and older","(2b) intermediate general qualification","","","",""
"Big worries","1992","66 and older","(2a) intermediate vocational","","","",""
"Big worries","1992","66 and older","(2c_gen) general maturity certificate","","","",""
"Big worries","1992","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1992","66 and older","(3a) lower tertiary education","","","",""
"Big worries","1992","66 and older","(3b) higher tertiary education","","","",""
"Some worries","1992","16-34 y.","(0) in school","","","",""
"Some worries","1992","16-34 y.","(1a) inadequately completed","43","0.370918260368703","0.280234924279768","0.461601596457637"
"Some worries","1992","16-34 y.","(1b) general elementary school","141","0.395269305603589","0.344553709473877","0.445984901733301"
"Some worries","1992","16-34 y.","(1c) basic vocational qualification","86","0.404448267209196","0.337264802607002","0.47163173181139"
"Some worries","1992","16-34 y.","(2b) intermediate general qualification","","","",""
"Some worries","1992","16-34 y.","(2a) intermediate vocational","","","",""
"Some worries","1992","16-34 y.","(2c_gen) general maturity certificate","33","0.431498733127706","0.317095756689725","0.545901709565688"
"Some worries","1992","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"Some worries","1992","16-34 y.","(3a) lower tertiary education","","","",""
"Some worries","1992","16-34 y.","(3b) higher tertiary education","","","",""
"Some worries","1992","35-65 y.","(0) in school","","","",""
"Some worries","1992","35-65 y.","(1a) inadequately completed","184","0.397093852884819","0.351734613076221","0.442453092693417"
"Some worries","1992","35-65 y.","(1b) general elementary school","190","0.440468747487456","0.391511243562863","0.489426251412049"
"Some worries","1992","35-65 y.","(1c) basic vocational qualification","100","0.357788343301403","0.295703936557797","0.41987275004501"
"Some worries","1992","35-65 y.","(2b) intermediate general qualification","","","",""
"Some worries","1992","35-65 y.","(2a) intermediate vocational","","","",""
"Some worries","1992","35-65 y.","(2c_gen) general maturity certificate","","","",""
"Some worries","1992","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"Some worries","1992","35-65 y.","(3a) lower tertiary education","","","",""
"Some worries","1992","35-65 y.","(3b) higher tertiary education","","","",""
"Some worries","1992","66 and older","(0) in school","","","",""
"Some worries","1992","66 and older","(1a) inadequately completed","","","",""
"Some worries","1992","66 and older","(1b) general elementary school","","","",""
"Some worries","1992","66 and older","(1c) basic vocational qualification","","","",""
"Some worries","1992","66 and older","(2b) intermediate general qualification","","","",""
"Some worries","1992","66 and older","(2a) intermediate vocational","","","",""
"Some worries","1992","66 and older","(2c_gen) general maturity certificate","","","",""
"Some worries","1992","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Some worries","1992","66 and older","(3a) lower tertiary education","","","",""
"Some worries","1992","66 and older","(3b) higher tertiary education","","","",""
"No worries","1992","16-34 y.","(0) in school","","","",""
"No worries","1992","16-34 y.","(1a) inadequately completed","","","",""
"No worries","1992","16-34 y.","(1b) general elementary school","53","0.135087250530081","0.0996298156724737","0.170544685387688"
"No worries","1992","16-34 y.","(1c) basic vocational qualification","36","0.156239328866931","0.106537086582399","0.205941571151463"
"No worries","1992","16-34 y.","(2b) intermediate general qualification","","","",""
"No worries","1992","16-34 y.","(2a) intermediate vocational","","","",""
"No worries","1992","16-34 y.","(2c_gen) general maturity certificate","","","",""
"No worries","1992","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"No worries","1992","16-34 y.","(3a) lower tertiary education","","","",""
"No worries","1992","16-34 y.","(3b) higher tertiary education","","","",""
"No worries","1992","35-65 y.","(0) in school","","","",""
"No worries","1992","35-65 y.","(1a) inadequately completed","102","0.21631004179295","0.178141566550968","0.254478517034931"
"No worries","1992","35-65 y.","(1b) general elementary school","74","0.184369424357305","0.14612741160316","0.22261143711145"
"No worries","1992","35-65 y.","(1c) basic vocational qualification","55","0.246624679420067","0.190796391273346","0.302452967566788"
"No worries","1992","35-65 y.","(2b) intermediate general qualification","","","",""
"No worries","1992","35-65 y.","(2a) intermediate vocational","","","",""
"No worries","1992","35-65 y.","(2c_gen) general maturity certificate","","","",""
"No worries","1992","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"No worries","1992","35-65 y.","(3a) lower tertiary education","","","",""
"No worries","1992","35-65 y.","(3b) higher tertiary education","","","",""
"No worries","1992","66 and older","(0) in school","","","",""
"No worries","1992","66 and older","(1a) inadequately completed","","","",""
"No worries","1992","66 and older","(1b) general elementary school","","","",""
"No worries","1992","66 and older","(1c) basic vocational qualification","","","",""
"No worries","1992","66 and older","(2b) intermediate general qualification","","","",""
"No worries","1992","66 and older","(2a) intermediate vocational","","","",""
"No worries","1992","66 and older","(2c_gen) general maturity certificate","","","",""
"No worries","1992","66 and older","(2c_voc) vocational maturity certificate","","","",""
"No worries","1992","66 and older","(3a) lower tertiary education","","","",""
"No worries","1992","66 and older","(3b) higher tertiary education","","","",""
"Big worries","1993","16-34 y.","(0) in school","","","",""
"Big worries","1993","16-34 y.","(1a) inadequately completed","58","0.495715218462114","0.404729515792368","0.58670092113186"
"Big worries","1993","16-34 y.","(1b) general elementary school","187","0.591462898644702","0.539592683571698","0.643333113717706"
"Big worries","1993","16-34 y.","(1c) basic vocational qualification","87","0.462008991878164","0.394255895741398","0.529762088014929"
